site,year,source,n_matched,coverage_pct,model_R2,model_MAE,model_RMSE,persistence_R2,persistence_MAE,persistence_RMSE,model_beats_persistence,wilcoxon_p,median_abserr_model,median_abserr_persistence
EVR_01,2025,unified,468,99.2,0.8653,0.0572,0.0734,0.9634,0.0275,0.0383,False,1.0,0.0426,0.019
EVR_01,2026,unified,103,96.3,0.7026,0.0303,0.0389,0.7487,0.0291,0.0357,False,0.4025532137002372,0.026,0.0256
