crop,I,expected_I,z_norm,p_norm,p_sim,n_ilce,published_I,abs_diff_vs_published,reproduced,source
bugday,0.2572,-0.0357,2.643,0.0082,0.004,29,0.257,0.0,True,reproduced
aycicegi,0.1173,-0.037,1.3788,0.1679,0.083,28,0.117,0.0,True,reproduced
