layer,crop,cv,model,metric,point,ci_lo,ci_hi,boot_mean,boot_sd,method,n,n_boot,seed
A,aycicegi,LOILO,xgboost,r2,0.504,0.4179,0.5767,0.5005,0.0409,cluster,576,5000,12345
A,aycicegi,LOILO,xgboost,rmse_kg_da,35.8162,31.988,39.7177,35.7865,1.9736,cluster,576,5000,12345
A,aycicegi,LOILO,xgboost,mae_kg_da,27.0863,24.1949,30.3946,27.0993,1.5787,cluster,576,5000,12345
A,aycicegi,LOILO,xgboost,mape_pct,14.9088,12.7959,17.7944,14.9201,1.3127,cluster,576,5000,12345
A,aycicegi,LOILO,xgboost,bias_kg_da,0.5995,-4.9506,6.9231,0.6422,3.0104,cluster,576,5000,12345
A,aycicegi,LOYO,elastic_net,r2,0.002,-0.0416,0.0418,0.0001,0.0213,iid,576,5000,12345
A,aycicegi,LOYO,elastic_net,rmse_kg_da,50.8025,47.8565,53.7979,50.7841,1.5155,iid,576,5000,12345
A,aycicegi,LOYO,elastic_net,mae_kg_da,40.6858,38.2294,43.1278,40.6932,1.2529,iid,576,5000,12345
A,aycicegi,LOYO,elastic_net,mape_pct,23.2783,21.1587,25.5763,23.2846,1.1428,iid,576,5000,12345
A,aycicegi,LOYO,elastic_net,bias_kg_da,0.4981,-3.5676,4.7963,0.5564,2.106,iid,576,5000,12345
A,aycicegi,LOYO,elastic_net,r2,0.002,-0.1983,0.1021,-0.0293,0.0751,cluster,576,5000,12345
A,aycicegi,LOYO,elastic_net,rmse_kg_da,50.8025,44.5577,56.596,50.6704,3.1175,cluster,576,5000,12345
A,aycicegi,LOYO,elastic_net,mae_kg_da,40.6858,34.8934,46.4974,40.6543,2.9964,cluster,576,5000,12345
A,aycicegi,LOYO,elastic_net,mape_pct,23.2783,18.083,29.1374,23.2933,2.8773,cluster,576,5000,12345
A,aycicegi,LOYO,elastic_net,bias_kg_da,0.4981,-15.0873,16.6268,0.6612,8.0704,cluster,576,5000,12345
A,aycicegi,LOYO,gpr,r2,-0.1122,-0.2046,-0.0299,-0.1149,0.0451,iid,576,5000,12345
A,aycicegi,LOYO,gpr,rmse_kg_da,53.6296,50.4739,56.7003,53.6109,1.5973,iid,576,5000,12345
A,aycicegi,LOYO,gpr,mae_kg_da,42.8573,40.244,45.5011,42.8572,1.3391,iid,576,5000,12345
A,aycicegi,LOYO,gpr,mape_pct,23.9661,21.8769,26.1908,23.9694,1.102,iid,576,5000,12345
A,aycicegi,LOYO,gpr,bias_kg_da,0.651,-3.6119,5.0908,0.704,2.2163,iid,576,5000,12345
A,aycicegi,LOYO,gpr,r2,-0.1122,-0.4431,0.0988,-0.1513,0.1392,cluster,576,5000,12345
A,aycicegi,LOYO,gpr,rmse_kg_da,53.6296,46.5043,60.6466,53.4818,3.6076,cluster,576,5000,12345
A,aycicegi,LOYO,gpr,mae_kg_da,42.8573,36.7899,49.4108,42.8365,3.2386,cluster,576,5000,12345
A,aycicegi,LOYO,gpr,mape_pct,23.9661,18.7134,30.1688,23.9888,2.9397,cluster,576,5000,12345
A,aycicegi,LOYO,gpr,bias_kg_da,0.651,-16.225,17.9702,0.8404,8.6671,cluster,576,5000,12345
A,aycicegi,LOYO,pls,r2,-0.0725,-0.1573,0.0045,-0.0748,0.0409,iid,576,5000,12345
A,aycicegi,LOYO,pls,rmse_kg_da,52.6653,49.5287,55.7702,52.6414,1.5989,iid,576,5000,12345
