year,placeholder_model_R2,placeholder_persistence_R2,placeholder_n,real_model_R2,real_persistence_R2,real_n
2025,0.8653,0.9634,468,0.7831,0.9109,331
2026,0.7026,0.7487,103,-1.3193,0.4903,132
