layer,crop,cv,model,n_pub,n_rec,d_r2,d_rmse_kg_da,d_mae_kg_da,d_mape_pct,d_bias_kg_da,d_ss_vs_b0,max_abs_diff,status
B,aycicegi,Spatiotemporal,random_forest,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,aycicegi,Spatiotemporal,xgboost,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,aycicegi,Spatiotemporal,gpr,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,pls,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,elastic_net,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,random_forest,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,xgboost,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,gpr,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOYO,stacking,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOILO,pls,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOILO,elastic_net,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOILO,random_forest,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOILO,xgboost,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,LOILO,gpr,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,Spatiotemporal,pls,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,Spatiotemporal,elastic_net,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,Spatiotemporal,random_forest,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,Spatiotemporal,xgboost,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,bugday,Spatiotemporal,gpr,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOYO,pls,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOYO,elastic_net,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOYO,random_forest,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOYO,xgboost,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOYO,gpr,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
