r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,layer,crop,cv,model,n
0.051,49.542,39.843,22.357,-0.633,0.009,A,aycicegi,LOYO,random_forest,576
-0.076,52.75,42.259,23.166,-3.028,-0.055,A,aycicegi,LOYO,xgboost,576
0.077,48.852,39.036,22.336,0.655,0.023,A,aycicegi,Spatiotemporal,elastic_net,576
0.387,39.818,30.706,16.98,0.586,0.204,A,aycicegi,Spatiotemporal,gpr,576
0.099,48.271,38.28,21.598,1.381,0.035,A,aycicegi,Spatiotemporal,pls,576
0.32,41.935,32.38,18.183,0.643,0.161,A,aycicegi,Spatiotemporal,random_forest,576
0.385,39.877,30.899,17.118,0.539,0.202,A,aycicegi,Spatiotemporal,xgboost,576
0.066,68.106,52.835,13.75,0.941,0.013,B,bugday,LOILO,elastic_net,213
0.429,53.226,40.666,10.77,1.927,0.228,B,bugday,LOILO,gpr,213
0.076,67.722,51.215,13.279,1.448,0.018,B,bugday,LOILO,pls,213
0.416,53.822,40.966,10.876,0.995,0.22,B,bugday,LOILO,random_forest,213
0.395,54.8,40.536,10.791,0.098,0.206,B,bugday,LOILO,xgboost,213
-0.966,98.79,78.271,20.136,3.381,-0.432,B,bugday,LOYO,elastic_net,213
-0.536,87.307,68.205,17.358,0.419,-0.266,B,bugday,LOYO,gpr,213
-2.044,122.921,99.487,25.682,9.908,-0.782,B,bugday,LOYO,pls,213
-0.739,92.923,73.78,19.124,6.635,-0.347,B,bugday,LOYO,random_forest,213
-0.637,90.138,71.357,18.466,5.427,-0.307,B,bugday,LOYO,xgboost,213
-0.058,72.459,56.022,14.487,1.0,-0.051,B,bugday,Spatiotemporal,elastic_net,213
0.25,61.005,46.421,12.084,0.321,0.116,B,bugday,Spatiotemporal,gpr,213
-0.048,72.137,53.974,13.891,1.342,-0.046,B,bugday,Spatiotemporal,pls,213
0.273,60.084,46.494,12.155,0.769,0.129,B,bugday,Spatiotemporal,random_forest,213
0.314,58.369,46.225,12.059,-0.963,0.154,B,bugday,Spatiotemporal,xgboost,213
0.249,46.774,36.958,19.208,1.302,0.143,B,aycicegi,LOILO,elastic_net,209
0.45,40.039,30.636,15.608,0.399,0.266,B,aycicegi,LOILO,gpr,209
0.177,48.968,38.015,19.316,1.589,0.103,B,aycicegi,LOILO,pls,209
0.406,41.611,31.16,15.84,0.859,0.237,B,aycicegi,LOILO,random_forest,209
0.329,44.204,33.73,16.762,-0.2,0.19,B,aycicegi,LOILO,xgboost,209
-0.027,54.68,44.71,24.116,4.271,-0.002,B,aycicegi,LOYO,elastic_net,209
0.214,47.851,38.507,20.651,2.091,0.123,B,aycicegi,LOYO,gpr,209
-0.122,57.175,47.77,25.241,3.821,-0.048,B,aycicegi,LOYO,pls,209
0.237,47.131,36.478,19.695,3.249,0.136,B,aycicegi,LOYO,random_forest,209
-0.112,56.909,45.478,24.925,7.498,-0.043,B,aycicegi,LOYO,xgboost,209
0.271,46.077,36.642,19.39,0.872,0.156,B,aycicegi,Spatiotemporal,elastic_net,209
0.434,40.619,31.743,16.725,1.39,0.256,B,aycicegi,Spatiotemporal,gpr,209
0.255,46.568,36.727,19.127,0.777,0.147,B,aycicegi,Spatiotemporal,pls,209
0.338,43.919,33.125,17.639,2.203,0.195,B,aycicegi,Spatiotemporal,random_forest,209
0.243,46.971,36.151,18.824,3.034,0.139,B,aycicegi,Spatiotemporal,xgboost,209
0.18,63.785,49.899,12.941,1.228,0.075,C,bugday,LOILO,elastic_net,213
0.342,57.169,44.183,11.753,4.034,0.171,C,bugday,LOILO,gpr,213
0.21,62.633,48.265,12.415,1.201,0.092,C,bugday,LOILO,pls,213
0.392,54.929,43.225,11.458,2.204,0.204,C,bugday,LOILO,random_forest,213
0.427,53.342,39.698,10.561,3.217,0.227,C,bugday,LOILO,xgboost,213
-0.724,92.514,72.092,18.452,3.45,-0.341,C,bugday,LOYO,elastic_net,213
-0.541,87.461,67.897,17.205,3.854,-0.268,C,bugday,LOYO,gpr,213
-1.134,102.934,81.268,20.773,6.803,-0.492,C,bugday,LOYO,pls,213
-0.554,87.837,69.145,17.875,9.617,-0.273,C,bugday,LOYO,random_forest,213
-0.658,90.726,69.632,17.597,-2.373,-0.315,C,bugday,LOYO,stacking,213
