crop,tier,model,feature,imp_mean,imp_ci_low,imp_ci_high,metric,n_folds
bugday,A,random_forest,tp_grain_fill,-0.0732,-0.1974,0.0734,increase in RMSE (kg/da),22
bugday,A,random_forest,tp_winter_sum,-0.172,-0.471,0.0678,increase in RMSE (kg/da),22
bugday,C,random_forest,soc_0-5cm,6.0844,3.2128,8.8418,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_season_sum,0.4794,-0.1034,1.3335,increase in RMSE (kg/da),8
bugday,C,random_forest,t2m_flowering_mean,0.3503,0.0461,0.7479,increase in RMSE (kg/da),8
bugday,C,random_forest,phh2o_0-5cm,0.3277,0.1487,0.5231,increase in RMSE (kg/da),8
bugday,C,random_forest,aridity_index,0.233,-0.0196,0.5341,increase in RMSE (kg/da),8
bugday,C,random_forest,gdd_cum_season,0.1863,0.0659,0.3242,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_flowering,0.1114,-0.2147,0.541,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_winter_sum,0.1031,0.0371,0.1837,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_grain_fill,0.0855,-0.0383,0.2049,increase in RMSE (kg/da),8
bugday,C,random_forest,clay_0-5cm,0.0791,0.0066,0.1531,increase in RMSE (kg/da),8
bugday,C,random_forest,ssr_flowering_sum,0.0631,-0.0196,0.1582,increase in RMSE (kg/da),8
bugday,C,random_forest,gdd_flowering,0.0544,-0.0396,0.1641,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_grain_fill,0.0445,-0.1011,0.2744,increase in RMSE (kg/da),8
bugday,C,random_forest,sand_0-5cm,0.0101,-0.0085,0.0286,increase in RMSE (kg/da),8
bugday,C,random_forest,t2m_flowering_max,0.0097,-0.1163,0.1297,increase in RMSE (kg/da),8
bugday,C,random_forest,awc_0-5cm,-0.0049,-0.0296,0.0194,increase in RMSE (kg/da),8
bugday,C,random_forest,greenness_days,-0.0108,-0.0623,0.0414,increase in RMSE (kg/da),8
bugday,C,random_forest,ssr_season_sum,-0.0135,-0.0782,0.0547,increase in RMSE (kg/da),8
bugday,C,random_forest,tdiff_mean,-0.0366,-0.1016,0.0342,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_flowering,-0.0746,-0.6232,0.3241,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_integral,-0.0782,-0.2298,0.0119,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_spring_slope,-0.0923,-0.2352,0.0194,increase in RMSE (kg/da),8
bugday,C,random_forest,heat_stress_days,-0.1115,-0.3439,0.0394,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_mean_season,-0.1151,-0.2549,-0.023,increase in RMSE (kg/da),8
bugday,C,random_forest,silt_0-5cm,-0.1263,-0.492,0.1015,increase in RMSE (kg/da),8
bugday,C,random_forest,ndvi_max,-0.1423,-0.5346,0.1312,increase in RMSE (kg/da),8
bugday,C,random_forest,vernalization_days,-0.2583,-0.6439,0.0129,increase in RMSE (kg/da),8
