crop,tier,model,cv,n,model_rmse,baseline_rmse_matched,model_mae,model_r2,baseline_r2_matched,skill_score,ss_ci_low_iid,ss_ci_high_iid,ss_ci_low_clustered,ss_ci_high_clustered,n_clusters
aycicegi,C,pls,Spatiotemporal,209,41.361,54.571,32.474,0.4127,-0.0175,0.2421,0.1559,0.3163,0.1116,0.3384,25
aycicegi,C,random_forest,LOILO,209,38.543,54.571,29.411,0.49,-0.0175,0.2937,0.2008,0.3746,0.1508,0.4085,27
aycicegi,C,random_forest,LOYO,209,43.259,54.571,33.425,0.3575,-0.0175,0.2073,0.1409,0.2648,0.0706,0.2937,8
aycicegi,C,random_forest,Spatiotemporal,209,40.393,54.571,30.251,0.4398,-0.0175,0.2598,0.1796,0.3319,0.1508,0.3521,25
aycicegi,C,stacking,LOYO,209,43.733,54.571,34.814,0.3434,-0.0175,0.1986,0.1395,0.2501,-0.0192,0.3298,8
aycicegi,C,xgboost,LOILO,209,37.342,54.571,28.995,0.5213,-0.0175,0.3157,0.2162,0.3992,0.1859,0.4203,27
aycicegi,C,xgboost,LOYO,209,48.466,54.571,38.132,0.1935,-0.0175,0.1119,0.0414,0.174,-0.063,0.2223,8
aycicegi,C,xgboost,Spatiotemporal,209,43.333,54.571,33.007,0.3553,-0.0175,0.2059,0.1109,0.2918,0.0709,0.3233,25
bugday,A,elastic_net,LOILO,589,67.888,61.743,53.333,0.0481,0.2126,-0.0995,-0.1532,-0.0495,-0.229,-0.0027,29
bugday,A,elastic_net,LOYO,589,72.706,61.743,57.008,-0.0918,0.2126,-0.1776,-0.2307,-0.1263,-0.2767,-0.102,22
bugday,A,elastic_net,Spatiotemporal,589,68.242,61.743,53.654,0.0381,0.2126,-0.1053,-0.1565,-0.0571,-0.2126,-0.0216,25
bugday,A,gpr,LOILO,589,52.009,61.743,39.973,0.4413,0.2126,0.1577,0.0984,0.2147,0.0499,0.2596,29
bugday,A,gpr,LOYO,589,76.155,61.743,59.75,-0.1979,0.2126,-0.2334,-0.2835,-0.1848,-0.3239,-0.1682,22
bugday,A,gpr,Spatiotemporal,589,57.355,61.743,43.874,0.3206,0.2126,0.0711,0.0148,0.1264,-0.0128,0.1474,25
bugday,A,pls,LOILO,589,69.132,61.743,54.376,0.0129,0.2126,-0.1197,-0.1785,-0.0652,-0.2536,-0.0169,29
bugday,A,pls,LOYO,589,77.719,61.743,61.039,-0.2476,0.2126,-0.2587,-0.3218,-0.1997,-0.4317,-0.1337,22
bugday,A,pls,Spatiotemporal,589,70.029,61.743,55.386,-0.0129,0.2126,-0.1342,-0.1878,-0.0841,-0.2422,-0.052,25
bugday,A,random_forest,LOILO,589,55.598,61.743,43.248,0.3616,0.2126,0.0995,0.0471,0.1492,-0.0018,0.1846,29
bugday,A,random_forest,LOYO,589,75.227,61.743,59.651,-0.1688,0.2126,-0.2184,-0.2746,-0.1652,-0.3626,-0.1085,22
bugday,A,random_forest,Spatiotemporal,589,61.238,61.743,47.665,0.2255,0.2126,0.0082,-0.0409,0.0552,-0.062,0.0662,25
bugday,A,xgboost,LOILO,589,55.203,61.743,41.895,0.3706,0.2126,0.1059,0.0407,0.1689,-0.0195,0.2251,29
bugday,A,xgboost,LOYO,589,77.292,61.743,61.58,-0.2339,0.2126,-0.2518,-0.3057,-0.201,-0.382,-0.1532,22
bugday,A,xgboost,Spatiotemporal,589,59.243,61.743,45.934,0.2751,0.2126,0.0405,-0.0193,0.0955,-0.0259,0.0989,25
bugday,B,elastic_net,LOILO,213,68.106,68.975,52.835,0.0656,0.0461,0.0126,-0.0781,0.0915,-0.1321,0.119,28
bugday,B,elastic_net,LOYO,213,98.79,68.975,78.271,-0.966,0.0461,-0.4322,-0.5208,-0.3535,-0.6558,-0.31,8
bugday,B,elastic_net,Spatiotemporal,213,72.459,68.975,56.022,-0.0577,0.0461,-0.0505,-0.1308,0.0218,-0.1723,0.0503,25
bugday,B,gpr,LOILO,213,53.226,68.975,40.666,0.4293,0.0461,0.2283,0.1311,0.3125,0.0714,0.3498,28
bugday,B,gpr,LOYO,213,87.307,68.975,68.205,-0.5355,0.0461,-0.2658,-0.3494,-0.1932,-0.4709,-0.1785,8
bugday,B,gpr,Spatiotemporal,213,61.005,68.975,46.421,0.2503,0.0461,0.1156,0.0278,0.1949,-0.025,0.2277,25
