comparison,crop,tier,model,cv,n_obs,median_abs_err_model,median_abs_err_baseline,wilcoxon_W,p_value,method
aycicegi|tierC|elastic_net|LOYO|model_vs_climatology,aycicegi,C,elastic_net,LOYO,209,39.289,37.714,8919.0,0.01898091573695262,iid observation-level (NOT primary)
aycicegi|tierC|elastic_net|Spatiotemporal|model_vs_climatology,aycicegi,C,elastic_net,Spatiotemporal,209,27.111,37.714,6252.0,6.941848581831357e-08,iid observation-level (NOT primary)
aycicegi|tierC|gpr|LOILO|model_vs_climatology,aycicegi,C,gpr,LOILO,209,21.21,37.714,4604.0,3.4556283879742533e-13,iid observation-level (NOT primary)
aycicegi|tierC|gpr|LOYO|model_vs_climatology,aycicegi,C,gpr,LOYO,209,28.014,37.714,5961.0,1.0336900524381187e-08,iid observation-level (NOT primary)
aycicegi|tierC|gpr|Spatiotemporal|model_vs_climatology,aycicegi,C,gpr,Spatiotemporal,209,23.902,37.714,4244.0,1.5110089616317535e-14,iid observation-level (NOT primary)
aycicegi|tierC|pls|LOILO|model_vs_climatology,aycicegi,C,pls,LOILO,209,27.055,37.714,7316.0,2.9516783273963064e-05,iid observation-level (NOT primary)
aycicegi|tierC|pls|LOYO|model_vs_climatology,aycicegi,C,pls,LOYO,209,37.946,37.714,9385.0,0.06974702180951255,iid observation-level (NOT primary)
aycicegi|tierC|pls|Spatiotemporal|model_vs_climatology,aycicegi,C,pls,Spatiotemporal,209,26.46,37.714,6506.0,3.3519275179349125e-07,iid observation-level (NOT primary)
aycicegi|tierC|random_forest|LOILO|model_vs_climatology,aycicegi,C,random_forest,LOILO,209,21.542,37.714,5634.0,1.0695525307567112e-09,iid observation-level (NOT primary)
aycicegi|tierC|random_forest|LOYO|model_vs_climatology,aycicegi,C,random_forest,LOYO,209,24.214,37.714,5875.0,5.76788423946503e-09,iid observation-level (NOT primary)
aycicegi|tierC|random_forest|Spatiotemporal|model_vs_climatology,aycicegi,C,random_forest,Spatiotemporal,209,21.909,37.714,5346.0,1.2956745817957266e-10,iid observation-level (NOT primary)
aycicegi|tierC|stacking|LOYO|model_vs_climatology,aycicegi,C,stacking,LOYO,209,30.624,37.714,6340.0,1.20893911978208e-07,iid observation-level (NOT primary)
aycicegi|tierC|xgboost|LOILO|model_vs_climatology,aycicegi,C,xgboost,LOILO,209,24.334,37.714,5926.0,8.161424466079324e-09,iid observation-level (NOT primary)
aycicegi|tierC|xgboost|LOYO|model_vs_climatology,aycicegi,C,xgboost,LOYO,209,32.51,37.714,8064.0,0.0008916600498088467,iid observation-level (NOT primary)
aycicegi|tierC|xgboost|Spatiotemporal|model_vs_climatology,aycicegi,C,xgboost,Spatiotemporal,209,24.692,37.714,6607.0,6.128602720998262e-07,iid observation-level (NOT primary)
bugday|tierA|elastic_net|LOILO|model_vs_climatology,bugday,A,elastic_net,LOILO,589,43.054,40.19,76797.0,0.014697014995909034,iid observation-level (NOT primary)
bugday|tierA|elastic_net|LOYO|model_vs_climatology,bugday,A,elastic_net,LOYO,589,46.706,40.19,64744.0,8.465258298725502e-08,iid observation-level (NOT primary)
bugday|tierA|elastic_net|Spatiotemporal|model_vs_climatology,bugday,A,elastic_net,Spatiotemporal,589,44.903,40.19,75266.0,0.004949463554740212,iid observation-level (NOT primary)
bugday|tierA|gpr|LOILO|model_vs_climatology,bugday,A,gpr,LOILO,589,31.234,40.19,66152.0,5.271854879989354e-07,iid observation-level (NOT primary)
bugday|tierA|gpr|LOYO|model_vs_climatology,bugday,A,gpr,LOYO,589,47.405,40.19,56610.0,2.378796239580894e-13,iid observation-level (NOT primary)
bugday|tierA|gpr|Spatiotemporal|model_vs_climatology,bugday,A,gpr,Spatiotemporal,589,33.593,40.19,72709.0,0.0006054315205833269,iid observation-level (NOT primary)
bugday|tierA|pls|LOILO|model_vs_climatology,bugday,A,pls,LOILO,589,43.968,40.19,74671.0,0.0031336797097947133,iid observation-level (NOT primary)
bugday|tierA|pls|LOYO|model_vs_climatology,bugday,A,pls,LOYO,589,49.208,40.19,57678.0,1.5821898385640138e-12,iid observation-level (NOT primary)
bugday|tierA|pls|Spatiotemporal|model_vs_climatology,bugday,A,pls,Spatiotemporal,589,45.001,40.19,70468.0,7.140547063800383e-05,iid observation-level (NOT primary)
bugday|tierA|random_forest|LOILO|model_vs_climatology,bugday,A,random_forest,LOILO,589,35.288,40.19,71388.0,0.00017762039104900407,iid observation-level (NOT primary)
bugday|tierA|random_forest|LOYO|model_vs_climatology,bugday,A,random_forest,LOYO,589,50.392,40.19,59978.0,7.49389827661505e-11,iid observation-level (NOT primary)
bugday|tierA|random_forest|Spatiotemporal|model_vs_climatology,bugday,A,random_forest,Spatiotemporal,589,38.514,40.19,80566.0,0.12662236652235254,iid observation-level (NOT primary)
bugday|tierA|xgboost|LOILO|model_vs_climatology,bugday,A,xgboost,LOILO,589,32.785,40.19,70435.0,6.904863223830776e-05,iid observation-level (NOT primary)
bugday|tierA|xgboost|LOYO|model_vs_climatology,bugday,A,xgboost,LOYO,589,51.35,40.19,53973.0,1.668344360109627e-15,iid observation-level (NOT primary)
bugday|tierA|xgboost|Spatiotemporal|model_vs_climatology,bugday,A,xgboost,Spatiotemporal,589,36.764,40.19,79367.0,0.06910250403159632,iid observation-level (NOT primary)
bugday|tierB|elastic_net|LOILO|model_vs_climatology,bugday,B,elastic_net,LOILO,213,42.36,44.286,10321.0,0.2328037807627541,iid observation-level (NOT primary)
bugday|tierB|elastic_net|LOYO|model_vs_climatology,bugday,B,elastic_net,LOYO,213,61.823,44.286,3903.0,8.798577517150636e-17,iid observation-level (NOT primary)
bugday|tierB|elastic_net|Spatiotemporal|model_vs_climatology,bugday,B,elastic_net,Spatiotemporal,213,43.262,44.286,11386.0,0.9915831302476759,iid observation-level (NOT primary)
bugday|tierB|gpr|LOILO|model_vs_climatology,bugday,B,gpr,LOILO,213,29.616,44.286,7057.0,1.4526412098438423e-06,iid observation-level (NOT primary)
bugday|tierB|gpr|LOYO|model_vs_climatology,bugday,B,gpr,LOYO,213,55.661,44.286,6370.0,2.3980760300558896e-08,iid observation-level (NOT primary)
bugday|tierB|gpr|Spatiotemporal|model_vs_climatology,bugday,B,gpr,Spatiotemporal,213,35.214,44.286,8141.0,0.0003015950255900455,iid observation-level (NOT primary)
bugday|tierB|pls|LOILO|model_vs_climatology,bugday,B,pls,LOILO,213,39.015,44.286,10156.0,0.1687009052205416,iid observation-level (NOT primary)
