crop,tier,model,cv,fold_id,ilce_id,year,n_test,y_true,model_pred,baseline_pred
aycicegi,A,pls,LOYO,year=2024,1258,2024,27,160.0,213.0356635197066,191.47619047619048
aycicegi,A,pls,LOYO,year=2025,1258,2025,27,141.0,185.81686921658857,192.38095238095238
aycicegi,A,pls,LOYO,year=2004,1295,2004,25,173.0,196.1389964144281,212.9047619047619
aycicegi,A,pls,LOYO,year=2005,1295,2005,25,186.0,217.5786914305979,212.28571428571428
aycicegi,A,pls,LOYO,year=2006,1295,2006,25,212.0,239.88827178115056,211.04761904761904
aycicegi,A,pls,LOYO,year=2007,1295,2007,25,123.0,211.40818511232595,215.28571428571428
aycicegi,A,pls,LOYO,year=2008,1295,2008,25,138.0,204.42668310482077,214.57142857142858
aycicegi,A,pls,LOYO,year=2009,1295,2009,25,172.0,201.4651880994261,212.95238095238096
aycicegi,A,pls,LOYO,year=2010,1295,2010,25,298.0,257.099369634327,206.95238095238096
aycicegi,A,pls,LOYO,year=2011,1295,2011,25,206.0,161.29198086431768,211.33333333333334
aycicegi,A,pls,LOYO,year=2012,1295,2012,25,187.0,193.09848013800385,212.23809523809524
aycicegi,A,pls,LOYO,year=2013,1295,2013,27,225.0,200.7333044912581,210.42857142857142
aycicegi,A,pls,LOYO,year=2014,1295,2014,27,290.0,270.8248843240381,207.33333333333334
aycicegi,A,pls,LOYO,year=2015,1295,2015,27,227.0,202.43264871864133,210.33333333333334
aycicegi,A,pls,LOYO,year=2016,1295,2016,27,237.0,198.44300784528195,209.85714285714286
aycicegi,A,pls,LOYO,year=2017,1295,2017,27,252.0,226.8716335519798,209.14285714285714
aycicegi,A,pls,LOYO,year=2018,1295,2018,27,262.0,234.86404232020791,208.66666666666666
aycicegi,A,pls,LOYO,year=2019,1295,2019,27,262.0,200.4447550767649,208.66666666666666
aycicegi,A,pls,LOYO,year=2020,1295,2020,27,254.0,207.6386413543923,209.04761904761904
aycicegi,A,pls,LOYO,year=2021,1295,2021,27,258.0,171.04579732218727,208.85714285714286
aycicegi,A,pls,LOYO,year=2022,1295,2022,27,250.0,165.92032934017934,209.23809523809524
aycicegi,A,pls,LOYO,year=2023,1295,2023,27,202.0,189.4074461794829,211.52380952380952
aycicegi,A,pls,LOYO,year=2024,1295,2024,27,123.0,219.4853684184692,215.28571428571428
aycicegi,A,pls,LOYO,year=2025,1295,2025,27,107.0,183.4011874128184,216.04761904761904
aycicegi,A,pls,LOYO,year=2004,1307,2004,25,171.0,180.5131720179424,206.04761904761904
aycicegi,A,pls,LOYO,year=2005,1307,2005,25,149.0,205.091578012662,207.0952380952381
aycicegi,A,pls,LOYO,year=2006,1307,2006,25,170.0,237.54820589364903,206.0952380952381
aycicegi,A,pls,LOYO,year=2007,1307,2007,25,170.0,215.80443676608044,206.0952380952381
aycicegi,A,pls,LOYO,year=2008,1307,2008,25,149.0,188.4511295393912,207.0952380952381
aycicegi,A,pls,LOYO,year=2009,1307,2009,25,150.0,180.9394015638749,207.04761904761904
aycicegi,A,pls,LOYO,year=2010,1307,2010,25,248.0,236.51634644633643,202.38095238095238
aycicegi,A,pls,LOYO,year=2011,1307,2011,25,206.0,184.0833845293808,204.38095238095238
aycicegi,A,pls,LOYO,year=2012,1307,2012,25,196.0,223.0581925595568,204.85714285714286
aycicegi,A,pls,LOYO,year=2013,1307,2013,27,215.0,192.02808412632297,203.95238095238096
aycicegi,A,pls,LOYO,year=2014,1307,2014,27,270.0,242.1237818601561,201.33333333333334
aycicegi,A,pls,LOYO,year=2015,1307,2015,27,227.0,231.61001830604567,203.38095238095238
aycicegi,A,pls,LOYO,year=2016,1307,2016,27,266.0,184.7635578088024,201.52380952380952
aycicegi,A,pls,LOYO,year=2017,1307,2017,27,256.0,210.58904936833505,202.0
aycicegi,A,pls,LOYO,year=2018,1307,2018,27,276.0,204.26912717881896,201.04761904761904
aycicegi,A,pls,LOYO,year=2019,1307,2019,27,282.0,216.6787319488729,200.76190476190476
aycicegi,A,pls,LOYO,year=2020,1307,2020,27,292.0,211.1867219270504,200.28571428571428
aycicegi,A,pls,LOYO,year=2021,1307,2021,27,202.0,215.00742866576928,204.57142857142858
aycicegi,A,pls,LOYO,year=2022,1307,2022,27,195.0,151.69890374297017,204.9047619047619
aycicegi,A,pls,LOYO,year=2023,1307,2023,27,157.0,193.8161731512135,206.71428571428572
aycicegi,A,pls,LOYO,year=2024,1307,2024,27,130.0,226.82646172491425,208.0
aycicegi,A,pls,LOYO,year=2025,1307,2025,27,121.0,193.86597248642408,208.42857142857142
aycicegi,A,pls,LOYO,year=2004,1385,2004,25,172.0,198.7404928910917,212.14285714285714
aycicegi,A,pls,LOYO,year=2005,1385,2005,25,186.0,204.2120892126096,211.47619047619048
aycicegi,A,pls,LOYO,year=2006,1385,2006,25,170.0,231.75873338558495,212.23809523809524
aycicegi,A,pls,LOYO,year=2007,1385,2007,25,178.0,197.3022783286974,211.85714285714286
aycicegi,A,pls,LOYO,year=2008,1385,2008,25,171.0,199.1116727832844,212.1904761904762
aycicegi,A,pls,LOYO,year=2009,1385,2009,25,172.0,204.03655073804637,212.14285714285714
aycicegi,A,pls,LOYO,year=2010,1385,2010,25,227.0,242.4332493319777,209.52380952380952
aycicegi,A,pls,LOYO,year=2011,1385,2011,25,192.0,189.85583363532157,211.1904761904762
aycicegi,A,pls,LOYO,year=2012,1385,2012,25,205.0,191.49006361022415,210.57142857142858
aycicegi,A,pls,LOYO,year=2013,1385,2013,27,244.0,191.2391906601172,208.71428571428572
aycicegi,A,pls,LOYO,year=2014,1385,2014,27,308.0,278.077985140528,205.66666666666666
aycicegi,A,pls,LOYO,year=2015,1385,2015,27,251.0,202.72337108402647,208.38095238095238
aycicegi,A,pls,LOYO,year=2016,1385,2016,27,228.0,199.65221242585213,209.47619047619048
aycicegi,A,pls,LOYO,year=2017,1385,2017,27,259.0,224.5873903081658,208.0
aycicegi,A,pls,LOYO,year=2018,1385,2018,27,233.0,235.02401235459632,209.23809523809524
aycicegi,A,pls,LOYO,year=2019,1385,2019,27,212.0,198.6804346443604,210.23809523809524
aycicegi,A,pls,LOYO,year=2020,1385,2020,27,224.0,208.5323407409589,209.66666666666666
aycicegi,A,pls,LOYO,year=2021,1385,2021,27,250.0,173.07336263892535,208.42857142857142
aycicegi,A,pls,LOYO,year=2022,1385,2022,27,241.0,174.03613235414537,208.85714285714286
aycicegi,A,pls,LOYO,year=2023,1385,2023,27,231.0,194.919713148331,209.33333333333334
aycicegi,A,pls,LOYO,year=2024,1385,2024,27,132.0,215.6751250611656,214.04761904761904
aycicegi,A,pls,LOYO,year=2025,1385,2025,27,141.0,185.04227536649944,213.61904761904762
aycicegi,A,pls,LOYO,year=2004,1388,2004,25,167.0,189.53501690531024,199.42857142857142
aycicegi,A,pls,LOYO,year=2005,1388,2005,25,201.0,187.64518190032024,197.8095238095238
aycicegi,A,pls,LOYO,year=2006,1388,2006,25,229.0,225.4615771434501,196.47619047619048
aycicegi,A,pls,LOYO,year=2007,1388,2007,25,119.0,199.90163551787552,201.71428571428572
aycicegi,A,pls,LOYO,year=2008,1388,2008,25,186.0,188.91702282402895,198.52380952380952
aycicegi,A,pls,LOYO,year=2009,1388,2009,25,187.0,202.1871368603731,198.47619047619048
aycicegi,A,pls,LOYO,year=2010,1388,2010,25,194.0,230.82486705725216,198.14285714285714
aycicegi,A,pls,LOYO,year=2011,1388,2011,25,182.0,206.5187907982798,198.71428571428572
aycicegi,A,pls,LOYO,year=2012,1388,2012,25,175.0,189.65778383314415,199.04761904761904
aycicegi,A,pls,LOYO,year=2013,1388,2013,27,241.0,178.1795294684618,195.9047619047619
aycicegi,A,pls,LOYO,year=2014,1388,2014,27,231.0,243.8010739799483,196.38095238095238
aycicegi,A,pls,LOYO,year=2015,1388,2015,27,194.0,212.71841510347943,198.14285714285714
aycicegi,A,pls,LOYO,year=2016,1388,2016,27,208.0,187.28954212965917,197.47619047619048
aycicegi,A,pls,LOYO,year=2017,1388,2017,27,239.0,209.0001716924084,196.0
aycicegi,A,pls,LOYO,year=2018,1388,2018,27,250.0,220.8969340429817,195.47619047619048
aycicegi,A,pls,LOYO,year=2019,1388,2019,27,270.0,198.12568167164025,194.52380952380952
aycicegi,A,pls,LOYO,year=2020,1388,2020,27,233.0,202.2386057254569,196.28571428571428
aycicegi,A,pls,LOYO,year=2021,1388,2021,27,230.0,175.47950533762491,196.42857142857142
aycicegi,A,pls,LOYO,year=2022,1388,2022,27,193.0,155.123161991159,198.1904761904762
aycicegi,A,pls,LOYO,year=2023,1388,2023,27,113.0,189.0278630505412,202.0
aycicegi,A,pls,LOYO,year=2024,1388,2024,27,181.0,209.73916291455063,198.76190476190476
aycicegi,A,pls,LOYO,year=2025,1388,2025,27,132.0,183.58866379843903,201.0952380952381
aycicegi,A,pls,LOYO,year=2004,1412,2004,25,154.0,203.5367289181241,211.14285714285714
aycicegi,A,pls,LOYO,year=2005,1412,2005,25,186.0,230.71689723278763,209.61904761904762
aycicegi,A,pls,LOYO,year=2006,1412,2006,25,212.0,261.9701770229501,208.38095238095238
aycicegi,A,pls,LOYO,year=2007,1412,2007,25,187.0,236.50934825354489,209.57142857142858
aycicegi,A,pls,LOYO,year=2008,1412,2008,25,186.0,219.53037516427628,209.61904761904762
aycicegi,A,pls,LOYO,year=2009,1412,2009,25,187.0,206.76862748110236,209.57142857142858
aycicegi,A,pls,LOYO,year=2010,1412,2010,25,300.0,263.46833402368054,204.1904761904762
aycicegi,A,pls,LOYO,year=2011,1412,2011,25,206.0,192.80277560301252,208.66666666666666
aycicegi,A,pls,LOYO,year=2012,1412,2012,25,169.0,213.71855022848425,210.42857142857142
aycicegi,A,pls,LOYO,year=2013,1412,2013,27,214.0,209.5194104454346,208.28571428571428
aycicegi,A,pls,LOYO,year=2014,1412,2014,27,285.0,257.2942279009917,204.9047619047619
aycicegi,A,pls,LOYO,year=2015,1412,2015,27,222.0,232.6542494789247,207.9047619047619
aycicegi,A,pls,LOYO,year=2016,1412,2016,27,184.0,215.19242165411225,209.71428571428572
aycicegi,A,pls,LOYO,year=2017,1412,2017,27,217.0,234.24789907932404,208.14285714285714
aycicegi,A,pls,LOYO,year=2018,1412,2018,27,266.0,240.73932342304184,205.8095238095238
aycicegi,A,pls,LOYO,year=2019,1412,2019,27,267.0,228.06992207557292,205.76190476190476
aycicegi,A,pls,LOYO,year=2020,1412,2020,27,247.0,220.25872013734147,206.71428571428572
aycicegi,A,pls,LOYO,year=2021,1412,2021,27,214.0,220.0564313142322,208.28571428571428
aycicegi,A,pls,LOYO,year=2022,1412,2022,27,252.0,165.40454068602787,206.47619047619048
aycicegi,A,pls,LOYO,year=2023,1412,2023,27,147.0,201.8647598268992,211.47619047619048
aycicegi,A,pls,LOYO,year=2024,1412,2024,27,142.0,235.1756558172944,211.71428571428572
aycicegi,A,pls,LOYO,year=2025,1412,2025,27,144.0,207.5399365000444,211.61904761904762
aycicegi,A,pls,LOYO,year=2004,1464,2004,25,171.0,210.74604544864317,231.33333333333334
aycicegi,A,pls,LOYO,year=2005,1464,2005,25,186.0,212.871403246752,230.61904761904762
aycicegi,A,pls,LOYO,year=2006,1464,2006,25,212.0,245.0821528409943,229.38095238095238
aycicegi,A,pls,LOYO,year=2007,1464,2007,25,233.0,220.12822180960137,228.38095238095238
aycicegi,A,pls,LOYO,year=2008,1464,2008,25,224.0,206.634528535315,228.8095238095238
aycicegi,A,pls,LOYO,year=2009,1464,2009,25,225.0,214.6757931627633,228.76190476190476
aycicegi,A,pls,LOYO,year=2010,1464,2010,25,245.0,250.06835075599656,227.8095238095238
aycicegi,A,pls,LOYO,year=2011,1464,2011,25,223.0,225.6675461925749,228.85714285714286
aycicegi,A,pls,LOYO,year=2012,1464,2012,25,226.0,203.5946365148234,228.71428571428572
aycicegi,A,pls,LOYO,year=2013,1464,2013,27,235.0,195.7894669841362,228.28571428571428
aycicegi,A,pls,LOYO,year=2014,1464,2014,27,287.0,266.35288881341364,225.8095238095238
aycicegi,A,pls,LOYO,year=2015,1464,2015,27,251.0,228.69387508513364,227.52380952380952
aycicegi,A,pls,LOYO,year=2016,1464,2016,27,243.0,209.80498467499064,227.9047619047619
aycicegi,A,pls,LOYO,year=2017,1464,2017,27,255.0,224.20025174240385,227.33333333333334
aycicegi,A,pls,LOYO,year=2018,1464,2018,27,260.0,235.63635366168785,227.0952380952381
aycicegi,A,pls,LOYO,year=2019,1464,2019,27,257.0,224.51758196679268,227.23809523809524
aycicegi,A,pls,LOYO,year=2020,1464,2020,27,249.0,213.1278845471356,227.61904761904762
aycicegi,A,pls,LOYO,year=2021,1464,2021,27,279.0,216.3751877468525,226.1904761904762
aycicegi,A,pls,LOYO,year=2022,1464,2022,27,268.0,169.1217215388917,226.71428571428572
aycicegi,A,pls,LOYO,year=2023,1464,2023,27,189.0,193.99186230618025,230.47619047619048
aycicegi,A,pls,LOYO,year=2024,1464,2024,27,156.0,220.9271367858377,232.04761904761904
aycicegi,A,pls,LOYO,year=2025,1464,2025,27,155.0,203.46257568782136,232.0952380952381
aycicegi,A,pls,LOYO,year=2004,1471,2004,25,154.0,196.08167173806635,207.71428571428572
aycicegi,A,pls,LOYO,year=2005,1471,2005,25,149.0,187.10004971653717,207.95238095238096
aycicegi,A,pls,LOYO,year=2006,1471,2006,25,161.0,229.1811748249938,207.38095238095238
aycicegi,A,pls,LOYO,year=2007,1471,2007,25,153.0,193.446839001372,207.76190476190476
aycicegi,A,pls,LOYO,year=2008,1471,2008,25,149.0,201.10110456141916,207.95238095238096
aycicegi,A,pls,LOYO,year=2009,1471,2009,25,150.0,198.20790276095025,207.9047619047619
aycicegi,A,pls,LOYO,year=2010,1471,2010,25,143.0,236.42963157389585,208.23809523809524
aycicegi,A,pls,LOYO,year=2011,1471,2011,25,161.0,188.2855468144291,207.38095238095238
aycicegi,A,pls,LOYO,year=2012,1471,2012,25,230.0,191.78389197551425,204.0952380952381
aycicegi,A,pls,LOYO,year=2013,1471,2013,27,251.0,175.50280859994098,203.0952380952381
aycicegi,A,pls,LOYO,year=2014,1471,2014,27,248.0,272.0993299750636,203.23809523809524
aycicegi,A,pls,LOYO,year=2015,1471,2015,27,241.0,192.94267612501784,203.57142857142858
aycicegi,A,pls,LOYO,year=2016,1471,2016,27,191.0,187.02906069153408,205.95238095238096
aycicegi,A,pls,LOYO,year=2017,1471,2017,27,275.0,223.2444605347522,201.95238095238096
aycicegi,A,pls,LOYO,year=2018,1471,2018,27,243.0,228.0724674458155,203.47619047619048
aycicegi,A,pls,LOYO,year=2019,1471,2019,27,265.0,187.5957412986881,202.42857142857142
aycicegi,A,pls,LOYO,year=2020,1471,2020,27,289.0,198.89479404477075,201.28571428571428
aycicegi,A,pls,LOYO,year=2021,1471,2021,27,253.0,158.12113541840247,203.0
aycicegi,A,pls,LOYO,year=2022,1471,2022,27,248.0,183.9726038822976,203.23809523809524
aycicegi,A,pls,LOYO,year=2023,1471,2023,27,222.0,192.2649091041824,204.47619047619048
aycicegi,A,pls,LOYO,year=2024,1471,2024,27,206.0,204.53222610202647,205.23809523809524
aycicegi,A,pls,LOYO,year=2025,1471,2025,27,134.0,179.02255038437806,208.66666666666666
aycicegi,A,pls,LOYO,year=2004,1480,2004,25,68.0,210.1673593417004,148.71428571428572
aycicegi,A,pls,LOYO,year=2005,1480,2005,25,52.0,215.7674245476189,149.47619047619048
aycicegi,A,pls,LOYO,year=2006,1480,2006,25,127.0,235.96142165300836,145.9047619047619
aycicegi,A,pls,LOYO,year=2007,1480,2007,25,127.0,190.3229012267017,145.9047619047619
aycicegi,A,pls,LOYO,year=2008,1480,2008,25,149.0,213.70898476514392,144.85714285714286
aycicegi,A,pls,LOYO,year=2009,1480,2009,25,112.0,197.3490519770053,146.61904761904762
aycicegi,A,pls,LOYO,year=2010,1480,2010,25,146.0,254.90987473819055,145.0
aycicegi,A,pls,LOYO,year=2011,1480,2011,25,165.0,164.30285958395737,144.0952380952381
aycicegi,A,pls,LOYO,year=2012,1480,2012,25,196.0,194.5042871189753,142.61904761904762
aycicegi,A,pls,LOYO,year=2013,1480,2013,27,230.0,186.9219206087189,141.0
aycicegi,A,pls,LOYO,year=2014,1480,2014,27,186.0,300.2329934855197,143.0952380952381
aycicegi,A,pls,LOYO,year=2015,1480,2015,27,181.0,193.6843708643176,143.33333333333334
aycicegi,A,pls,LOYO,year=2016,1480,2016,27,164.0,199.527934521462,144.14285714285714
aycicegi,A,pls,LOYO,year=2017,1480,2017,27,159.0,224.4139503268741,144.38095238095238
aycicegi,A,pls,LOYO,year=2018,1480,2018,27,163.0,217.67313040500224,144.1904761904762
aycicegi,A,pls,LOYO,year=2019,1480,2019,27,164.0,208.4062919367313,144.14285714285714
aycicegi,A,pls,LOYO,year=2020,1480,2020,27,187.0,195.24520229153995,143.04761904761904
aycicegi,A,pls,LOYO,year=2021,1480,2021,27,167.0,156.0130559250534,144.0
aycicegi,A,pls,LOYO,year=2022,1480,2022,27,128.0,187.33246724666847,145.85714285714286
aycicegi,A,pls,LOYO,year=2023,1480,2023,27,122.0,191.14432259524756,146.14285714285714
aycicegi,A,pls,LOYO,year=2024,1480,2024,27,128.0,211.4180099654336,145.85714285714286
aycicegi,A,pls,LOYO,year=2025,1480,2025,27,70.0,176.58945306894944,148.61904761904762
aycicegi,A,pls,LOYO,year=2004,1502,2004,25,145.0,207.71675613713288,179.23809523809524
aycicegi,A,pls,LOYO,year=2005,1502,2005,25,149.0,215.4667620410023,179.04761904761904
aycicegi,A,pls,LOYO,year=2006,1502,2006,25,127.0,230.74116925924776,180.0952380952381
aycicegi,A,pls,LOYO,year=2007,1502,2007,25,127.0,187.49515898445853,180.0952380952381
aycicegi,A,pls,LOYO,year=2008,1502,2008,25,134.0,209.6259700593056,179.76190476190476
aycicegi,A,pls,LOYO,year=2009,1502,2009,25,165.0,192.768225059106,178.28571428571428
aycicegi,A,pls,LOYO,year=2010,1502,2010,25,250.0,252.15331157838403,174.23809523809524
aycicegi,A,pls,LOYO,year=2011,1502,2011,25,206.0,162.05165168251267,176.33333333333334
aycicegi,A,pls,LOYO,year=2012,1502,2012,25,167.0,193.3132408165485,178.1904761904762
aycicegi,A,pls,LOYO,year=2013,1502,2013,27,191.0,187.3294290984524,177.04761904761904
aycicegi,A,pls,LOYO,year=2014,1502,2014,27,232.0,302.82209971555886,175.0952380952381
aycicegi,A,pls,LOYO,year=2015,1502,2015,27,205.0,191.1196515026309,176.38095238095238
aycicegi,A,pls,LOYO,year=2016,1502,2016,27,183.0,197.16675927676104,177.42857142857142
aycicegi,A,pls,LOYO,year=2017,1502,2017,27,197.0,220.74472781131908,176.76190476190476
aycicegi,A,pls,LOYO,year=2018,1502,2018,27,201.0,218.4184613804549,176.57142857142858
aycicegi,A,pls,LOYO,year=2019,1502,2019,27,201.0,208.26609189685075,176.57142857142858
aycicegi,A,pls,LOYO,year=2020,1502,2020,27,204.0,194.81218589248388,176.42857142857142
aycicegi,A,pls,LOYO,year=2021,1502,2021,27,202.0,161.81742055904652,176.52380952380952
aycicegi,A,pls,LOYO,year=2022,1502,2022,27,214.0,187.9609190976325,175.95238095238096
aycicegi,A,pls,LOYO,year=2023,1502,2023,27,261.0,187.42280762339976,173.71428571428572
aycicegi,A,pls,LOYO,year=2024,1502,2024,27,78.0,210.4170311918607,182.42857142857142
aycicegi,A,pls,LOYO,year=2025,1502,2025,27,70.0,176.72214558936798,182.8095238095238
aycicegi,A,pls,LOYO,year=2004,1505,2004,25,188.0,196.08167173806635,220.38095238095238
aycicegi,A,pls,LOYO,year=2005,1505,2005,25,186.0,187.10004971653717,220.47619047619048
aycicegi,A,pls,LOYO,year=2006,1505,2006,25,212.0,229.1811748249938,219.23809523809524
aycicegi,A,pls,LOYO,year=2007,1505,2007,25,212.0,193.446839001372,219.23809523809524
aycicegi,A,pls,LOYO,year=2008,1505,2008,25,186.0,201.10110456141916,220.47619047619048
aycicegi,A,pls,LOYO,year=2009,1505,2009,25,187.0,198.20790276095025,220.42857142857142
aycicegi,A,pls,LOYO,year=2010,1505,2010,25,209.0,236.42963157389585,219.38095238095238
aycicegi,A,pls,LOYO,year=2011,1505,2011,25,190.0,188.2855468144291,220.28571428571428
aycicegi,A,pls,LOYO,year=2012,1505,2012,25,237.0,191.78389197551425,218.04761904761904
aycicegi,A,pls,LOYO,year=2013,1505,2013,27,228.0,175.50280859994098,218.47619047619048
aycicegi,A,pls,LOYO,year=2014,1505,2014,27,282.0,272.0993299750636,215.9047619047619
aycicegi,A,pls,LOYO,year=2015,1505,2015,27,274.0,192.94267612501784,216.28571428571428
aycicegi,A,pls,LOYO,year=2016,1505,2016,27,249.0,187.02906069153408,217.47619047619048
aycicegi,A,pls,LOYO,year=2017,1505,2017,27,245.0,223.2444605347522,217.66666666666666
aycicegi,A,pls,LOYO,year=2018,1505,2018,27,249.0,228.0724674458155,217.47619047619048
aycicegi,A,pls,LOYO,year=2019,1505,2019,27,319.0,187.5957412986881,214.14285714285714
aycicegi,A,pls,LOYO,year=2020,1505,2020,27,277.0,198.89479404477075,216.14285714285714
aycicegi,A,pls,LOYO,year=2021,1505,2021,27,230.0,158.12113541840247,218.38095238095238
aycicegi,A,pls,LOYO,year=2022,1505,2022,27,195.0,183.9726038822976,220.04761904761904
aycicegi,A,pls,LOYO,year=2023,1505,2023,27,188.0,192.2649091041824,220.38095238095238
