prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2026-02-06,2026-02-13,0.6728000000000001,0.754550039768219,-0.08175003976821893,1.0,0.3232125,0.34958750000000005,2026-02-15,0.7658,s2_gee_raw,2,0.09299999999999997,0.011249960231781042
2026-02-07,2026-02-14,0.6728000000000001,0.7558000087738037,-0.08300000877380365,1.0,0.3629361111111111,0.30986388888888894,2026-02-15,0.7658,s2_gee_raw,1,0.09299999999999997,0.009999991226196325
2026-02-08,2026-02-15,0.6728000000000001,0.7570500373840332,-0.08425003738403314,1.0,0.33172916666666674,0.3410708333333333,2026-02-15,0.7658,s2_gee_raw,0,0.09299999999999997,0.008749962615966833
2026-02-09,2026-02-16,0.6728000000000001,0.7582999467849731,-0.08549994678497308,1.0,0.33172916666666674,0.3410708333333333,2026-02-15,0.7658,s2_gee_raw,1,0.09299999999999997,0.007500053215026892
2026-02-10,2026-02-17,0.6728000000000001,0.7595499753952026,-0.08674997539520257,1.0,0.33172916666666674,0.3410708333333333,2026-02-15,0.7658,s2_gee_raw,2,0.09299999999999997,0.0062500246047973995
2026-02-11,2026-02-18,0.6728000000000001,0.7608000040054321,-0.08800000400543206,1.0,0.3462527777777778,0.32654722222222227,2026-02-20,0.83475,s2_gee_raw,2,0.16194999999999993,0.07394999599456786
2026-02-12,2026-02-19,0.6728000000000001,0.7620499730110168,-0.08924997301101678,1.0,0.31976458333333335,0.3530354166666667,2026-02-20,0.83475,s2_gee_raw,1,0.16194999999999993,0.07270002698898315
2026-02-13,2026-02-20,0.6728000000000001,0.7633000016212463,-0.09050000162124627,1.0,0.3526611111111111,0.320138888888889,2026-02-20,0.83475,s2_gee_raw,0,0.16194999999999993,0.07144999837875365
2026-02-14,2026-02-21,0.6728000000000001,0.764549970626831,-0.09174997062683099,1.0,0.30779999999999996,0.3650000000000001,2026-02-20,0.83475,s2_gee_raw,1,0.16194999999999993,0.07020002937316894
2026-02-15,2026-02-22,0.6728000000000001,0.7657999992370605,-0.09299999923706048,1.0,0.30779999999999996,0.3650000000000001,2026-02-20,0.83475,s2_gee_raw,2,0.16194999999999993,0.06895000076293945
2026-02-21,2026-02-28,0.6728000000000001,0.8292349576950073,-0.15643495769500726,1.0,0.43776249999999994,0.23503750000000012,2026-03-02,0.7796,s2_gee_raw,2,0.1067999999999999,0.049634957695007365
2026-02-22,2026-03-01,0.6728000000000001,0.8237200379371643,-0.15092003793716424,1.0,0.39229166666666665,0.2805083333333334,2026-03-02,0.7796,s2_gee_raw,1,0.1067999999999999,0.04412003793716435
2026-02-23,2026-03-02,0.6728000000000001,0.818204939365387,-0.1454049393653869,1.0,0.37412499999999993,0.29867500000000013,2026-03-02,0.7796,s2_gee_raw,0,0.1067999999999999,0.038604939365387
2026-02-24,2026-03-03,0.6728000000000001,0.812690019607544,-0.13989001960754388,1.0,0.37412499999999993,0.29867500000000013,2026-03-02,0.7796,s2_gee_raw,1,0.1067999999999999,0.033090019607543986
2026-02-25,2026-03-04,0.6728000000000001,0.8071750402450562,-0.1343750402450561,1.0,0.37412499999999993,0.29867500000000013,2026-03-02,0.7796,s2_gee_raw,2,0.1067999999999999,0.027575040245056193
2026-02-28,2026-03-07,0.6728000000000001,0.7906299829483032,-0.11782998294830316,1.0,0.3774416666666667,0.2953583333333334,2026-03-09,0.6718999999999999,s2_gee_raw,2,0.0009000000000001229,0.11872998294830328
2026-03-01,2026-03-08,0.6728000000000001,0.7851150035858154,-0.11231500358581537,1.0,0.4154875,0.25731250000000006,2026-03-09,0.6718999999999999,s2_gee_raw,1,0.0009000000000001229,0.11321500358581549
2026-03-02,2026-03-09,0.6728000000000001,0.7795999646186829,-0.1067999646186828,1.0,0.4154875,0.25731250000000006,2026-03-09,0.6718999999999999,s2_gee_raw,0,0.0009000000000001229,0.10769996461868292
2026-03-03,2026-03-10,0.6728000000000001,0.764214277267456,-0.09141427726745599,1.0,0.38255,0.29025000000000006,2026-03-09,0.6718999999999999,s2_gee_raw,1,0.0009000000000001229,0.09231427726745611
2026-03-04,2026-03-11,0.6728000000000001,0.7488285899162292,-0.07602858991622918,1.0,0.4275,0.24530000000000007,2026-03-09,0.6718999999999999,s2_gee_raw,2,0.0009000000000001229,0.0769285899162293
2026-03-08,2026-03-15,0.6728000000000001,0.6872857213020325,-0.014485721302032406,1.0,0.4571416666666666,0.21565833333333345,2026-03-17,0.6073,s2_gee_raw,2,0.06550000000000011,0.07998572130203252
2026-03-09,2026-03-16,0.6728000000000001,0.6719000339508057,0.0008999660491944006,1.0,0.42103124999999997,0.2517687500000001,2026-03-17,0.6073,s2_gee_raw,1,0.06550000000000011,0.06460003395080571
2026-03-10,2026-03-17,0.6728000000000001,0.6638249754905701,0.008975024509429996,1.0,0.4558166666666666,0.21698333333333347,2026-03-17,0.6073,s2_gee_raw,0,0.06550000000000011,0.05652497549057012
2026-03-11,2026-03-18,0.6728000000000001,0.6557499766349792,0.017050023365020817,1.0,0.40254999999999996,0.2702500000000001,2026-03-17,0.6073,s2_gee_raw,1,0.06550000000000011,0.0484499766349793
2026-03-12,2026-03-19,0.6663600809931756,0.6476750373840332,0.01868504360914236,0.9907299280166626,0.40254999999999996,0.2638100809931756,2026-03-17,0.6073,s2_gee_raw,2,0.05906008099317561,0.04037503738403325
2026-03-28,2026-04-04,0.6728000000000001,0.7798625230789185,-0.10706252307891839,1.0,0.49125555555555556,0.1815444444444445,2026-04-06,0.9210499999999999,s2_gee_raw,2,0.24824999999999986,0.14118747692108147
2026-03-29,2026-04-05,0.6728000000000001,0.7955499887466431,-0.122749988746643,1.0,0.5058041666666667,0.16699583333333334,2026-04-06,0.9210499999999999,s2_gee_raw,1,0.24824999999999986,0.12550001125335686
2026-03-30,2026-04-06,0.6728000000000001,0.8112375140190125,-0.1384375140190124,1.0,0.5315,0.1413000000000001,2026-04-06,0.9210499999999999,s2_gee_raw,0,0.24824999999999986,0.10981248598098747
2026-03-31,2026-04-07,0.6728000000000001,0.8269250392913818,-0.15412503929138177,1.0,0.5378583333333333,0.13494166666666674,2026-04-06,0.9210499999999999,s2_gee_raw,1,0.24824999999999986,0.09412496070861809
2026-04-01,2026-04-08,0.6728000000000001,0.8426125049591064,-0.16981250495910638,1.0,0.5378583333333333,0.13494166666666674,2026-04-06,0.9210499999999999,s2_gee_raw,2,0.24824999999999986,0.07843749504089348
2026-04-02,2026-04-09,0.6728000000000001,0.8583000302314758,-0.18550003023147577,1.0,0.5436444444444444,0.1291555555555557,2026-04-11,0.95485,s2_gee_raw,2,0.2820499999999999,0.09654996976852415
2026-04-03,2026-04-10,0.6728000000000001,0.8739875555038452,-0.20118755550384515,1.0,0.5436833333333333,0.12911666666666677,2026-04-11,0.95485,s2_gee_raw,1,0.2820499999999999,0.08086244449615476
2026-04-04,2026-04-11,0.6728000000000001,0.8896750211715698,-0.21687502117156976,1.0,0.5494888888888889,0.12331111111111115,2026-04-11,0.95485,s2_gee_raw,0,0.2820499999999999,0.06517497882843015
2026-04-05,2026-04-12,0.6728000000000001,0.9053625464439392,-0.23256254644393914,1.0,0.5495083333333333,0.1232916666666668,2026-04-11,0.95485,s2_gee_raw,1,0.2820499999999999,0.04948745355606077
2026-04-06,2026-04-13,0.6728000000000001,0.921049952507019,-0.24824995250701898,1.0,0.5495083333333333,0.1232916666666668,2026-04-11,0.95485,s2_gee_raw,2,0.2820499999999999,0.033800047492980934
2026-04-17,2026-04-24,0.6728000000000001,0.9380700588226318,-0.26527005882263177,1.0,0.47295833333333337,0.1998416666666667,2026-04-26,0.9129,s2_gee_raw,2,0.24009999999999998,0.02517005882263179
2026-04-18,2026-04-25,0.6728000000000001,0.935273289680481,-0.2624732896804809,1.0,0.4880354166666667,0.18476458333333334,2026-04-26,0.9129,s2_gee_raw,1,0.24009999999999998,0.022373289680480912
2026-04-19,2026-04-26,0.6728000000000001,0.9324766397476196,-0.25967663974761956,1.0,0.499338888888889,0.17346111111111107,2026-04-26,0.9129,s2_gee_raw,0,0.24009999999999998,0.019576639747619584
2026-04-20,2026-04-27,0.6728000000000001,0.9296799898147583,-0.25687998981475824,1.0,0.4797333333333334,0.19306666666666666,2026-04-26,0.9129,s2_gee_raw,1,0.24009999999999998,0.016779989814758256
2026-04-21,2026-04-28,0.6728000000000001,0.926883339881897,-0.2540833398818969,1.0,0.4797333333333334,0.19306666666666666,2026-04-28,0.91185,s2_gee_raw,0,0.23904999999999998,0.015033339881896923
2026-04-22,2026-04-29,0.6728000000000001,0.9240866899490356,-0.2512866899490356,1.0,0.48210555555555556,0.1906944444444445,2026-04-28,0.91185,s2_gee_raw,1,0.23904999999999998,0.012236689949035595
2026-04-23,2026-04-30,0.6728000000000001,0.9212899804115295,-0.24848998041152948,1.0,0.4960072916666667,0.17679270833333338,2026-04-28,0.91185,s2_gee_raw,2,0.23904999999999998,0.009439980411529492
2026-04-27,2026-05-04,0.6728000000000001,0.9123750329017639,-0.23957503290176385,1.0,0.5254583333333334,0.1473416666666667,2026-05-06,0.9073500000000001,s2_gee_raw,2,0.23455000000000004,0.005025032901763815
2026-04-28,2026-05-05,0.6728000000000001,0.9118499755859375,-0.23904997558593744,1.0,0.54323125,0.12956875,2026-05-06,0.9073500000000001,s2_gee_raw,1,0.23455000000000004,0.004499975585937399
2026-04-29,2026-05-06,0.6728000000000001,0.9112875461578369,-0.23848754615783685,1.0,0.5620250000000001,0.11077499999999996,2026-05-06,0.9073500000000001,s2_gee_raw,0,0.23455000000000004,0.003937546157836813
2026-04-30,2026-05-07,0.6728000000000001,0.9107250571250916,-0.2379250571250915,1.0,0.5741812500000001,0.09861874999999998,2026-05-06,0.9073500000000001,s2_gee_raw,1,0.23455000000000004,0.003375057125091452
2026-05-01,2026-05-08,0.6728000000000001,0.9101625084877014,-0.23736250848770135,1.0,0.5741812500000001,0.09861874999999998,2026-05-06,0.9073500000000001,s2_gee_raw,2,0.23455000000000004,0.002812508487701315
2026-05-02,2026-05-09,0.6728000000000001,0.909600019454956,-0.236800019454956,1.0,0.5655708333333332,0.10722916666666682,2026-05-11,0.88895,s2_gee_raw,2,0.21614999999999995,0.020650019454956037
2026-05-03,2026-05-10,0.6728000000000001,0.9090375304222107,-0.23623753042221063,1.0,0.5662322916666667,0.1065677083333334,2026-05-11,0.88895,s2_gee_raw,1,0.21614999999999995,0.020087530422210675
2026-05-04,2026-05-11,0.6728000000000001,0.9084749817848206,-0.2356749817848205,1.0,0.5710388888888889,0.10176111111111119,2026-05-11,0.88895,s2_gee_raw,0,0.21614999999999995,0.01952498178482054
2026-05-05,2026-05-12,0.6728000000000001,0.9079124927520752,-0.23511249275207513,1.0,0.5582833333333334,0.11451666666666671,2026-05-11,0.88895,s2_gee_raw,1,0.21614999999999995,0.018962492752075177
2026-05-06,2026-05-13,0.6728000000000001,0.9073500037193298,-0.23455000371932977,1.0,0.5582833333333334,0.11451666666666671,2026-05-11,0.88895,s2_gee_raw,2,0.21614999999999995,0.018400003719329816
2026-05-07,2026-05-14,0.6728000000000001,0.9036699533462524,-0.23086995334625238,1.0,0.5619805555555555,0.11081944444444458,2026-05-16,0.9192,s2_gee_raw,2,0.24639999999999995,0.015530046653747576
2026-05-08,2026-05-15,0.6728000000000001,0.8999900221824646,-0.22719002218246453,1.0,0.5360729166666667,0.1367270833333334,2026-05-16,0.9192,s2_gee_raw,1,0.24639999999999995,0.019209977817535417
2026-05-09,2026-05-16,0.6728000000000001,0.8963099718093872,-0.22350997180938714,1.0,0.5319805555555556,0.1408194444444445,2026-05-16,0.9192,s2_gee_raw,0,0.24639999999999995,0.02289002819061281
2026-05-10,2026-05-17,0.6728000000000001,0.8926300406455994,-0.2198300406455993,1.0,0.5138625000000001,0.15893749999999995,2026-05-16,0.9192,s2_gee_raw,1,0.24639999999999995,0.026569959354400652
2026-05-11,2026-05-18,0.6728000000000001,0.888949990272522,-0.2161499902725219,1.0,0.5138625000000001,0.15893749999999995,2026-05-16,0.9192,s2_gee_raw,2,0.24639999999999995,0.030250009727478044
2026-05-17,2026-05-24,0.6728000000000001,0.9192450046539307,-0.2464450046539306,1.0,0.5234958333333334,0.14930416666666668,2026-05-26,0.91965,s2_gee_raw,2,0.2468499999999999,0.00040499534606930343
2026-05-18,2026-05-25,0.6728000000000001,0.9192900061607361,-0.24649000616073602,1.0,0.522709375,0.15009062500000003,2026-05-26,0.91965,s2_gee_raw,1,0.2468499999999999,0.0003599938392638835
2026-05-19,2026-05-26,0.6728000000000001,0.9193350672721863,-0.24653506727218621,1.0,0.5247250000000001,0.14807499999999996,2026-05-26,0.91965,s2_gee_raw,0,0.2468499999999999,0.0003149327278136882
2026-05-20,2026-05-27,0.6728000000000001,0.9193800091743469,-0.24658000917434686,1.0,0.5071687500000002,0.1656312499999999,2026-05-26,0.91965,s2_gee_raw,1,0.2468499999999999,0.00026999082565304366
2026-05-21,2026-05-28,0.6728000000000001,0.9194249510765076,-0.2466249510765075,1.0,0.5071687500000002,0.1656312499999999,2026-05-26,0.91965,s2_gee_raw,2,0.2468499999999999,0.00022504892349239913
2026-05-27,2026-06-03,0.6728000000000001,0.9075850248336792,-0.23478502483367913,1.0,0.5184555555555556,0.1543444444444445,2026-06-05,0.7989999999999999,s2_gee_raw,2,0.12619999999999987,0.10858502483367927
2026-05-28,2026-06-04,0.6728000000000001,0.895520031452179,-0.2227200314521789,1.0,0.4800041666666667,0.1927958333333334,2026-06-05,0.7989999999999999,s2_gee_raw,1,0.12619999999999987,0.09652003145217902
2026-05-29,2026-06-05,0.6728000000000001,0.8834549784660339,-0.21065497846603387,1.0,0.4524166666666667,0.22038333333333338,2026-06-05,0.7989999999999999,s2_gee_raw,0,0.12619999999999987,0.084454978466034
