stage,n,R2,MAE,RMSE,bias,MAPE_pct,year,actual_source
pre_season,68,-1.2406484135795277,0.1176535215526994,0.14081694678933757,-0.10645079665886996,14.253373012246543,2026,unified
emergence,26,-331.32069636313275,0.24376749999999997,0.2441350952687473,-0.24376749999999997,26.58011323664323,2026,unified
vegetative,38,-0.6564163216803924,0.19131727976485294,0.20215155067869547,-0.12948008865619953,24.811758120375423,2026,unified
