date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,10.99,7.18,8.73,2.85,5.33,0.67,3.57,93.22
2004-01-02,13.84,7.35,9.54,3.02,4.46,0.68,4.25,89.5
2004-01-03,10.93,6.64,8.33,4.24,4.0,0.68,7.22,91.0
2004-01-04,7.9,2.64,6.1,12.8,1.75,0.7,10.24,91.24
2004-01-05,3.98,1.35,2.61,4.99,3.02,0.7,4.9,89.1
2004-01-06,1.61,-1.92,-0.1,1.94,6.94,0.7,6.39,77.45
2004-01-07,-0.47,-3.75,-2.11,0.06,5.95,0.7,4.54,72.43
2004-01-08,1.92,-1.84,-0.06,0.5,6.24,0.7,4.19,82.37
2004-01-09,2.38,-1.32,0.36,0.01,7.82,0.7,2.13,67.87
2004-01-10,5.34,0.01,2.75,0.13,6.19,0.7,3.88,73.03
2004-01-11,4.44,2.08,3.54,3.02,1.8,0.7,11.69,88.48
2004-01-12,7.18,0.95,3.79,0.02,3.51,0.7,4.76,88.44
2004-01-13,8.79,3.18,6.02,0.02,5.9,0.7,3.86,93.27
2004-01-14,12.64,7.32,9.52,0.0,4.92,0.7,4.86,94.99
2004-01-15,15.31,7.48,11.63,1.26,5.49,0.7,6.53,89.68
2004-01-16,12.9,4.31,8.38,1.49,7.27,0.7,5.86,72.54
2004-01-17,11.32,2.21,6.53,0.0,10.3,0.7,4.6,82.13
2004-01-18,13.84,6.3,9.69,0.0,9.25,0.7,5.65,81.34
2004-01-19,14.21,7.05,9.85,0.13,8.15,0.7,5.44,90.93
2004-01-20,15.1,9.31,11.84,0.78,4.01,0.7,8.1,87.26
2004-01-21,13.27,3.7,9.42,24.44,4.03,0.71,7.62,90.9
2004-01-22,3.34,-3.65,-0.06,57.99,1.92,0.74,15.46,93.12
2004-01-23,-1.87,-4.08,-3.17,1.02,4.29,0.74,7.83,88.08
2004-01-24,-0.23,-4.55,-1.88,0.96,4.2,0.73,2.83,79.73
2004-01-25,1.09,-0.87,0.07,0.01,6.51,0.73,6.92,92.01
2004-01-26,0.55,-1.42,-0.64,0.99,3.57,0.73,5.1,95.9
