date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,10.24,5.86,7.41,1.02,4.3,0.74,3.48,94.31
2004-01-02,12.42,5.05,7.39,2.48,3.33,0.75,3.49,94.72
2004-01-03,10.06,4.97,6.71,2.08,3.49,0.75,6.05,88.86
2004-01-04,5.14,-2.23,1.79,8.88,1.86,0.76,8.52,85.88
2004-01-05,0.4,-3.83,-2.07,3.56,2.17,0.76,3.62,82.46
2004-01-06,-0.95,-6.94,-4.24,0.3,5.66,0.76,3.92,75.98
2004-01-07,-1.97,-7.79,-5.21,0.06,5.56,0.76,4.06,74.81
2004-01-08,0.21,-7.03,-4.62,0.03,6.5,0.76,2.35,80.73
2004-01-09,0.59,-9.57,-5.02,0.0,7.62,0.76,2.02,83.56
2004-01-10,3.56,-5.94,-1.47,0.01,7.06,0.76,3.13,85.87
2004-01-11,4.57,-1.77,0.24,0.53,2.19,0.76,7.71,83.66
2004-01-12,5.24,-4.35,-0.21,0.01,6.17,0.76,2.82,84.48
2004-01-13,6.28,-2.24,1.31,0.05,4.48,0.76,3.02,97.69
2004-01-14,9.51,1.3,4.97,0.06,3.46,0.76,3.92,98.72
2004-01-15,13.2,2.7,7.38,1.74,2.69,0.76,5.11,91.59
2004-01-16,9.09,-0.84,4.0,0.17,7.43,0.76,5.13,82.06
2004-01-17,11.01,-2.95,3.28,0.0,9.13,0.76,3.94,88.17
2004-01-18,14.01,2.55,6.79,0.0,7.59,0.76,4.35,90.53
2004-01-19,15.05,4.89,8.52,0.0,6.56,0.76,4.36,92.06
2004-01-20,14.71,7.37,10.82,2.21,4.75,0.76,7.56,91.38
2004-01-21,11.57,1.19,5.86,12.42,1.45,0.77,5.84,91.15
2004-01-22,0.77,-5.77,-2.74,18.97,1.84,0.77,12.38,84.53
2004-01-23,-3.64,-6.61,-5.29,0.79,3.77,0.77,7.32,81.34
2004-01-24,-2.63,-8.47,-5.59,0.06,3.41,0.77,2.42,84.63
2004-01-25,-0.27,-9.75,-5.88,0.04,3.98,0.77,4.0,88.97
2004-01-26,-0.68,-8.56,-5.48,0.28,4.17,0.77,3.49,92.94
2004-01-27,1.53,-9.65,-3.29,0.63,6.34,0.77,3.2,95.95
2004-01-28,13.05,1.64,8.22,4.02,4.44,0.8,8.92,96.32
2004-01-29,14.15,2.0,10.63,17.96,2.58,0.82,9.8,89.33
2004-01-30,8.79,-2.3,2.41,0.41,3.49,0.83,5.47,80.25
2004-01-31,5.75,-4.49,-0.04,0.01,9.55,0.82,6.8,76.23
2004-02-01,6.88,-4.46,0.61,0.0,10.99,0.82,2.21,85.33
2004-02-02,12.46,-1.17,4.17,0.0,8.66,0.81,3.91,83.1
2004-02-03,10.53,-0.02,4.12,3.13,3.01,0.82,3.99,88.24
2004-02-04,7.8,-1.97,1.44,0.0,8.17,0.82,3.59,83.42
2004-02-05,12.51,-2.63,4.41,0.0,7.48,0.81,3.37,90.57
2004-02-06,17.99,2.6,9.09,0.0,10.04,0.81,3.96,83.27
2004-02-07,17.88,4.67,9.63,0.0,12.37,0.81,4.5,82.9
2004-02-08,15.43,3.26,8.85,0.0,8.82,0.81,2.8,81.45
2004-02-09,14.46,0.47,7.35,0.04,7.9,0.81,3.69,83.69
2004-02-10,6.99,-3.86,0.98,0.0,12.35,0.8,5.3,70.58
2004-02-11,5.17,-5.45,-0.08,0.0,13.03,0.8,3.72,69.56
2004-02-12,2.47,-7.12,-1.47,2.91,4.54,0.8,7.2,72.41
2004-02-13,-5.38,-7.98,-6.87,0.89,4.37,0.8,10.01,55.21
2004-02-14,-3.22,-8.26,-5.58,0.12,7.64,0.8,3.37,69.53
2004-02-15,5.45,-6.36,-1.42,0.55,4.33,0.8,3.94,79.83
2004-02-16,5.33,-4.08,0.24,0.0,10.67,0.8,1.7,80.44
2004-02-17,4.46,-2.77,0.02,0.0,9.55,0.8,3.14,81.68
2004-02-18,5.84,-3.74,0.43,0.0,12.94,0.8,1.96,69.07
2004-02-19,10.35,-2.03,2.39,0.0,13.23,0.8,2.9,81.52
2004-02-20,4.51,-4.49,0.99,1.56,5.49,0.8,3.64,91.77
