date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,9.03,4.11,5.79,0.55,4.3,0.76,1.8,95.34
2004-01-02,10.02,3.68,5.82,1.46,3.33,0.76,1.83,96.3
2004-01-03,6.63,3.53,5.1,1.2,3.49,0.76,3.73,94.61
2004-01-04,3.36,-3.24,0.22,10.94,1.86,0.77,5.63,94.0
2004-01-05,-1.32,-5.67,-3.79,4.11,2.17,0.77,2.66,87.13
2004-01-06,-4.36,-7.35,-6.08,1.24,5.66,0.77,3.3,77.03
2004-01-07,-5.02,-8.91,-6.77,0.07,5.56,0.77,3.39,81.33
2004-01-08,-1.9,-10.53,-7.11,0.01,6.5,0.77,2.02,87.52
2004-01-09,-0.79,-10.74,-6.77,0.0,7.62,0.77,1.89,87.76
2004-01-10,1.51,-7.2,-3.18,0.0,7.06,0.77,2.38,89.19
2004-01-11,2.47,-5.94,-1.25,0.39,2.19,0.77,4.55,92.29
2004-01-12,3.69,-3.67,-1.03,0.01,6.17,0.77,2.0,89.17
2004-01-13,3.39,-2.52,0.35,0.03,4.48,0.77,2.98,97.98
2004-01-14,5.75,-0.14,3.3,0.04,3.46,0.77,3.55,99.53
2004-01-15,9.32,0.15,5.18,1.35,2.69,0.77,3.72,91.24
2004-01-16,8.52,-3.38,1.97,0.29,7.43,0.77,3.77,88.84
2004-01-17,8.03,-3.38,1.83,0.0,9.13,0.77,3.48,89.17
2004-01-18,11.67,2.57,5.68,0.0,7.59,0.77,3.58,90.82
2004-01-19,11.91,4.9,7.39,0.0,6.56,0.77,3.21,94.61
2004-01-20,13.37,8.02,10.03,3.18,4.75,0.77,5.98,90.43
2004-01-21,10.03,-0.43,4.34,12.1,1.45,0.78,3.75,92.24
2004-01-22,-0.36,-7.06,-4.11,16.93,1.84,0.79,8.82,90.83
2004-01-23,-6.03,-8.38,-7.15,2.16,3.77,0.79,6.09,89.79
2004-01-24,-4.8,-8.22,-6.63,0.08,3.41,0.79,2.31,87.67
2004-01-25,-2.95,-10.2,-6.25,0.13,3.98,0.79,2.63,93.34
2004-01-26,-2.52,-8.03,-5.25,0.68,4.17,0.78,2.61,96.12
2004-01-27,0.17,-9.8,-3.98,0.31,6.34,0.78,3.03,96.7
2004-01-28,9.1,0.25,5.11,1.08,4.44,0.8,6.01,99.25
2004-01-29,11.69,-0.76,8.86,15.7,2.58,0.82,7.03,92.53
2004-01-30,5.17,-3.13,0.26,0.92,3.49,0.83,3.48,85.49
2004-01-31,2.4,-4.57,-1.66,0.01,9.55,0.82,4.2,83.47
2004-02-01,4.6,-4.68,-0.6,0.01,10.99,0.82,2.33,82.9
2004-02-02,9.94,-1.98,1.96,0.0,8.66,0.82,2.97,85.89
2004-02-03,5.57,0.12,2.2,4.61,3.01,0.82,3.23,95.2
2004-02-04,4.35,-2.59,-0.07,0.0,8.17,0.82,2.55,87.6
2004-02-05,9.21,-2.39,3.19,0.01,7.48,0.82,3.07,91.39
2004-02-06,16.25,4.1,8.16,0.0,10.04,0.82,2.88,80.53
2004-02-07,16.17,2.95,8.79,0.0,12.37,0.82,3.53,84.32
2004-02-08,14.0,2.39,7.84,0.0,8.82,0.81,2.67,80.54
2004-02-09,12.65,-0.07,6.36,0.05,7.9,0.81,3.07,82.02
2004-02-10,4.17,-5.22,-0.54,0.0,12.35,0.81,3.95,73.15
2004-02-11,3.31,-6.34,-1.58,0.01,13.03,0.81,3.03,69.63
2004-02-12,-0.14,-8.81,-3.7,2.51,4.54,0.81,5.32,79.73
2004-02-13,-7.84,-10.12,-8.99,0.82,4.37,0.81,7.09,68.2
2004-02-14,-5.05,-9.16,-7.29,0.38,7.64,0.81,2.83,73.95
2004-02-15,1.53,-6.61,-3.55,0.55,4.33,0.81,3.06,87.49
2004-02-16,4.0,-4.85,-0.76,0.0,10.67,0.81,1.32,80.19
2004-02-17,2.34,-4.51,-1.31,0.0,9.55,0.81,2.04,84.4
2004-02-18,5.61,-5.15,-0.85,0.0,12.94,0.81,1.36,73.52
2004-02-19,8.7,-4.41,0.97,0.0,13.23,0.81,2.32,79.84
2004-02-20,2.75,-6.44,-0.84,2.04,5.49,0.81,3.27,91.1
2004-02-21,-4.13,-9.38,-6.6,0.06,14.03,0.81,4.06,76.22
2004-02-22,2.44,-9.24,-3.39,0.0,6.69,0.81,2.24,80.64
2004-02-23,3.17,-3.11,0.74,1.48,3.98,0.81,3.56,92.67
2004-02-24,8.03,2.35,5.35,0.73,4.96,0.81,2.96,99.23
2004-02-25,13.2,0.69,7.46,0.28,5.36,0.81,4.01,90.59
