date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,9.94,6.38,8.19,0.67,4.3,0.68,3.56,92.44
2004-01-02,12.66,6.01,8.45,1.92,3.33,0.69,3.99,91.03
2004-01-03,10.52,5.2,7.32,3.2,3.49,0.69,6.63,91.8
2004-01-04,6.32,1.98,4.66,10.66,1.86,0.7,9.31,92.62
2004-01-05,2.38,-0.33,1.07,4.52,2.17,0.7,4.5,89.98
2004-01-06,0.17,-4.52,-2.26,2.33,5.66,0.7,5.41,79.3
2004-01-07,-1.74,-5.31,-3.65,0.1,5.56,0.7,4.55,76.9
2004-01-08,0.31,-4.22,-2.09,0.18,6.5,0.7,3.04,81.35
2004-01-09,1.22,-4.19,-1.84,0.0,7.62,0.7,1.85,71.36
2004-01-10,3.99,-1.73,0.81,0.0,7.06,0.7,3.53,76.79
2004-01-11,5.12,0.75,2.27,2.06,2.19,0.7,9.35,87.79
2004-01-12,6.31,0.0,2.6,0.03,6.17,0.7,3.89,91.19
2004-01-13,6.3,2.11,4.05,0.01,4.48,0.7,3.6,96.06
2004-01-14,10.3,4.09,7.29,0.04,3.46,0.7,4.69,97.54
2004-01-15,13.49,5.49,9.35,1.96,2.69,0.7,5.48,90.5
2004-01-16,12.22,1.42,6.38,1.54,7.43,0.71,5.76,78.22
2004-01-17,10.07,1.17,5.15,0.0,9.13,0.7,4.13,81.03
2004-01-18,13.24,4.34,7.65,0.0,7.59,0.7,5.45,85.7
2004-01-19,13.66,4.63,8.31,0.01,6.56,0.7,4.97,91.62
2004-01-20,14.46,7.7,10.64,1.1,4.75,0.7,7.71,88.59
2004-01-21,11.41,2.7,7.95,23.69,1.45,0.71,7.0,93.15
2004-01-22,2.49,-4.71,-0.57,40.16,1.84,0.74,14.15,92.54
2004-01-23,-3.22,-5.73,-4.58,1.92,3.77,0.73,7.67,91.18
2004-01-24,-2.64,-5.94,-4.34,0.24,3.41,0.73,2.59,87.97
2004-01-25,0.4,-4.91,-2.34,0.0,3.98,0.73,5.75,96.06
2004-01-26,0.01,-4.09,-2.09,1.0,4.17,0.73,4.8,97.68
2004-01-27,2.71,-4.87,-0.38,0.4,6.34,0.73,3.22,89.98
2004-01-28,11.95,2.58,7.59,3.68,4.44,0.77,9.67,92.09
2004-01-29,13.73,7.23,11.01,14.85,2.58,0.78,9.96,86.97
2004-01-30,7.5,1.42,4.37,2.62,3.49,0.8,6.28,85.53
2004-01-31,5.74,-1.88,2.33,0.3,9.55,0.79,8.95,79.74
2004-02-01,5.95,-2.0,2.22,0.0,10.99,0.78,2.17,80.01
2004-02-02,12.14,1.06,5.75,0.0,8.66,0.78,3.78,85.24
2004-02-03,8.68,2.71,5.05,3.62,3.01,0.78,4.04,92.27
2004-02-04,6.51,0.06,2.55,0.02,8.17,0.78,4.97,86.47
2004-02-05,10.02,0.13,5.52,0.0,7.48,0.78,3.98,86.28
2004-02-06,16.03,5.31,9.66,0.0,10.04,0.78,4.12,87.0
2004-02-07,16.41,5.75,10.28,0.0,12.37,0.77,4.51,89.4
2004-02-08,15.13,7.37,10.56,0.0,8.82,0.77,3.32,87.43
2004-02-09,14.6,3.19,9.17,0.03,7.9,0.77,4.62,86.35
2004-02-10,7.78,-1.43,2.72,0.04,12.35,0.77,5.26,70.5
2004-02-11,5.15,-3.44,1.3,0.0,13.03,0.77,4.15,72.17
2004-02-12,4.84,-4.7,0.82,8.06,4.54,0.77,7.72,82.84
2004-02-13,-5.02,-6.57,-5.82,2.87,4.37,0.77,11.37,76.27
2004-02-14,-2.23,-6.69,-4.7,0.91,7.64,0.76,4.1,71.14
2004-02-15,4.82,-3.44,0.65,0.18,4.33,0.77,4.93,76.17
2004-02-16,4.76,-1.04,1.51,0.0,10.67,0.77,2.43,76.79
2004-02-17,4.46,-0.84,1.36,0.0,9.55,0.77,4.76,82.06
2004-02-18,5.93,-1.0,2.18,0.0,12.94,0.77,3.09,72.86
2004-02-19,8.72,1.12,4.17,0.0,13.23,0.77,2.68,71.67
2004-02-20,7.77,-2.34,3.12,4.49,5.49,0.77,5.04,91.75
2004-02-21,-0.5,-4.75,-2.74,0.4,14.03,0.78,6.4,76.76
2004-02-22,3.02,-3.95,-0.76,0.0,6.69,0.77,2.92,80.08
2004-02-23,5.55,1.1,3.62,0.24,3.98,0.77,4.39,86.74
2004-02-24,12.49,4.85,9.24,3.43,4.96,0.78,5.17,96.74
2004-02-25,13.62,8.89,10.64,0.05,5.36,0.78,6.64,93.26
2004-02-26,15.24,9.85,12.08,0.31,10.26,0.77,6.0,85.04
2004-02-27,17.26,9.52,12.94,7.69,8.03,0.77,9.28,84.5
2004-02-28,17.54,10.39,13.43,1.2,13.67,0.78,6.21,81.63
2004-02-29,16.06,7.26,11.6,0.0,12.77,0.78,6.27,80.46
2004-03-01,14.62,6.3,9.96,0.0,15.81,0.77,2.18,75.21
2004-03-02,14.56,4.86,9.45,0.0,14.24,0.77,3.04,78.84
2004-03-03,7.97,3.57,5.4,1.83,8.07,0.77,5.83,85.08
2004-03-04,4.07,1.23,2.58,13.1,2.33,0.78,7.59,90.93
2004-03-05,4.53,-1.99,1.27,0.74,12.17,0.78,6.86,76.95
2004-03-06,2.33,-2.85,-0.38,0.12,10.94,0.78,3.33,78.49
2004-03-07,4.45,-3.39,0.14,0.0,17.98,0.78,3.31,73.01
2004-03-08,8.67,-0.84,3.92,0.35,18.01,0.78,3.43,68.63
2004-03-09,12.37,4.28,8.5,12.66,2.3,0.78,5.78,84.49
2004-03-10,9.93,1.75,6.74,2.86,6.76,0.8,5.47,84.85
2004-03-11,8.72,-0.37,3.64,0.14,7.03,0.79,3.9,81.53
2004-03-12,8.8,1.32,4.48,0.46,7.22,0.79,5.37,83.57
2004-03-13,8.85,1.98,4.75,0.18,9.96,0.78,5.93,84.99
2004-03-14,9.81,0.24,4.17,0.0,16.82,0.78,4.77,79.83
2004-03-15,11.75,0.81,5.87,0.0,16.12,0.78,2.41,78.46
2004-03-16,12.81,1.86,6.5,0.0,16.07,0.78,3.38,84.37
2004-03-17,13.32,1.64,7.33,0.01,15.27,0.77,2.11,81.82
2004-03-18,13.62,5.07,9.19,0.03,8.63,0.77,4.31,84.41
2004-03-19,15.54,4.56,9.14,0.0,18.47,0.77,1.49,80.88
2004-03-20,17.29,5.16,10.7,0.0,18.6,0.77,4.32,79.64
2004-03-21,18.58,7.42,12.41,0.0,17.94,0.76,5.78,83.17
2004-03-22,18.12,9.24,12.78,0.0,17.16,0.76,6.78,83.98
2004-03-23,16.84,8.95,12.21,0.0,13.59,0.75,4.63,84.15
2004-03-24,17.91,7.99,11.89,0.63,13.21,0.75,6.01,77.78
2004-03-25,15.07,8.66,11.53,0.02,18.65,0.75,7.96,76.91
2004-03-26,16.11,9.64,12.38,0.16,6.77,0.75,4.94,85.74
2004-03-27,19.08,11.14,14.27,0.27,12.86,0.74,5.02,78.48
2004-03-28,11.85,8.21,10.06,5.62,5.04,0.74,3.8,89.45
2004-03-29,13.85,4.59,9.0,8.44,12.87,0.76,5.01,78.61
2004-03-30,12.44,3.44,7.21,0.0,18.94,0.76,5.54,77.59
2004-03-31,12.5,2.21,6.85,0.0,19.85,0.75,5.29,78.53
2004-04-01,13.44,3.33,7.62,1.96,12.23,0.75,4.06,82.95
2004-04-02,12.27,2.36,6.88,0.22,16.42,0.75,7.01,77.08
2004-04-03,9.76,0.32,4.39,0.0,23.77,0.75,6.15,67.69
2004-04-04,10.03,-0.07,4.64,0.0,23.06,0.74,4.43,68.22
2004-04-05,13.82,1.58,7.94,0.0,22.93,0.74,2.55,66.0
2004-04-06,17.14,5.03,11.04,0.0,19.59,0.74,4.86,82.57
2004-04-07,17.22,8.22,12.68,0.0,17.71,0.73,6.72,80.19
2004-04-08,19.29,10.97,14.49,0.06,19.29,0.73,7.45,80.19
2004-04-09,20.41,9.67,14.69,0.01,19.52,0.72,3.65,77.75
2004-04-10,22.21,9.82,15.35,0.0,18.57,0.72,5.03,69.15
2004-04-11,22.73,11.21,16.1,0.0,13.43,0.71,4.16,65.88
2004-04-12,20.13,11.55,15.28,0.01,8.2,0.71,3.86,72.08
2004-04-13,22.05,13.29,16.45,0.03,12.11,0.71,3.37,74.66
2004-04-14,17.62,10.62,14.05,7.84,11.28,0.71,2.7,81.16
2004-04-15,12.04,3.67,8.45,1.12,15.37,0.71,6.59,73.21
2004-04-16,15.36,2.26,9.03,0.0,26.04,0.71,3.49,66.03
2004-04-17,15.36,7.32,11.04,0.99,14.14,0.71,2.02,68.46
2004-04-18,17.16,7.96,12.61,2.5,14.63,0.71,3.37,75.68
2004-04-19,13.97,6.62,10.26,0.94,12.11,0.71,4.37,82.48
2004-04-20,16.38,6.18,11.48,0.16,20.88,0.7,2.54,81.93
2004-04-21,11.28,8.41,9.87,12.58,10.29,0.71,6.42,90.73
2004-04-22,16.52,6.77,11.12,0.08,21.12,0.72,5.81,78.16
2004-04-23,18.43,4.61,11.91,0.0,25.18,0.71,3.2,70.53
2004-04-24,19.36,8.92,13.7,0.07,20.58,0.71,2.31,72.36
2004-04-25,16.9,7.78,11.84,0.0,22.64,0.7,4.37,79.0
2004-04-26,16.24,7.93,11.43,0.49,16.96,0.7,5.57,79.37
2004-04-27,14.78,8.9,11.03,2.34,10.52,0.7,8.2,84.35
2004-04-28,15.1,7.73,11.12,1.91,12.61,0.7,3.58,82.07
2004-04-29,18.76,8.37,13.21,0.0,24.35,0.69,1.86,71.62
2004-04-30,19.39,7.3,13.16,0.0,27.34,0.69,3.15,69.38
2004-05-01,18.58,7.66,12.97,0.03,24.6,0.68,4.03,77.81
2004-05-02,17.98,9.61,13.44,0.0,16.61,0.68,3.59,80.24
2004-05-03,19.98,9.34,13.92,0.0,21.09,0.67,2.57,80.63
2004-05-04,21.22,8.89,15.14,0.01,24.02,0.67,2.11,74.42
2004-05-05,19.76,12.91,16.78,4.05,10.58,0.67,5.59,79.26
2004-05-06,22.34,14.21,17.72,0.31,21.55,0.67,6.58,74.14
2004-05-07,21.45,13.36,17.24,0.0,26.5,0.66,7.81,69.99
2004-05-08,21.76,11.82,16.39,0.0,25.99,0.66,4.46,69.17
2004-05-09,25.24,11.44,18.39,0.42,26.62,0.65,2.8,67.28
2004-05-10,21.08,14.2,17.37,8.13,18.97,0.66,3.35,78.28
2004-05-11,20.62,11.9,16.27,0.55,23.21,0.66,3.71,71.43
2004-05-12,22.48,10.6,16.77,0.0,26.42,0.65,3.02,66.08
2004-05-13,23.76,13.37,18.6,0.0,22.88,0.64,2.65,59.63
2004-05-14,21.12,12.42,16.62,2.7,12.22,0.64,2.64,77.04
2004-05-15,18.12,9.77,13.92,0.1,15.56,0.64,5.06,77.15
2004-05-16,18.45,8.24,13.41,0.43,24.22,0.64,3.61,70.1
2004-05-17,17.73,8.68,13.24,1.6,24.6,0.64,5.21,73.16
2004-05-18,18.46,10.05,13.79,0.19,18.54,0.64,4.79,71.69
2004-05-19,19.98,8.44,14.77,0.0,23.08,0.63,2.57,68.51
2004-05-20,23.14,10.47,17.66,0.0,23.36,0.63,2.42,66.7
2004-05-21,24.12,14.19,19.38,0.0,26.6,0.62,1.88,56.54
2004-05-22,24.64,15.29,19.67,0.0,28.51,0.62,2.83,56.82
2004-05-23,25.57,13.65,19.76,0.0,23.37,0.61,3.55,69.42
2004-05-24,22.6,8.38,16.68,4.84,7.21,0.61,3.6,76.48
2004-05-25,19.07,6.58,13.14,0.11,27.6,0.62,4.15,62.94
2004-05-26,19.78,8.75,14.09,0.0,31.1,0.61,6.04,64.03
2004-05-27,20.44,8.37,14.44,0.0,30.45,0.61,5.64,70.26
2004-05-28,21.05,9.17,14.96,0.0,30.32,0.61,6.21,71.86
2004-05-29,20.92,11.48,16.15,0.01,20.31,0.6,6.09,77.02
2004-05-30,23.16,12.11,17.96,0.29,24.05,0.6,4.16,69.02
2004-05-31,18.83,13.64,16.34,5.54,8.7,0.61,4.75,82.86
2004-06-01,23.36,14.1,18.87,9.09,22.08,0.62,2.84,73.15
2004-06-02,21.74,15.8,18.46,1.1,19.72,0.62,2.39,76.7
2004-06-03,21.2,14.1,17.81,0.97,20.73,0.62,4.31,77.98
2004-06-04,23.16,13.64,18.43,0.01,23.87,0.61,4.96,72.96
2004-06-05,21.95,15.49,18.31,7.78,9.43,0.62,3.96,83.87
2004-06-06,23.73,15.63,19.76,1.19,22.89,0.62,3.82,76.69
2004-06-07,23.61,14.6,19.45,2.04,15.43,0.62,1.88,74.61
2004-06-08,23.59,15.11,19.6,3.23,19.7,0.62,3.48,73.51
2004-06-09,26.81,14.71,21.22,0.02,25.76,0.61,2.91,65.49
2004-06-10,23.54,15.61,20.04,2.62,13.65,0.61,3.7,70.74
2004-06-11,25.76,13.98,19.99,0.07,27.74,0.61,2.76,61.35
2004-06-12,29.85,16.65,23.38,0.0,29.2,0.6,2.25,60.6
2004-06-13,31.35,18.79,25.32,0.0,29.85,0.6,2.12,54.39
2004-06-14,27.95,18.38,22.57,0.54,21.49,0.59,4.71,70.9
2004-06-15,27.31,16.88,21.91,0.05,27.14,0.59,4.32,68.99
2004-06-16,30.07,17.29,24.06,0.04,26.63,0.58,1.83,62.54
