date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,10.96,4.66,7.13,0.8,4.3,0.73,2.87,93.13
2004-01-02,12.75,5.73,7.3,1.79,3.33,0.74,3.32,93.59
2004-01-03,9.2,5.29,6.45,2.15,3.49,0.74,5.99,91.84
2004-01-04,5.22,-0.42,2.66,9.91,1.86,0.75,8.23,90.55
2004-01-05,1.13,-3.01,-1.22,4.51,2.17,0.75,3.58,86.15
2004-01-06,-1.44,-7.11,-4.59,0.8,5.66,0.75,3.95,74.72
2004-01-07,-2.87,-7.26,-5.11,0.09,5.56,0.75,3.9,72.63
2004-01-08,0.08,-7.21,-4.73,0.02,6.5,0.74,2.2,81.23
2004-01-09,0.24,-8.65,-4.88,0.0,7.62,0.74,1.92,81.27
2004-01-10,3.36,-6.4,-2.2,0.0,7.06,0.74,2.78,85.42
2004-01-11,4.46,-2.37,0.62,0.91,2.19,0.75,7.27,86.11
2004-01-12,4.94,-2.03,0.79,0.03,6.17,0.75,2.54,89.55
2004-01-13,5.27,-1.34,1.54,0.04,4.48,0.75,2.96,97.97
2004-01-14,8.14,1.17,4.45,0.06,3.46,0.75,3.67,99.63
2004-01-15,12.29,2.97,7.26,1.7,2.69,0.75,4.63,90.9
2004-01-16,10.55,-1.58,4.09,0.61,7.43,0.75,5.02,83.37
2004-01-17,9.88,-2.77,3.09,0.0,9.13,0.75,3.7,86.21
2004-01-18,13.57,1.63,6.32,0.0,7.59,0.75,4.48,89.21
2004-01-19,14.08,3.29,7.52,0.0,6.56,0.75,4.11,92.16
2004-01-20,14.65,6.75,10.34,2.01,4.75,0.75,7.2,89.03
2004-01-21,11.24,1.04,5.9,17.15,1.45,0.76,5.67,94.45
2004-01-22,0.84,-5.98,-2.37,24.87,1.84,0.77,12.6,89.38
2004-01-23,-4.4,-7.42,-6.13,1.61,3.77,0.77,6.52,87.45
2004-01-24,-3.55,-8.24,-6.29,0.05,3.41,0.76,2.4,90.8
2004-01-25,-0.94,-8.48,-5.21,0.03,3.98,0.76,4.04,94.36
2004-01-26,-0.73,-8.51,-4.53,0.57,4.17,0.76,3.65,96.7
2004-01-27,1.13,-10.8,-3.92,0.35,6.34,0.76,2.53,96.71
2004-01-28,10.63,1.02,6.07,2.66,4.44,0.79,7.64,97.39
2004-01-29,13.62,5.75,10.5,16.54,2.58,0.81,8.83,89.52
2004-01-30,7.72,-0.86,2.66,1.08,3.49,0.82,5.38,82.36
2004-01-31,4.79,-3.97,0.25,0.03,9.55,0.81,7.05,79.09
2004-02-01,5.21,-4.02,0.24,0.0,10.99,0.81,2.36,85.13
2004-02-02,11.76,-2.2,3.37,0.0,8.66,0.8,3.59,85.71
2004-02-03,9.1,-0.17,3.2,3.46,3.01,0.81,3.96,92.58
2004-02-04,6.31,-2.24,1.02,0.01,8.17,0.81,3.9,86.35
2004-02-05,10.0,-2.59,3.41,0.0,7.48,0.8,3.53,91.49
2004-02-06,17.16,2.5,8.44,0.0,10.04,0.8,3.43,85.47
2004-02-07,17.48,3.06,9.03,0.0,12.37,0.8,4.29,86.62
2004-02-08,15.42,4.08,8.86,0.0,8.82,0.8,2.86,82.61
2004-02-09,14.3,0.84,7.75,0.05,7.9,0.8,3.57,83.55
2004-02-10,6.82,-4.22,0.58,0.0,12.35,0.8,4.57,72.51
2004-02-11,4.54,-5.45,-0.56,0.0,13.03,0.79,3.56,70.38
2004-02-12,2.34,-6.7,-1.66,4.34,4.54,0.79,6.73,78.69
2004-02-13,-6.48,-8.19,-7.39,1.45,4.37,0.79,9.86,63.91
2004-02-14,-4.09,-9.02,-6.34,0.52,7.64,0.79,3.33,69.92
2004-02-15,3.73,-6.72,-2.16,0.37,4.33,0.79,3.92,81.29
2004-02-16,4.59,-4.67,-0.32,0.0,10.67,0.8,1.78,81.23
2004-02-17,3.95,-3.01,-0.34,0.0,9.55,0.8,3.17,82.81
2004-02-18,5.41,-4.43,0.25,0.0,12.94,0.8,1.97,72.5
