ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_grainfill_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_grainfill_mean,EVI_greenup_mean,EVI_peak_mean,EVI_grainfill_mean,clay_0_30_mean,sand_0_30_mean,silt_0_30_mean,phh2o_0_30_mean,soc_0_30_mean,cec_0_30_mean,bdod_0_30_mean,nitrogen_0_30_mean,cfvo_0_30_mean,awc_0_30,NDVI_greenup_median,NDVI_greenup_stdDev,NDVI_greenup_p10,NDVI_greenup_p90,NDVI_greenup_cv,NDVI_greenup_range,NDVI_peak_median,NDVI_peak_stdDev,NDVI_peak_p10,NDVI_peak_p90,NDVI_peak_cv,NDVI_peak_range,NDVI_grainfill_median,NDVI_grainfill_stdDev,NDVI_grainfill_p10,NDVI_grainfill_p90,NDVI_grainfill_cv,NDVI_grainfill_range,NDRE_greenup_median,NDRE_greenup_stdDev,NDRE_greenup_p10,NDRE_greenup_p90,NDRE_greenup_cv,NDRE_greenup_range,NDRE_peak_median,NDRE_peak_stdDev,NDRE_peak_p10,NDRE_peak_p90,NDRE_peak_cv,NDRE_peak_range,NDRE_grainfill_median,NDRE_grainfill_stdDev,NDRE_grainfill_p10,NDRE_grainfill_p90,NDRE_grainfill_cv,NDRE_grainfill_range,EVI_greenup_median,EVI_greenup_stdDev,EVI_greenup_p10,EVI_greenup_p90,EVI_greenup_cv,EVI_greenup_range,EVI_peak_median,EVI_peak_stdDev,EVI_peak_p10,EVI_peak_p90,EVI_peak_cv,EVI_peak_range,EVI_grainfill_median,EVI_grainfill_stdDev,EVI_grainfill_p10,EVI_grainfill_p90,EVI_grainfill_cv,EVI_grainfill_range
1163,Babaeski,Kırklareli,2017,458.0,3272.91,530.49,46,483.79,257.82,47.9,57.77,0.4332781016967745,16,16.99,23.63225806451613,11.577569444444444,696.88,4022.21,0.4730768095648626,0.8119267458291021,0.3669550750129559,0.3103246262652967,0.6179874129090208,0.2259004583493254,0.2801623843169598,0.6670067915068163,0.2223307869401119,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.4706898507201896,0.1119322371508572,0.326219123494923,0.619108824970089,0.2366047857087157,0.2928897014751659,0.8378835838172974,0.0969533607320186,0.6660105724530043,0.9120801849035264,0.119411463201664,0.2460696124505219,0.3476329347791014,0.1222911813683963,0.2305591375012566,0.5429099308480734,0.3332592725801072,0.3123507933468167,0.3066044483875199,0.0823711479565027,0.2050911192454158,0.4159667565478073,0.265435421441815,0.2108756373023915,0.6386628617478057,0.1028450562898284,0.4667834839848609,0.7363015323342523,0.1664193382284456,0.2695180483493914,0.2070272570158306,0.0866201664302217,0.1290001819804535,0.347617158965039,0.3834439605088141,0.2186169769845855,0.2675817315358093,0.0894561596480264,0.1777270938111605,0.4003701384069536,0.3193011076991008,0.2226430445957931,0.6777233132980681,0.1148296190605986,0.5058861723780398,0.8066343687903617,0.1721565964886059,0.3007481964123218,0.1972483725996061,0.0997785075925277,0.1191640058666081,0.3613191051692881,0.4487840346618508,0.2421550993026801
1163,Babaeski,Kırklareli,2018,442.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69,0.7224146068705211,12,18.41064516129032,24.698387096774194,10.704583333333334,674.3399999999999,3904.03,0.6809591572967172,0.7047988865792831,0.2703002660256213,0.4363509911009306,0.505410828585525,0.1692834287822256,0.4405075389746026,0.510662635217687,0.1722278481302764,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.6913953168522663,0.1216193636774549,0.5273819464421119,0.8319387273826856,0.1786000854445683,0.3045567809405737,0.7119341227871996,0.0867329447528681,0.5849552619359026,0.81543028959449,0.1230605586989835,0.2304750276585874,0.253863219040045,0.0766348926408906,0.1993455756034587,0.3710127670650076,0.2835176367663157,0.1716671914615488,0.4335936309943733,0.1088359302705377,0.3008887073742879,0.5819735780484026,0.2494229014948273,0.2810848706741146,0.5058452656718609,0.0830533015663718,0.3965226394331008,0.615230949622937,0.1643282986215593,0.2187083101898361,0.1581807799050974,0.053641676565982,0.1152894668582851,0.2363042726525443,0.316874941344609,0.1210148057942591,0.4335428592112895,0.1157562731148534,0.3008733262277545,0.5897434503522373,0.2627793235600613,0.2888701241244828,0.5058773467145604,0.0947968386420481,0.3887107338044356,0.6347281908030736,0.1856349615272671,0.2460174569986379,0.1581736235100896,0.0559802630499213,0.1231110905265423,0.2402089505707514,0.3250360708657105,0.1170978600442091
1163,Babaeski,Kırklareli,2019,445.0,3559.9700000000003,574.69,61,496.35,317.1700000000001,51.56,35.63999999999999,0.4631700753380257,26,18.274516129032257,25.027419354838703,11.310555555555554,660.11,3843.55,0.5954678801279524,0.7714187095628521,0.3539105207129432,0.4011830306156291,0.5871672420568789,0.225670549387433,0.4058255651960133,0.5995598491483969,0.2317351145848156,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.5976265038280104,0.1376561867584038,0.4101966750084844,0.7773060220716334,0.2311731519907079,0.3671093470631489,0.797851546531976,0.0960626414433764,0.6240351512083456,0.8720699074554132,0.12452723825925,0.2480347562470676,0.3300704759321042,0.1048679350586202,0.2441619427133611,0.5058436085149144,0.2963120023879668,0.2616816658015533,0.39254868386477,0.1104410898083129,0.2597585649159857,0.5526989102920664,0.2752885376004994,0.2929403453760806,0.6035150435820741,0.1056931088165146,0.431655545189801,0.7128656747210762,0.1800051182117481,0.2812101295312752,0.2089615800410098,0.074786413664622,0.1504078851508081,0.3300958922990283,0.3313964266388527,0.1796880071482202,0.3886749936911942,0.1350907796462784,0.244117132515916,0.5956425709941494,0.3328789293523924,0.3515254384782334,0.6113455753133286,0.1064684838869678,0.4472800625220726,0.7284973948651782,0.1775777414685016,0.2812173323431056,0.2089896311572708,0.0849382963719137,0.1504325336298833,0.3495274297212925,0.3665318332273125,0.1990948960914092
1163,Babaeski,Kırklareli,2020,352.0,3752.715,543.2449999999999,51,439.13,192.16,71.26,68.47000000000001,0.3913352699399225,15,17.3441935483871,24.115161290322582,11.6778892733564,655.2299999999999,4067.94,0.7602864845801303,0.7924387105332161,0.3264497939521534,0.5681978955522525,0.6129013956897555,0.2069813760430002,0.5770844065588197,0.6346207084842675,0.1975034716148846,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.7949287390558106,0.1199260232073759,0.583982823249788,0.8808568563299113,0.1577379391054219,0.2968740330801233,0.8212814891510208,0.0976675914952632,0.6416323812293769,0.8876839160037099,0.1232493948075109,0.2460515347743329,0.2988052444463439,0.106132823083228,0.2168152131525928,0.4823729134260338,0.3251122379289465,0.265557700273441,0.5878933333111177,0.1146973329508033,0.4043063753480349,0.7011393338998262,0.2018615940830347,0.2968329585517913,0.6386848366111415,0.1019155554022916,0.4550778946979444,0.7245761339704501,0.1662837711237327,0.2694982392725056,0.189431801104347,0.071983814298672,0.1348007485347152,0.3105284998257422,0.3477791851365285,0.175727751291027,0.5957221502550084,0.1388720310854256,0.3769644014218904,0.7441357046075184,0.2406442272691543,0.3671713031856279,0.6503947318178529,0.1155393361974961,0.4707582900948663,0.7714599905632017,0.1820604569829609,0.3007017004683354,0.173798530165112,0.085174768170523,0.1152639928793618,0.3183102016944616,0.4312570684155201,0.2030462088150997
1163,Babaeski,Kırklareli,2021,483.0,3555.51,533.905,58,716.1500000000001,478.68,58.6,63.760000000000005,0.7228070521708525,9,17.102258064516132,23.206129032258065,10.520138888888887,680.8100000000001,3826.01,0.6847939922503723,0.7945705402523779,0.4350243431333599,0.4595385216912531,0.5957704108257037,0.2738924449424051,0.5314914437609296,0.6229087530672267,0.2643722232889236,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.7070652437370788,0.1143361562762528,0.5195554328091032,0.8163189739021955,0.1669643098072765,0.2967635410930923,0.8173827418805205,0.0849822547243531,0.6689183168386703,0.8798844730363491,0.1069536943785511,0.2109661561976787,0.419885956691133,0.1415810251287902,0.2597576093388887,0.6347839868864205,0.3254554081020415,0.3750263775475317,0.4668017321091749,0.094106428641406,0.3300565369276529,0.5761437110193333,0.2047846354535488,0.2460871740916803,0.6113198047932836,0.0889704815609058,0.4668349417328478,0.697237385752043,0.1493368585351492,0.2304024440191951,0.2597677566282723,0.0976037498718819,0.1582192190372673,0.4081553107157269,0.3563579488014221,0.2499360916784596,0.5351958754872784,0.1309020213724065,0.3555248915977982,0.6991641022319173,0.2462918696228112,0.343639210634119,0.630859231138063,0.104641493905023,0.4785073101265031,0.7558407533122592,0.167988478873935,0.277333443185756,0.2402206970646021,0.1171316157978491,0.1387065015668189,0.4238455767772568,0.4430556824036687,0.2851390752104379
1163,Babaeski,Kırklareli,2022,438.0,3445.385,551.33,50,520.54,379.2600000000001,25.99000000000001,44.26999999999998,0.4785209278445113,27,17.686774193548384,25.150645161290324,11.32576388888889,762.4200000000001,3943.88,0.5390575773675002,0.7630373633176295,0.3584069963696602,0.3392185141071581,0.5743376370884321,0.2247533303772153,0.3650656878257609,0.6010992502443392,0.2244770239408596,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.535155300705707,0.118873193219563,0.3789458899797264,0.6991940914478996,0.2205204011788182,0.3202482014681731,0.7871197395558168,0.1004681428751985,0.6113360064858707,0.8730251474646038,0.1316687068092846,0.2616891409787331,0.3300598352420794,0.1170751711749135,0.2324435395436736,0.5292679783600529,0.3266542572013926,0.2968244388163792,0.3320146623529421,0.0850846700590202,0.2304976568449354,0.4491182326184948,0.2508255490799722,0.2186205757735593,0.5839528098597198,0.1083722188254026,0.4199341739009764,0.7089860089421166,0.1886907836560888,0.2890518350411402,0.2050636581108765,0.0813428555792647,0.1426236409953944,0.341762022363205,0.3619205795204137,0.1991383813678106,0.353520893995386,0.1054225409051358,0.2402467066472566,0.5097328688404483,0.2887769089804246,0.2694861621931917,0.6113426203434841,0.1034640524479467,0.4551197405235146,0.7284942532666224,0.1721247404748715,0.2733745127431077,0.1972495915844791,0.0929123138005193,0.1347987758285829,0.3574206826000596,0.4139056735935606,0.2226219067714767
1163,Babaeski,Kırklareli,2023,411.0,3837.175,506.35,55,403.3,173.08000000000004,46.510000000000005,34.35,0.3859542911772928,14,16.13741935483871,22.204838709677414,11.180208333333333,575.88,3779.36,0.6194636921311093,0.8199627576725688,0.4163134561084709,0.4153381127930631,0.6425895712651115,0.2651602506146971,0.4287231421563439,0.6889717237317998,0.2704833310999761,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.6386591628568464,0.1429498890685936,0.4121320416928772,0.7910076557755622,0.2307639509537845,0.3788756140826849,0.8623196959465486,0.1032050679790429,0.6591836883677384,0.9091620832822356,0.1258655554942354,0.2499783949144971,0.3945152536918467,0.1369705637064266,0.2617713157241403,0.6132541621341127,0.3290082549499404,0.3514828464099723,0.423817423773392,0.1056572783815671,0.2676304214082377,0.5449427094402503,0.2543885935991852,0.2773122880320125,0.6777466905988808,0.1122669751740983,0.4667912619921798,0.7558454759896378,0.1747102352642767,0.289054213997458,0.2480514215419218,0.095378682272337,0.1581989424917527,0.3964529949087814,0.3597020369803893,0.2382540524170286,0.4335957343258066,0.1332456862640185,0.2539342608743154,0.605397874925308,0.310796579801674,0.3514636140509926,0.7089826950764267,0.1264255467520869,0.5019957581436907,0.8339852559451782,0.1834988902988729,0.3319894978014875,0.2441594409108862,0.1127290645823989,0.1582421339941842,0.4199260245746015,0.4167689895120819,0.2616838905804173
1163,Babaeski,Kırklareli,2024,408.0,4160.43,523.115,50,445.5,290.63,42.85,8.760000000000002,0.3591494330327114,31,16.666774193548388,23.37258064516129,11.814636678200692,673.8800000000001,4062.81,0.654167125284275,0.7838667270231344,0.2830886676568772,0.4584770632227957,0.6158770266973159,0.1822363808086174,0.4652572608486969,0.6426442525882727,0.1889932843767689,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.6836376213315115,0.1675719749081744,0.4101261526332647,0.8554699451066747,0.2561608011643115,0.44534379247341,0.82224063945062,0.116057235106439,0.5957076038473129,0.9003713857416848,0.1480573560599846,0.3046637818943719,0.2480429042586373,0.0985921843638556,0.1934116466249952,0.4277915634582265,0.3482731583001978,0.2343799168332313,0.4628897128731619,0.1465597126539219,0.2558655826120606,0.6504085076093818,0.3196664008090227,0.3945429249973212,0.6425702295826611,0.1236681721299491,0.4238252197112833,0.759715845613614,0.2008001058151632,0.3358906259023307,0.1581831610940072,0.0708724208120078,0.1191849096859781,0.2831664736468132,0.3889037989973981,0.163981563960835,0.4726413374466925,0.1626291973240167,0.2382878772311214,0.6757362531559502,0.3495468228209,0.4374483759248287,0.6621128472771781,0.1396140011331208,0.4355677084330422,0.8105069668915849,0.2172492799411501,0.3749392584585426,0.1620654173595982,0.0726001409950632,0.1270142695594996,0.2910050417313775,0.3841413795970162,0.1639907721718778
1250,Çerkezköy,Tekirdağ,2017,420.0,3235.2250000000004,483.16,68,602.17,407.97,34.87,43.46,0.733195593705806,4,15.481612903225804,19.640645161290323,7.397812499999999,673.3499999999999,3787.32,0.52537452204942,0.787603593679977,0.4275442089442117,0.3250597406411879,0.570400314673959,0.2498225425719703,0.3436094116785243,0.6078116444792857,0.2638759897415525,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509,0.5273679672394963,0.1226062668150147,0.3554219019579721,0.6835292704688314,0.2333692664363379,0.3281073685108592,0.8027551150356896,0.1014424911103011,0.6464196608539309,0.904295412472076,0.1287989185477481,0.257875751618145,0.4180341219965632,0.1448492658105058,0.2460846453355658,0.6209778704658666,0.3387936563757937,0.3748932251303007,0.3242223311340217,0.0906829006603859,0.1993182864745107,0.4413405139266055,0.2789730296391421,0.2420222274520948,0.5762091620972691,0.1108460992382982,0.4160793090664864,0.7129134797183672,0.1943303613036361,0.2968341706518807,0.2383492746384139,0.1017176914685671,0.128941073917275,0.3867548139864091,0.4071597799836808,0.2578137400691341,0.3418101611339715,0.0967865402935027,0.2167395915351554,0.4668416510589366,0.2816760455445694,0.2501020595237811,0.6113156766448018,0.0966426629739308,0.4824470960270603,0.7283399752147026,0.1590010060710912,0.2458928791876423,0.2481669683864548,0.109421303914527,0.1347257305382815,0.4198637787713248,0.414669421123526,0.2851380482330433
1250,Çerkezköy,Tekirdağ,2018,343.0,3691.445,553.215,57,754.47,484.52,43.900000000000006,91.09,0.944219242451788,0,17.60161290322581,21.6383870967742,7.191770833333332,587.6999999999999,3710.55,0.6422367779660902,0.7178707157290097,0.404581215629221,0.3878688902908169,0.4925187400047765,0.249768950135028,0.4045314735136737,0.5379875931245054,0.2624542125988048,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509,0.6465525997004098,0.1278417076165746,0.4745681135944845,0.8065324974516004,0.1990569708907648,0.3319643838571159,0.7255490053830073,0.0893873572065671,0.5928821413529756,0.8290975401636029,0.1245173472716362,0.2362153988106273,0.3964192191135418,0.1151173259999397,0.263665364475072,0.5605198802202291,0.2845345299111443,0.2968545157451571,0.3808314828655608,0.103071890437167,0.2597724518713159,0.5252450938768091,0.2657389984535383,0.2654726420054931,0.4932440814567103,0.0802607111433261,0.3856981732343372,0.596630708745796,0.162959710208281,0.2109325355114588,0.2401789208229247,0.0780076932517122,0.1581678689622216,0.3536369389918101,0.3123194184446882,0.1954690700295885,0.3965537142791406,0.1371735067698807,0.2364167865436905,0.5841310632702754,0.3390922975125299,0.3477142767265848,0.5292954061980203,0.0973014262831955,0.4199717340649849,0.6660696391206152,0.1808618405456002,0.2460979050556302,0.2441628323290944,0.0922070328930767,0.1583384451141839,0.3927292671579324,0.3513261684011415,0.2343908220437485
