ilce_id,ilce,il,year,NDVI_greenup_mean,NDVI_greenup_median,NDVI_greenup_stdDev,NDVI_greenup_p10,NDVI_greenup_p90,NDVI_greenup_cv,NDVI_greenup_range,NDRE_greenup_mean,NDRE_greenup_median,NDRE_greenup_stdDev,NDRE_greenup_p10,NDRE_greenup_p90,NDRE_greenup_cv,NDRE_greenup_range,EVI_greenup_mean,EVI_greenup_median,EVI_greenup_stdDev,EVI_greenup_p10,EVI_greenup_p90,EVI_greenup_cv,EVI_greenup_range,NDVI_peak_mean,NDVI_peak_median,NDVI_peak_stdDev,NDVI_peak_p10,NDVI_peak_p90,NDVI_peak_cv,NDVI_peak_range,NDRE_peak_mean,NDRE_peak_median,NDRE_peak_stdDev,NDRE_peak_p10,NDRE_peak_p90,NDRE_peak_cv,NDRE_peak_range,EVI_peak_mean,EVI_peak_median,EVI_peak_stdDev,EVI_peak_p10,EVI_peak_p90,EVI_peak_cv,EVI_peak_range,NDVI_grainfill_mean,NDVI_grainfill_median,NDVI_grainfill_stdDev,NDVI_grainfill_p10,NDVI_grainfill_p90,NDVI_grainfill_cv,NDVI_grainfill_range,NDRE_grainfill_mean,NDRE_grainfill_median,NDRE_grainfill_stdDev,NDRE_grainfill_p10,NDRE_grainfill_p90,NDRE_grainfill_cv,NDRE_grainfill_range,EVI_grainfill_mean,EVI_grainfill_median,EVI_grainfill_stdDev,EVI_grainfill_p10,EVI_grainfill_p90,EVI_grainfill_cv,EVI_grainfill_range
1163,Babaeski,Kırklareli,2017,0.4730768095648626,0.4706898507201896,0.11193223715085722,0.32621912349492305,0.619108824970089,0.2366047857087157,0.29288970147516596,0.3103246262652967,0.3066044483875199,0.08237114795650277,0.20509111924541581,0.41596675654780735,0.26543542144181503,0.21087563730239153,0.2801623843169598,0.26758173153580933,0.08945615964802645,0.1777270938111605,0.4003701384069536,0.3193011076991008,0.22264304459579312,0.8119267458291021,0.8378835838172974,0.09695336073201864,0.6660105724530043,0.9120801849035263,0.11941146320166403,0.24606961245052195,0.6179874129090208,0.6386628617478057,0.10284505628982846,0.4667834839848609,0.7363015323342523,0.16641933822844568,0.2695180483493914,0.6670067915068163,0.6777233132980681,0.11482961906059869,0.5058861723780398,0.8066343687903617,0.17215659648860593,0.30074819641232187,0.36695507501295593,0.34763293477910145,0.12229118136839637,0.23055913750125662,0.5429099308480734,0.3332592725801072,0.31235079334681676,0.22590045834932548,0.2070272570158306,0.08662016643022176,0.1290001819804535,0.34761715896503903,0.3834439605088141,0.21861697698458554,0.22233078694011196,0.19724837259960615,0.09977850759252777,0.1191640058666081,0.36131910516928817,0.4487840346618508,0.2421550993026801
1163,Babaeski,Kırklareli,2018,0.6809591572967172,0.6913953168522663,0.12161936367745492,0.5273819464421119,0.8319387273826856,0.17860008544456832,0.3045567809405737,0.4363509911009306,0.4335936309943733,0.10883593027053771,0.3008887073742879,0.5819735780484026,0.24942290149482738,0.28108487067411464,0.44050753897460265,0.43354285921128954,0.11575627311485344,0.3008733262277545,0.5897434503522373,0.26277932356006134,0.2888701241244828,0.7047988865792831,0.7119341227871996,0.08673294475286812,0.5849552619359026,0.81543028959449,0.12306055869898355,0.2304750276585874,0.505410828585525,0.5058452656718609,0.08305330156637186,0.39652263943310084,0.615230949622937,0.1643282986215593,0.21870831018983616,0.510662635217687,0.5058773467145604,0.09479683864204816,0.38871073380443566,0.6347281908030736,0.1856349615272671,0.24601745699863797,0.27030026602562135,0.253863219040045,0.07663489264089061,0.19934557560345872,0.3710127670650076,0.2835176367663157,0.17166719146154885,0.1692834287822256,0.1581807799050974,0.053641676565982024,0.11528946685828519,0.2363042726525443,0.316874941344609,0.12101480579425912,0.17222784813027642,0.15817362351008962,0.05598026304992136,0.12311109052654233,0.24020895057075148,0.32503607086571057,0.11709786004420915
1163,Babaeski,Kırklareli,2019,0.5954678801279524,0.5976265038280104,0.1376561867584038,0.4101966750084844,0.7773060220716334,0.23117315199070795,0.36710934706314896,0.40118303061562915,0.39254868386477,0.11044108980831295,0.25975856491598576,0.5526989102920664,0.27528853760049943,0.29294034537608066,0.40582556519601337,0.3886749936911942,0.13509077964627844,0.244117132515916,0.5956425709941494,0.3328789293523924,0.3515254384782334,0.7714187095628521,0.797851546531976,0.09606264144337645,0.6240351512083456,0.8720699074554132,0.12452723825925,0.2480347562470676,0.5871672420568789,0.6035150435820741,0.1056931088165146,0.431655545189801,0.7128656747210762,0.1800051182117481,0.2812101295312752,0.5995598491483969,0.6113455753133286,0.10646848388696788,0.4472800625220726,0.7284973948651782,0.17757774146850167,0.2812173323431056,0.3539105207129432,0.33007047593210426,0.10486793505862022,0.24416194271336114,0.5058436085149144,0.29631200238796684,0.2616816658015533,0.22567054938743306,0.20896158004100981,0.07478641366462206,0.15040788515080813,0.33009589229902836,0.33139642663885277,0.17968800714822022,0.23173511458481563,0.20898963115727082,0.08493829637191379,0.15043253362988332,0.3495274297212925,0.3665318332273125,0.1990948960914092
1163,Babaeski,Kırklareli,2020,0.7602864845801303,0.7949287390558106,0.11992602320737593,0.583982823249788,0.8808568563299113,0.15773793910542197,0.2968740330801233,0.5681978955522525,0.5878933333111177,0.11469733295080334,0.4043063753480349,0.7011393338998262,0.2018615940830347,0.2968329585517913,0.5770844065588197,0.5957221502550084,0.13887203108542567,0.37696440142189047,0.7441357046075184,0.24064422726915435,0.36717130318562796,0.7924387105332161,0.8212814891510208,0.09766759149526325,0.6416323812293769,0.8876839160037099,0.12324939480751096,0.24605153477433295,0.6129013956897555,0.6386848366111415,0.10191555540229165,0.4550778946979444,0.7245761339704501,0.16628377112373272,0.26949823927250566,0.6346207084842675,0.6503947318178529,0.11553933619749616,0.4707582900948663,0.7714599905632017,0.18206045698296092,0.3007017004683354,0.3264497939521534,0.2988052444463439,0.10613282308322808,0.21681521315259283,0.48237291342603383,0.32511223792894656,0.265557700273441,0.2069813760430002,0.18943180110434701,0.07198381429867201,0.13480074853471527,0.31052849982574227,0.34777918513652856,0.175727751291027,0.1975034716148846,0.173798530165112,0.08517476817052302,0.11526399287936187,0.3183102016944616,0.43125706841552014,0.20304620881509974
1163,Babaeski,Kırklareli,2021,0.6847939922503723,0.7070652437370788,0.11433615627625286,0.5195554328091032,0.8163189739021955,0.1669643098072765,0.29676354109309233,0.45953852169125314,0.46680173210917497,0.09410642864140603,0.3300565369276529,0.5761437110193333,0.20478463545354886,0.24608717409168035,0.5314914437609296,0.5351958754872784,0.13090202137240656,0.3555248915977982,0.6991641022319173,0.2462918696228112,0.34363921063411906,0.7945705402523779,0.8173827418805205,0.08498225472435313,0.6689183168386703,0.8798844730363491,0.10695369437855118,0.21096615619767878,0.5957704108257037,0.6113198047932836,0.08897048156090583,0.4668349417328478,0.697237385752043,0.1493368585351492,0.23040244401919519,0.6229087530672267,0.630859231138063,0.10464149390502303,0.47850731012650316,0.7558407533122592,0.16798847887393503,0.27733344318575603,0.43502434313335997,0.41988595669113304,0.1415810251287902,0.2597576093388887,0.6347839868864205,0.3254554081020415,0.37502637754753176,0.2738924449424051,0.2597677566282723,0.09760374987188192,0.15821921903726735,0.40815531071572697,0.3563579488014221,0.24993609167845962,0.2643722232889236,0.24022069706460214,0.11713161579784916,0.13870650156681893,0.42384557677725687,0.44305568240366877,0.2851390752104379
1163,Babaeski,Kırklareli,2022,0.5390575773675002,0.535155300705707,0.118873193219563,0.37894588997972645,0.6991940914478996,0.22052040117881827,0.3202482014681731,0.33921851410715814,0.33201466235294214,0.08508467005902025,0.23049765684493548,0.4491182326184948,0.25082554907997223,0.21862057577355934,0.36506568782576093,0.35352089399538605,0.10542254090513586,0.2402467066472566,0.5097328688404483,0.2887769089804246,0.2694861621931917,0.7630373633176295,0.7871197395558168,0.10046814287519858,0.6113360064858707,0.8730251474646038,0.13166870680928466,0.2616891409787331,0.5743376370884321,0.5839528098597198,0.10837221882540261,0.4199341739009764,0.7089860089421166,0.18869078365608885,0.2890518350411402,0.6010992502443392,0.6113426203434841,0.10346405244794678,0.45511974052351467,0.7284942532666224,0.17212474047487158,0.27337451274310776,0.3584069963696602,0.3300598352420794,0.11707517117491359,0.23244353954367367,0.5292679783600529,0.32665425720139263,0.2968244388163792,0.22475333037721537,0.2050636581108765,0.08134285557926478,0.1426236409953944,0.341762022363205,0.3619205795204137,0.19913838136781062,0.22447702394085964,0.19724959158447916,0.09291231380051934,0.1347987758285829,0.35742068260005966,0.4139056735935606,0.22262190677147675
1163,Babaeski,Kırklareli,2023,0.6194636921311093,0.6386591628568464,0.1429498890685936,0.41213204169287726,0.7910076557755622,0.23076395095378455,0.37887561408268494,0.4153381127930631,0.423817423773392,0.1056572783815671,0.26763042140823773,0.5449427094402503,0.25438859359918525,0.2773122880320125,0.4287231421563439,0.43359573432580667,0.13324568626401856,0.2539342608743154,0.605397874925308,0.310796579801674,0.35146361405099263,0.8199627576725688,0.8623196959465486,0.10320506797904298,0.6591836883677384,0.9091620832822356,0.1258655554942354,0.24997839491449714,0.6425895712651115,0.6777466905988808,0.11226697517409834,0.4667912619921798,0.7558454759896378,0.1747102352642767,0.289054213997458,0.6889717237317998,0.7089826950764267,0.1264255467520869,0.5019957581436907,0.8339852559451782,0.1834988902988729,0.33198949780148757,0.4163134561084709,0.39451525369184676,0.13697056370642666,0.2617713157241403,0.6132541621341127,0.32900825494994046,0.35148284640997235,0.2651602506146971,0.2480514215419218,0.09537868227233709,0.15819894249175276,0.3964529949087814,0.35970203698038933,0.23825405241702863,0.27048333109997613,0.24415944091088623,0.11272906458239894,0.15824213399418427,0.41992602457460154,0.4167689895120819,0.2616838905804173
1163,Babaeski,Kırklareli,2024,0.654167125284275,0.6836376213315115,0.16757197490817444,0.4101261526332647,0.8554699451066747,0.2561608011643115,0.44534379247341005,0.45847706322279574,0.46288971287316194,0.1465597126539219,0.25586558261206066,0.6504085076093818,0.31966640080902275,0.3945429249973212,0.46525726084869695,0.4726413374466925,0.16262919732401673,0.23828787723112144,0.6757362531559502,0.3495468228209,0.43744837592482877,0.7838667270231344,0.82224063945062,0.11605723510643902,0.5957076038473129,0.9003713857416848,0.14805735605998466,0.30466378189437193,0.6158770266973159,0.6425702295826611,0.12366817212994918,0.4238252197112833,0.759715845613614,0.20080010581516328,0.33589062590233076,0.6426442525882727,0.6621128472771781,0.13961400113312086,0.4355677084330422,0.8105069668915849,0.21724927994115015,0.37493925845854265,0.2830886676568772,0.24804290425863737,0.09859218436385567,0.19341164662499524,0.42779156345822655,0.3482731583001978,0.2343799168332313,0.18223638080861745,0.15818316109400726,0.07087242081200786,0.11918490968597817,0.2831664736468132,0.3889037989973981,0.16398156396083502,0.1889932843767689,0.1620654173595982,0.07260014099506322,0.12701426955949968,0.29100504173137753,0.3841413795970162,0.16399077217187785
1250,Çerkezköy,Tekirdağ,2017,0.52537452204942,0.5273679672394963,0.12260626681501478,0.35542190195797213,0.6835292704688314,0.2333692664363379,0.32810736851085925,0.3250597406411879,0.32422233113402177,0.09068290066038598,0.1993182864745107,0.4413405139266055,0.27897302963914217,0.2420222274520948,0.3436094116785243,0.3418101611339715,0.09678654029350273,0.21673959153515548,0.4668416510589366,0.28167604554456943,0.2501020595237811,0.787603593679977,0.8027551150356896,0.1014424911103011,0.6464196608539309,0.9042954124720759,0.12879891854774816,0.257875751618145,0.570400314673959,0.5762091620972691,0.11084609923829822,0.41607930906648644,0.7129134797183672,0.19433036130363618,0.2968341706518807,0.6078116444792857,0.6113156766448018,0.09664266297393087,0.4824470960270603,0.7283399752147026,0.15900100607109127,0.2458928791876423,0.42754420894421175,0.41803412199656326,0.1448492658105058,0.24608464533556587,0.6209778704658666,0.3387936563757937,0.37489322513030077,0.24982254257197037,0.23834927463841396,0.10171769146856718,0.128941073917275,0.3867548139864091,0.4071597799836808,0.2578137400691341,0.2638759897415525,0.2481669683864548,0.10942130391452709,0.13472573053828155,0.41986377877132486,0.41466942112352606,0.28513804823304334
1250,Çerkezköy,Tekirdağ,2018,0.6422367779660902,0.6465525997004098,0.12784170761657462,0.4745681135944845,0.8065324974516004,0.19905697089076482,0.3319643838571159,0.3878688902908169,0.3808314828655608,0.10307189043716702,0.2597724518713159,0.5252450938768091,0.2657389984535383,0.26547264200549314,0.4045314735136737,0.3965537142791406,0.13717350676988074,0.23641678654369055,0.5841310632702754,0.3390922975125299,0.34771427672658484,0.7178707157290097,0.7255490053830073,0.08938735720656715,0.5928821413529756,0.8290975401636029,0.12451734727163623,0.23621539881062736,0.4925187400047765,0.49324408145671034,0.0802607111433261,0.38569817323433725,0.596630708745796,0.16295971020828104,0.2109325355114588,0.5379875931245054,0.5292954061980203,0.09730142628319557,0.41997173406498495,0.6660696391206152,0.18086184054560028,0.24609790505563028,0.404581215629221,0.3964192191135418,0.11511732599993973,0.26366536447507205,0.5605198802202291,0.28453452991114436,0.2968545157451571,0.249768950135028,0.24017892082292477,0.07800769325171228,0.15816786896222162,0.35363693899181015,0.31231941844468825,0.19546907002958852,0.2624542125988048,0.24416283232909444,0.0922070328930767,0.15833844511418393,0.39272926715793244,0.35132616840114156,0.2343908220437485
