ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_harvest_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_harvest_mean,EVI_greenup_mean,EVI_peak_mean,EVI_harvest_mean,clay_0_30_mean,sand_0_30_mean,silt_0_30_mean,phh2o_0_30_mean,soc_0_30_mean,cec_0_30_mean,bdod_0_30_mean,nitrogen_0_30_mean,cfvo_0_30_mean,awc_0_30
1163,Babaeski,Kırklareli,2017,223.0,2428.81,553.2599999999999,0,273.97,,59.83,12.01,0.1916481994462084,39,25.58129032258065,33.62580645161291,14.356775956284151,802.7799999999997,4059.79,0.6732047323584615,0.6373720586813288,0.3233633082425745,0.4454494423424234,0.4156783037848893,0.2057366060342788,0.5508860404181798,0.4824275775768294,0.2246084798446977,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2018,279.0,2519.59,541.5949999999999,0,258.65,,79.18,1.89,0.1945084466611531,42,25.350000000000005,31.60258064516129,13.068852459016396,740.6800000000001,4002.06,0.4379941052256705,0.644527651218647,0.3366532448733176,0.2899210294757375,0.4315488518049384,0.2154159069253937,0.3259387815377571,0.4776046343433152,0.2238950296234598,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2019,278.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655446088164147,44,25.515483870967746,33.28645161290322,14.009344262295082,764.9699999999999,3977.57,0.538158315740908,0.6610557650917023,0.3286114926258036,0.3686480078454025,0.465270189829892,0.2082031285636705,0.4101393415680611,0.5024146323688773,0.2276277101153182,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2020,300.0,2469.95,572.3299999999999,0,229.11,,1.84,7.41,0.1596645713575631,54,26.26612903225806,34.483548387096775,14.179945355191258,860.68,4106.630000000001,0.5209614042072684,0.666596527371653,0.3694091902668567,0.3429962301793319,0.4588844141642708,0.2379126158196569,0.3863282472150347,0.5038515972222423,0.2641144143631422,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2021,282.0,2390.16,599.15,0,220.56,,14.4,13.81,0.166668432710007,55,27.134516129032253,35.18,13.302240437158469,819.3400000000001,3896.35,0.4244058271817346,0.6340490979471163,0.3665289547935051,0.2622372856481336,0.4448714656287416,0.2355116061051866,0.2972617590917712,0.4699995082921209,0.2420029085412904,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2022,313.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.1556284782323186,50,26.649677419354838,34.76258064516129,14.103169398907104,833.4399999999999,4065.29,0.5589474225001438,0.6379755622848667,0.3785532046794544,0.37570099440988,0.4434940447525336,0.2488191325986342,0.4087904126811702,0.4742679733364639,0.2474479351188219,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2023,192.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.1602755519781737,57,28.345161290322583,36.51870967741936,13.636120218579237,833.3900000000002,3850.99,0.302755111125698,0.6420489160104458,0.357609857820336,0.1847644097578662,0.4646085118396345,0.2354765344073982,0.2004243613668654,0.459660963214182,0.2531524168354543,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2024,225.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1138738987891553,58,28.8141935483871,36.67161290322581,14.260928961748634,805.9199999999998,4080.68,0.531444916821253,0.7174924537184193,0.5100999995654781,0.3412885052279905,0.5134643251494178,0.3237823401889758,0.3718676900715989,0.5620554330263748,0.3733377779944711,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1250,Çerkezköy,Tekirdağ,2017,244.0,2154.745,493.51499999999993,0,305.87000000000006,,69.3,26.84,0.3013912998239427,7,23.69322580645161,28.41838709677419,8.890382513661203,765.2900000000002,3863.42,0.6418955678906941,0.6710247126793444,0.2512338444642504,0.4149638425282766,0.4391861288385487,0.1571895395119023,0.5430342952676492,0.5430789361838781,0.1698168736159283,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2018,210.0,2344.51,520.8,0,321.81000000000006,,83.59,3.86,0.3370030294850312,1,24.61483870967742,28.843225806451613,7.870710382513661,760.83,3806.11,0.3501491980626732,0.6069000096838385,0.2728635606359512,0.2191979826458918,0.3959474011611862,0.1668897337112564,0.2799202115813543,0.4692378554655581,0.1567303208897816,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2019,250.0,2236.675,486.3850000000001,0,234.3,,58.97,33.04,0.2355686366684858,3,23.52645161290323,28.098064516129035,8.29224043715847,743.0199999999999,3865.42,0.5866310780060936,0.6106043398865048,0.2031873190041032,0.4079053939150965,0.3885152883648926,0.1186818834998369,0.5058106239230824,0.4772084257346565,0.1328736778636362,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2020,245.0,2211.53,497.5299999999999,0,202.31,,4.930000000000001,9.72,0.1978728792012617,2,23.88677419354839,28.284838709677423,8.529617486338799,803.9700000000001,3954.750000000001,0.6491465694121386,0.5790468207667498,0.2530051568650421,0.4515248890535587,0.374919013483782,0.1540992956889619,0.5646238081661972,0.4278202049587587,0.1664271240717295,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2021,220.0,2187.8100000000004,536.8900000000001,0,222.63,,17.92,13.039999999999996,0.2250211585791207,16,25.12967741935484,29.785806451612903,8.39415300546448,772.84,3821.6,0.3734445215486324,0.590652430938461,0.2859472429465663,0.2424316936664323,0.3956212570283275,0.1783407575393268,0.2833064390582914,0.4279928354378586,0.1758989959845824,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2022,163.0,2219.985,493.715,0,250.24,,46.67,45.26,0.2428148439383689,3,23.731612903225805,28.196451612903232,8.666721311475408,826.1899999999999,3973.69,0.4451623971107559,0.5775563415602397,0.31906014837142,0.286953719468363,0.4044133983241519,0.207670360520439,0.3515181117506347,0.4484307831662701,0.2174184740163182,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2023,105.0,2286.835,554.205,0,206.85,,12.63,7.15,0.2119627564773014,17,25.791612903225808,31.065483870967743,8.205956284153006,809.2,3725.74,0.3602612963704221,0.5767355841958004,0.2731062212710411,0.2477842619541476,0.396905727055931,0.171921409721839,0.2590977113625343,0.4044775190243775,0.1777887771815086,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2024,140.0,2496.9,574.9400000000002,0,172.32,,17.54,7.75,0.1610404928307287,14,26.32258064516129,30.92419354838709,8.491147540983608,774.4100000000002,3954.74,0.511907864822414,0.5794906689390078,0.4157066373756468,0.3585268313701277,0.394607233810589,0.2681589762286722,0.3893658025673805,0.4369053598549097,0.2581589238967593,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1258,Çorlu,Tekirdağ,2017,234.0,2367.565,537.8,0,234.37,,44.31,17.209999999999997,0.1910669321269303,25,25.10129032258065,31.197741935483872,10.87431693989071,802.7799999999997,4059.79,0.701743914535322,0.6484437900674176,0.2207811692010203,0.4594169250339365,0.4003548357587054,0.1379042686243868,0.5808958389285753,0.4960169221589258,0.1450118845836185,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2018,220.0,2524.53,557.21,0,272.72,,79.53,1.01,0.2364984417699735,15,25.91161290322581,30.81548387096775,9.810601092896176,740.6800000000001,4002.06,0.4143983933347404,0.6200120603497722,0.2475584277032019,0.2752412321435307,0.3954042897175727,0.1503999267552341,0.3159109483754982,0.4596953729006912,0.1347963003649253,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2019,235.0,2419.735,520.565,0,172.78,,31.85,19.75,0.1463891883627011,22,24.761612903225803,30.46806451612904,10.292950819672132,764.9699999999999,3977.57,0.6427909551630853,0.5912800570977197,0.1924945175894263,0.458488870670069,0.3709995310119648,0.1160663894704384,0.5062139249115359,0.412776120946237,0.1223621917831437,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2020,267.0,2400.71,535.4399999999999,0,219.83,,7.03,10.909999999999998,0.1790530606936657,24,25.127096774193557,31.142258064516124,10.639562841530056,860.68,4106.630000000001,0.6689539375017057,0.5890389861622983,0.1936700796645541,0.4526195523968963,0.3769985836166375,0.1155312613726139,0.5231688279490061,0.4003624712332979,0.1219309697441893,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2021,250.0,2382.5199999999995,577.4,0,211.36,,13.469999999999995,12.929999999999998,0.1844493398684364,34,26.508064516129032,32.46129032258064,10.046939890710384,819.3400000000001,3896.35,0.3299825422026676,0.5959774971988587,0.231344706957785,0.2081349335283308,0.3946623229587477,0.1432813052544211,0.2224207908928472,0.4276535086006421,0.1343869842281295,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2022,174.0,2436.91,533.1850000000001,0,193.1,,21.9,42.79,0.1586001923201454,22,25.059677419354845,30.976129032258065,10.63912568306011,833.4399999999999,4065.29,0.5841511006877037,0.6076742038712557,0.2205962209293661,0.4050923217387756,0.426939344066458,0.1423204188856155,0.4375930719628709,0.4371292740380296,0.126554835112081,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
1258,Çorlu,Tekirdağ,2023,88.0,2486.13,603.845,0,186.24,,11.19,3.1899999999999995,0.1596350414261402,44,27.444193548387094,33.73064516129032,10.268415300546447,833.3900000000002,3850.99,0.3146909224649419,0.5995358790615596,0.2767848124197604,0.2061347842367633,0.4171007420452398,0.1768745324894191,0.2271909183738488,0.445857155481861,0.184997681693592,32.76979350280189,27.549256173640423,39.680625164765246,7.18790568066837,23.75806297946314,25.39492065186737,1.37668312849405,20.533934991863703,13.238977900724644,0.1501980622260275
