ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum
1163,Babaeski,Kırklareli,2017,458.0,3272.91,530.49,46,483.79,257.82,47.9,57.77,0.4332781016967745,16,16.99,23.63225806451613,11.577569444444444,696.88,4022.21
1163,Babaeski,Kırklareli,2018,442.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69,0.7224146068705211,12,18.41064516129032,24.698387096774194,10.704583333333334,674.3399999999999,3904.03
1163,Babaeski,Kırklareli,2019,445.0,3559.9700000000003,574.69,61,496.35,317.1700000000001,51.56,35.63999999999999,0.4631700753380257,26,18.274516129032257,25.027419354838703,11.310555555555554,660.11,3843.55
1163,Babaeski,Kırklareli,2020,352.0,3752.715,543.2449999999999,51,439.13,192.16,71.26,68.47000000000001,0.3913352699399225,15,17.3441935483871,24.115161290322582,11.6778892733564,655.2299999999999,4067.94
1163,Babaeski,Kırklareli,2021,483.0,3555.51,533.905,58,716.1500000000001,478.68,58.6,63.760000000000005,0.7228070521708525,9,17.102258064516132,23.206129032258065,10.520138888888887,680.8100000000001,3826.01
1163,Babaeski,Kırklareli,2022,438.0,3445.385,551.33,50,520.54,379.2600000000001,25.99000000000001,44.26999999999998,0.4785209278445113,27,17.686774193548384,25.150645161290324,11.32576388888889,762.4200000000001,3943.88
1163,Babaeski,Kırklareli,2023,411.0,3837.175,506.35,55,403.3,173.08000000000004,46.510000000000005,34.35,0.3859542911772928,14,16.13741935483871,22.204838709677414,11.180208333333333,575.88,3779.36
1163,Babaeski,Kırklareli,2024,408.0,4160.43,523.115,50,445.5,290.63,42.85,8.760000000000002,0.3591494330327114,31,16.666774193548388,23.37258064516129,11.814636678200692,673.8800000000001,4062.81
1250,Çerkezköy,Tekirdağ,2017,420.0,3235.2250000000004,483.16,68,602.17,407.97,34.87,43.46,0.733195593705806,4,15.481612903225804,19.640645161290323,7.397812499999999,673.3499999999999,3787.32
1250,Çerkezköy,Tekirdağ,2018,343.0,3691.445,553.215,57,754.47,484.52,43.900000000000006,91.09,0.944219242451788,0,17.60161290322581,21.6383870967742,7.191770833333332,587.6999999999999,3710.55
