ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,EVI_greenup_mean,EVI2_greenup_mean,NDRE_greenup_mean,CIre_greenup_mean,NDWI_greenup_mean,GNDVI_greenup_mean,OSAVI_greenup_mean,NDVI_peak_mean,EVI_peak_mean,EVI2_peak_mean,NDRE_peak_mean,CIre_peak_mean,NDWI_peak_mean,GNDVI_peak_mean,OSAVI_peak_mean,NDVI_harvest_mean,EVI_harvest_mean,EVI2_harvest_mean,NDRE_harvest_mean,CIre_harvest_mean,NDWI_harvest_mean,GNDVI_harvest_mean,OSAVI_harvest_mean
1163,Babaeski,Kırklareli,2017,223.0,2428.81,553.2599999999999,0,273.97,,59.83,12.01,0.1916481994462084,39,25.58129032258065,33.62580645161291,14.356775956284151,802.7799999999997,4059.79,0.5014388339058354,0.3665944625294997,0.3434084264690185,0.323247203714853,1.1157891786871623,0.0967044764345094,0.5342897611907815,0.3587394169533882,0.3928543783251809,0.283715893161153,0.2659437413595024,0.2477167177230825,0.7176392903036745,-0.0056892353479377,0.4500098299451521,0.2854620135726934,0.2838630860747909,0.1920946465604176,0.1806736060904859,0.1805807574263981,0.4116006030661842,-0.121011459661356,0.3937941465480427,0.2026153022397168
1163,Babaeski,Kırklareli,2018,279.0,2519.59,541.5949999999999,0,258.65,,79.18,1.89,0.1945084466611531,42,25.350000000000005,31.60258064516129,13.068852459016396,740.6800000000001,4002.06,0.3546562055989983,0.2493683627448701,0.2291722017574246,0.230350618146435,0.5960678085376683,-0.046243738700254,0.4359407078067021,0.2526222480421481,0.4185279663367551,0.2868854929053108,0.2640955575000975,0.2678233583118679,0.8272386724015364,-0.0211782491134126,0.4491919399593391,0.2916243754708728,0.2817912687354083,0.1797958779878401,0.1686518087265526,0.1779397735186882,0.3936564781688628,-0.159201625401018,0.3869403251377855,0.1949724888213667
1163,Babaeski,Kırklareli,2019,278.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655446088164147,44,25.515483870967746,33.28645161290322,14.009344262295082,764.9699999999999,3977.57,0.4468774149675928,0.3261792919017383,0.295504473888051,0.2993052064094451,0.9371919120828596,0.052983445017388,0.4937927301081793,0.3175901990414633,0.3445290309203889,0.2463704925398841,0.2257634303814697,0.2214268161997877,0.640402403340056,-0.0613323244922502,0.4187822240965322,0.2469288498404008,0.2417565241441761,0.1637719303587379,0.1542667773093842,0.1506937464912317,0.3197777518679544,-0.150570471771795,0.3674796610728167,0.1731266437603767
1163,Babaeski,Kırklareli,2020,300.0,2469.95,572.3299999999999,0,229.11,,1.84,7.41,0.1596645713575631,54,26.26612903225806,34.483548387096775,14.179945355191258,860.68,4106.630000000001,0.4169342552624174,0.2869855362161542,0.2591576340603235,0.2748844033071048,0.834983255572097,0.0218046996105032,0.4569929705805046,0.2877521540924576,0.3000607207208166,0.2079633542791423,0.1942193928450611,0.1884154046131867,0.4670891212240606,-0.0984578242670323,0.3974548432192769,0.2144405995498021,0.2195087982285267,0.1513600867734245,0.1448691410833246,0.1360910128877463,0.2830731080650251,-0.1526272881476747,0.3581174958698482,0.160169195567007
1163,Babaeski,Kırklareli,2021,282.0,2390.16,599.15,0,220.56,,14.4,13.81,0.166668432710007,55,27.134516129032253,35.18,13.302240437158469,819.3400000000001,3896.35,0.4340779484871047,0.2843773959066945,0.258812053226186,0.2730199446701288,0.7847144950835182,0.0282567596226554,0.4673529866535514,0.2945886166100884,0.3629529307859837,0.2626578498040765,0.2459243224279695,0.2374505943103838,0.6694794824931705,-0.0336128917569428,0.4457197085410079,0.2643477939775155,0.2731215034950331,0.1849364042374108,0.1762209448323583,0.1716228803265632,0.3878310888424728,-0.1201545670665292,0.3968316312117836,0.1961521162302809
1163,Babaeski,Kırklareli,2022,313.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.1556284782323186,50,26.649677419354838,34.76258064516129,14.103169398907104,833.4399999999999,4065.29,0.4474695127330281,0.3145718801289722,0.2898410447424328,0.2946524977184996,0.9047860089595744,0.0579725183394246,0.4946970819759778,0.3143597398619648,0.3438289708317051,0.2516090739808261,0.233433693309945,0.2197719005927935,0.6227168092439446,-0.0365294373220733,0.4268884948303645,0.2507547803631653,0.3028888545424165,0.201640519076525,0.1857565080814672,0.1962026502412354,0.4798606288145917,-0.1290942211209118,0.3923908514488506,0.2115487136359895
1163,Babaeski,Kırklareli,2023,192.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.1602755519781737,57,28.345161290322583,36.51870967741936,13.636120218579237,833.3900000000002,3850.99,0.3725603932267304,0.2483019343549331,0.2333943231832636,0.2374965493237249,0.5947014741966027,0.020201901888931,0.454882304341378,0.2605325636645838,0.3081821223500477,0.2172843986823717,0.2043637105387486,0.2013523706773683,0.5501778076076372,-0.0796195739982206,0.4133299577859628,0.2234133521172326,0.2277487647222076,0.1643719473964418,0.1547806688128049,0.1408896838168537,0.3008245890557807,-0.131422313754331,0.3620705411916661,0.1678658888758465
1163,Babaeski,Kırklareli,2024,225.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1138738987891553,58,28.8141935483871,36.67161290322581,14.260928961748634,805.9199999999998,4080.68,0.397063185270955,0.2804982649902677,0.2669487861234329,0.2703888130316879,0.7955537152886915,0.0198130408803727,0.487315456521596,0.2872364122583457,0.2577509212709628,0.1823771165350637,0.1743577489007839,0.156827912120507,0.3867527156944579,-0.1018855683977146,0.3839008077243497,0.1886888877964179,0.2116796016771942,0.1377837895941561,0.1287649523454675,0.1267133400776613,0.2636075179668973,-0.1959793014195819,0.3394777384371319,0.1485825341341065
1250,Çerkezköy,Tekirdağ,2017,244.0,2154.745,493.51499999999993,0,305.87000000000006,,69.3,26.84,0.3013912998239427,7,23.69322580645161,28.41838709677419,8.890382513661203,765.2900000000002,3863.42,0.471232907741112,0.3316123333561716,0.3059249275980705,0.2832293589270032,0.8848684647222346,0.061808434884222,0.5009402302141176,0.3303277498826301,0.421136990939761,0.3055647762783212,0.290319635126704,0.2659509783796805,0.7512356533489782,-0.0075682446294833,0.4777296212761856,0.3078808215287562,0.2906198902616254,0.1961314518145461,0.1829747279059842,0.1824161019382632,0.3879127625117404,-0.135555136112738,0.4026971915516659,0.207232707899165
1250,Çerkezköy,Tekirdağ,2018,210.0,2344.51,520.8,0,321.81000000000006,,83.59,3.86,0.3370030294850312,1,24.61483870967742,28.843225806451613,7.870710382513661,760.83,3806.11,0.3898029912607113,0.2749893499633211,0.2510911390281705,0.2424273527016293,0.6252584885650616,-0.0270864384651076,0.449188575219414,0.2777464373130567,0.4174565486544015,0.2971434241686062,0.2745767983205309,0.262185106735336,0.7536780713579869,-0.0282150335160491,0.4569742717918823,0.2982390092504142,0.2918616260213581,0.1730399505613108,0.1619248093435789,0.178434782719309,0.3930114665288816,-0.1374874535658992,0.3912333409189713,0.1948976582266627
