ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_harvest_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_harvest_mean,EVI_greenup_mean,EVI_peak_mean,EVI_harvest_mean,clay_0_30_mean,sand_0_30_mean,silt_0_30_mean,phh2o_0_30_mean,soc_0_30_mean,cec_0_30_mean,bdod_0_30_mean,nitrogen_0_30_mean,cfvo_0_30_mean,awc_0_30,NDVI_greenup_median,NDVI_greenup_stdDev,NDVI_greenup_p10,NDVI_greenup_p90,NDVI_greenup_cv,NDVI_greenup_range,NDVI_peak_median,NDVI_peak_stdDev,NDVI_peak_p10,NDVI_peak_p90,NDVI_peak_cv,NDVI_peak_range,NDVI_harvest_median,NDVI_harvest_stdDev,NDVI_harvest_p10,NDVI_harvest_p90,NDVI_harvest_cv,NDVI_harvest_range,NDRE_greenup_median,NDRE_greenup_stdDev,NDRE_greenup_p10,NDRE_greenup_p90,NDRE_greenup_cv,NDRE_greenup_range,NDRE_peak_median,NDRE_peak_stdDev,NDRE_peak_p10,NDRE_peak_p90,NDRE_peak_cv,NDRE_peak_range,NDRE_harvest_median,NDRE_harvest_stdDev,NDRE_harvest_p10,NDRE_harvest_p90,NDRE_harvest_cv,NDRE_harvest_range,EVI_greenup_median,EVI_greenup_stdDev,EVI_greenup_p10,EVI_greenup_p90,EVI_greenup_cv,EVI_greenup_range,EVI_peak_median,EVI_peak_stdDev,EVI_peak_p10,EVI_peak_p90,EVI_peak_cv,EVI_peak_range,EVI_harvest_median,EVI_harvest_stdDev,EVI_harvest_p10,EVI_harvest_p90,EVI_harvest_cv,EVI_harvest_range
1163,Babaeski,Kırklareli,2017,223.0,2428.81,553.2599999999999,0,273.97,,59.83,12.01,0.1916481994462084,39,25.58129032258065,33.62580645161291,14.356775956284151,802.7799999999997,4059.79,0.6732047323584615,0.6373720586813288,0.3233633082425745,0.4454494423424234,0.4156783037848893,0.2057366060342788,0.5508860404181798,0.4824275775768294,0.2246084798446977,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.7324699788970915,0.1783925742401459,0.3887248627216233,0.8496409032857002,0.2649900775580959,0.4609160405640768,0.6103812115327764,0.1074447028362566,0.5204963644317742,0.8174346656915964,0.1685745419379553,0.2969383012598222,0.255845542977116,0.1733135777619665,0.1895047701055609,0.6309641883283632,0.5359716867813386,0.4414594182228023,0.4863383188585474,0.1435274952972014,0.2129006847036053,0.5956123016550888,0.3222082724864425,0.3827116169514835,0.3808245316722602,0.114464220646262,0.3027441902269566,0.6074389640062865,0.2753673203629519,0.3046947737793299,0.1581715562927459,0.1194896048620183,0.1192173232052139,0.4081417621440008,0.5807892293222215,0.2889244389387868,0.5839657004030726,0.1992379772199464,0.2480162428901047,0.7910088425983447,0.3616682264606017,0.5429925997082399,0.4550661095172874,0.1070155295976449,0.3691623772429524,0.6425126382046142,0.2218271395992117,0.2733502609616618,0.1699057683129786,0.1467763669508002,0.1191255596923934,0.4433758555985884,0.6534765163465185,0.324250295906195
1163,Babaeski,Kırklareli,2018,279.0,2519.59,541.5949999999999,0,258.65,,79.18,1.89,0.1945084466611531,42,25.350000000000005,31.60258064516129,13.068852459016396,740.6800000000001,4002.06,0.4379941052256705,0.644527651218647,0.3366532448733176,0.2899210294757375,0.4315488518049384,0.2154159069253937,0.3259387815377571,0.4776046343433152,0.2238950296234598,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.4413796000564123,0.1376447622430387,0.246094011078611,0.6132271070281293,0.3142616774993333,0.3671330959495183,0.6220476327035963,0.1040329235467598,0.5244365654654888,0.8076408253045829,0.1614095583797817,0.2832042598390941,0.2694420308546207,0.1720294201012037,0.1914939903593742,0.636774650288988,0.5109988473924802,0.4452806599296137,0.2910059400801645,0.1057939373336684,0.1464860600394372,0.427714599437645,0.3649060488125851,0.2812285393982078,0.3964843312999447,0.1167746953044502,0.3105542058808543,0.6309547004082641,0.2705943830369239,0.3204004945274097,0.1698765591737761,0.1210491971262813,0.1191762305614078,0.412106815247388,0.5619324907524358,0.2929305846859801,0.3183759588451134,0.1211230715876179,0.1699490313268027,0.4863381258793346,0.3716129483462124,0.3163890945525319,0.458995747667979,0.1149319981657461,0.3496215899720065,0.6385743205631988,0.2406425522310362,0.2889527305911923,0.1699042456829647,0.1422240291235604,0.1152779835096899,0.4354297517446152,0.635226379802842,0.3201517682349252
1163,Babaeski,Kırklareli,2019,278.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655446088164147,44,25.515483870967746,33.28645161290322,14.009344262295082,764.9699999999999,3977.57,0.538158315740908,0.6610557650917023,0.3286114926258036,0.3686480078454025,0.465270189829892,0.2082031285636705,0.4101393415680611,0.5024146323688773,0.2276277101153182,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.5527899466414266,0.1550815734096616,0.3184024038634538,0.7324189134691881,0.2881709134163494,0.4140165096057342,0.6318031666277591,0.1185822077474941,0.5224449991417619,0.848656507489121,0.1793830626846501,0.3262115083473591,0.2480630682304319,0.1829696452611136,0.1777662669835626,0.6660361143019129,0.5567962453141128,0.4882698473183502,0.3808438415943558,0.1325553885396529,0.1778324295046148,0.5371379696962802,0.3595716936445287,0.3593055401916654,0.4316778181139183,0.1263810835839997,0.3261963573300346,0.6738146773858956,0.2716294453126389,0.3476183200558609,0.1542587365404586,0.1222200073022029,0.1075140389308508,0.4161636115696583,0.5870229143306409,0.3086495726388074,0.4082479547300841,0.1570289351468371,0.2011129271162497,0.6190787903527099,0.3828672824861859,0.4179658632364601,0.470733759462521,0.1276747865980883,0.3613484539595278,0.6972536880675151,0.2541223490966091,0.3359052341079872,0.1620446082720615,0.1546977024406553,0.107505497612455,0.5020226576007263,0.6796083937332765,0.3945171599882712
1163,Babaeski,Kırklareli,2020,300.0,2469.95,572.3299999999999,0,229.11,,1.84,7.41,0.1596645713575631,54,26.26612903225806,34.483548387096775,14.179945355191258,860.68,4106.630000000001,0.5209614042072684,0.666596527371653,0.3694091902668567,0.3429962301793319,0.4588844141642708,0.2379126158196569,0.3863282472150347,0.5038515972222423,0.2641144143631422,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.54092746943575,0.1744189764376319,0.2676078040380534,0.7441432116903388,0.3348021082349471,0.4765354076522853,0.6455248863096066,0.1201016384766295,0.5204813999280323,0.8525537466757513,0.1801714133588162,0.332072346747719,0.2558309665653388,0.2199425736660979,0.1738173269022299,0.7402122149998377,0.5953900971094253,0.5663948880976077,0.3613935130434439,0.1533757572683302,0.1152786916601605,0.5332471874057643,0.4471645568469931,0.4179684957456038,0.4355343331472282,0.1151782082493913,0.3262406775546099,0.6308694269173973,0.2509961216685821,0.3046287493627874,0.1619982916287288,0.1499460214961832,0.1074851451662889,0.4824192205207973,0.6302567057219262,0.3749340753545083,0.3807932157872749,0.1705410270096093,0.1620703981090279,0.6151472161384193,0.4414407391615975,0.4530768180293913,0.4863290912834368,0.131447306455616,0.3456915116447968,0.6933543528342759,0.260884965295915,0.3476628411894791,0.1776681567290302,0.1791998957547033,0.1113620154897044,0.5723046488210475,0.6784934331842779,0.460942633331343
1163,Babaeski,Kırklareli,2021,282.0,2390.16,599.15,0,220.56,,14.4,13.81,0.166668432710007,55,27.134516129032253,35.18,13.302240437158469,819.3400000000001,3896.35,0.4244058271817346,0.6340490979471163,0.3665289547935051,0.2622372856481336,0.4448714656287416,0.2355116061051866,0.2972617590917712,0.4699995082921209,0.2420029085412904,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.4023012633331895,0.1645696977322881,0.2225928010745266,0.6600320536167262,0.3877649343910112,0.4374392525421996,0.6045183412103363,0.1079003273958305,0.5185435737842039,0.8154044468148793,0.1701766121033581,0.2968608730306754,0.2831521840386386,0.1879765407026042,0.2050857964628049,0.708930869370713,0.5128559101381399,0.503845072907908,0.2460735069711047,0.1243713307299028,0.1211865545551138,0.4336034314558505,0.4742702031197143,0.3124168769007366,0.412141806236996,0.1060585841331318,0.3418450144635995,0.6308598409002055,0.2384027574869025,0.289014826436606,0.1738059393599846,0.1326127757758118,0.1269953288237395,0.4706257584302038,0.5630838240582628,0.3436304296064643,0.2694881533004925,0.1498641080788063,0.1367367479565053,0.5037792780983479,0.5041486282550725,0.3670425301418425,0.4355510522341462,0.1212967377034253,0.3456875213602099,0.6543814361406101,0.2580784353247348,0.3086939147804001,0.1698893779818507,0.1621711470404572,0.1152684799651475,0.5254272097488668,0.6701206527556577,0.4101587297837192
1163,Babaeski,Kırklareli,2022,313.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.1556284782323186,50,26.649677419354838,34.76258064516129,14.103169398907104,833.4399999999999,4065.29,0.5589474225001438,0.6379755622848667,0.3785532046794544,0.37570099440988,0.4434940447525336,0.2488191325986342,0.4087904126811702,0.4742679733364639,0.2474479351188219,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.5683960935856245,0.167146094099534,0.3262038333030766,0.7754283345003224,0.299037239230656,0.4492245011972458,0.6123089827730125,0.10377462999438,0.5205093770679291,0.8037153661649344,0.1626623904256114,0.2832059890970053,0.3026739977266872,0.1938518483083929,0.1933273134444348,0.7128868963731549,0.5120861371984416,0.5195595829287202,0.3807371903605924,0.1410234282565249,0.1777147457383011,0.5605086838105825,0.3753608064786541,0.3827939380722814,0.4159885644080082,0.1051505718240139,0.3339740258275126,0.6074151069004359,0.2370957920814634,0.2734410810729232,0.1933579842145551,0.1391571199243906,0.1230543796850456,0.4863375551913537,0.5592701753721749,0.363283175506308,0.3964852499973419,0.1720371496347423,0.1855354609036578,0.6465795008960745,0.4208443845499871,0.4610440399924167,0.4511868513955688,0.1097546921872777,0.3535239180414577,0.6387301016671729,0.2314191519514929,0.2852061836257152,0.1855428041211259,0.1636365922491085,0.1035365114522675,0.502013641078655,0.6612970610182378,0.3984771296263875
1163,Babaeski,Kırklareli,2023,192.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.1602755519781737,57,28.345161290322583,36.51870967741936,13.636120218579237,833.3900000000002,3850.99,0.302755111125698,0.6420489160104458,0.357609857820336,0.1847644097578662,0.4646085118396345,0.2354765344073982,0.2004243613668654,0.459660963214182,0.2531524168354543,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.2694588642861919,0.1383223364587138,0.1680827078737574,0.4727591663781453,0.4568786169931417,0.3046764585043879,0.6142640330953858,0.1089038353201091,0.5205338123563291,0.8154591430821063,0.1696192184184566,0.2949253307257772,0.2441424194349515,0.2090833032188718,0.1817110641357653,0.7246900684163697,0.5846687350657871,0.5429790042806044,0.1601192925907665,0.1036937487720246,0.0900547138712679,0.3084756804654305,0.561221443609813,0.2184209665941626,0.4355117473986983,0.1007252738055353,0.3613403957326623,0.6269701107529136,0.2167960147925614,0.2656297150202513,0.1503237228654152,0.1519231176581723,0.1114293092759676,0.49808176006092,0.6451730659299151,0.3866524507849523,0.1679805591208437,0.1197793280478762,0.1055916005063666,0.3242408583594426,0.5976285878173613,0.2186492578530759,0.4315812611356556,0.1167963055695506,0.3300503994277604,0.6347927948905886,0.2540922873955877,0.3047423954628281,0.1542840249436823,0.1846503032958205,0.1075257348705972,0.5722598232459143,0.7294036754776104,0.464734088375317
1163,Babaeski,Kırklareli,2024,225.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1138738987891553,58,28.8141935483871,36.67161290322581,14.260928961748634,805.9199999999998,4080.68,0.531444916821253,0.7174924537184193,0.5100999995654781,0.3412885052279905,0.5134643251494178,0.3237823401889758,0.3718676900715989,0.5620554330263748,0.3733377779944711,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389,0.5331947436363326,0.1699866994974222,0.298829527200369,0.7637303530305892,0.3198576072834954,0.4649008258302202,0.711860078232979,0.1397510309168957,0.5322328843919839,0.9052385962407868,0.1947770045421846,0.3730057118488029,0.5098363487626862,0.2312261748152462,0.2010488944084492,0.8026294298200055,0.4532957753621116,0.6015805354115563,0.3378540288650726,0.1542190041044302,0.14264471307681,0.548783598957584,0.4518728341038253,0.4061388858807739,0.5098565144128375,0.1377886380881851,0.3339678981170047,0.7011017566073872,0.2683509473576158,0.3671338584903824,0.314400594687139,0.1633156232347843,0.119182754536177,0.5448804462310111,0.5043994157910685,0.425697691694834,0.3573912862839369,0.1556192386551723,0.1817073991547241,0.5917497589310199,0.4184801283091027,0.4100423597762958,0.5448670422636369,0.1486814446195619,0.380874929501304,0.7792543438040606,0.2645316384880226,0.3983794143027565,0.3261960245381502,0.2128622894023193,0.1230299148480604,0.673824742911565,0.5701600586626724,0.5507948280635045
1250,Çerkezköy,Tekirdağ,2017,244.0,2154.745,493.51499999999993,0,305.87000000000006,,69.3,26.84,0.3013912998239427,7,23.69322580645161,28.41838709677419,8.890382513661203,765.2900000000002,3863.42,0.6418955678906941,0.6710247126793444,0.2512338444642504,0.4149638425282766,0.4391861288385487,0.1571895395119023,0.5430342952676492,0.5430789361838781,0.1698168736159283,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509,0.6603666163751647,0.1642984115563051,0.4020674647736145,0.8475810782079695,0.2559581648089566,0.4455136134343549,0.674909671618728,0.0888540718046712,0.5459597330344351,0.788065493106842,0.1324154984544228,0.2421057600724069,0.2246494585877089,0.088774425654243,0.1778398274912744,0.3533931216772865,0.3533537682534459,0.175553294186012,0.4238193146244219,0.1241651466532254,0.2400968674036384,0.5721813881446691,0.2992191943681563,0.3320845207410307,0.4384545839374585,0.0705392292065616,0.3466819810270227,0.5341537974097512,0.1606135179931715,0.1874718163827284,0.1425242356387214,0.0626482888611821,0.1034713596174087,0.2245237244068932,0.3985525312671228,0.1210523647894844,0.5353509324056024,0.1906058180945132,0.2930321501253934,0.8090107769909501,0.3510014372122997,0.5159786268655566,0.5412244510481513,0.0909318386014491,0.423590978108201,0.665935165467856,0.1674376090525835,0.242344187359655,0.1503400052619594,0.0574113659275452,0.1231229941478023,0.2364229203975967,0.3380780996910321,0.1132999262497943
1250,Çerkezköy,Tekirdağ,2018,210.0,2344.51,520.8,0,321.81000000000006,,83.59,3.86,0.3370030294850312,1,24.61483870967742,28.843225806451613,7.870710382513661,760.83,3806.11,0.3501491980626732,0.6069000096838385,0.2728635606359512,0.2191979826458918,0.3959474011611862,0.1668897337112564,0.2799202115813543,0.4692378554655581,0.1567303208897816,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509,0.3380746735667435,0.1063293837814681,0.22843936191034,0.4902673501651378,0.303668791388853,0.2618279882547978,0.5986896420867488,0.068378119313041,0.522511742746265,0.7042291823170346,0.1126678500938932,0.1817174395707695,0.2559096401952923,0.086181723067616,0.1855426008175862,0.3847386144367499,0.3158418180381289,0.1991960136191637,0.2090555786416663,0.0786535881952072,0.1308636866644482,0.3181176341238488,0.3588244163828364,0.1872539474594006,0.3896376157389924,0.0598189612019452,0.3232929557561874,0.479490729895505,0.1510780498281223,0.1561977741393176,0.1542341381852775,0.0587898903598193,0.1074421155921912,0.2363927380472801,0.3522678660482162,0.1289506224550888,0.2675277089740818,0.0908495011184552,0.1777147313461235,0.40035284209763,0.3245549887420376,0.2226381107515065,0.4627880338325406,0.0730809931939334,0.3847385515641734,0.5683097177456218,0.1557440269209004,0.1835711661814483,0.1455384443946199,0.0534453125107159,0.1026752113856399,0.2216204213665953,0.3410017424024836,0.1189452099809554
