ilce_id,ilce,il,year,NDVI_greenup_mean,NDVI_greenup_median,NDVI_greenup_stdDev,NDVI_greenup_p10,NDVI_greenup_p90,NDVI_greenup_cv,NDVI_greenup_range,NDRE_greenup_mean,NDRE_greenup_median,NDRE_greenup_stdDev,NDRE_greenup_p10,NDRE_greenup_p90,NDRE_greenup_cv,NDRE_greenup_range,EVI_greenup_mean,EVI_greenup_median,EVI_greenup_stdDev,EVI_greenup_p10,EVI_greenup_p90,EVI_greenup_cv,EVI_greenup_range,NDVI_peak_mean,NDVI_peak_median,NDVI_peak_stdDev,NDVI_peak_p10,NDVI_peak_p90,NDVI_peak_cv,NDVI_peak_range,NDRE_peak_mean,NDRE_peak_median,NDRE_peak_stdDev,NDRE_peak_p10,NDRE_peak_p90,NDRE_peak_cv,NDRE_peak_range,EVI_peak_mean,EVI_peak_median,EVI_peak_stdDev,EVI_peak_p10,EVI_peak_p90,EVI_peak_cv,EVI_peak_range,NDVI_harvest_mean,NDVI_harvest_median,NDVI_harvest_stdDev,NDVI_harvest_p10,NDVI_harvest_p90,NDVI_harvest_cv,NDVI_harvest_range,NDRE_harvest_mean,NDRE_harvest_median,NDRE_harvest_stdDev,NDRE_harvest_p10,NDRE_harvest_p90,NDRE_harvest_cv,NDRE_harvest_range,EVI_harvest_mean,EVI_harvest_median,EVI_harvest_stdDev,EVI_harvest_p10,EVI_harvest_p90,EVI_harvest_cv,EVI_harvest_range
1163,Babaeski,Kırklareli,2017,0.6732047323584615,0.7324699788970915,0.17839257424014593,0.3887248627216233,0.8496409032857002,0.26499007755809595,0.46091604056407687,0.4454494423424234,0.48633831885854745,0.14352749529720144,0.21290068470360538,0.5956123016550888,0.32220827248644257,0.3827116169514835,0.5508860404181798,0.5839657004030726,0.19923797721994643,0.24801624289010477,0.7910088425983447,0.3616682264606017,0.5429925997082399,0.6373720586813288,0.6103812115327764,0.10744470283625661,0.5204963644317742,0.8174346656915964,0.16857454193795535,0.29693830125982223,0.4156783037848893,0.38082453167226027,0.11446422064626205,0.3027441902269566,0.6074389640062865,0.2753673203629519,0.3046947737793299,0.48242757757682947,0.4550661095172874,0.10701552959764492,0.3691623772429524,0.6425126382046142,0.22182713959921177,0.2733502609616618,0.3233633082425745,0.25584554297711604,0.17331357776196654,0.1895047701055609,0.6309641883283632,0.5359716867813386,0.4414594182228023,0.2057366060342788,0.1581715562927459,0.1194896048620183,0.11921732320521393,0.4081417621440008,0.5807892293222215,0.28892443893878683,0.2246084798446977,0.1699057683129786,0.14677636695080026,0.11912555969239341,0.4433758555985884,0.6534765163465185,0.324250295906195
1163,Babaeski,Kırklareli,2018,0.43799410522567056,0.44137960005641236,0.13764476224303873,0.246094011078611,0.6132271070281293,0.3142616774993333,0.3671330959495183,0.28992102947573756,0.29100594008016456,0.10579393733366843,0.1464860600394372,0.427714599437645,0.36490604881258515,0.2812285393982078,0.3259387815377571,0.31837595884511344,0.12112307158761797,0.16994903132680272,0.4863381258793346,0.37161294834621245,0.3163890945525319,0.644527651218647,0.6220476327035963,0.1040329235467598,0.5244365654654888,0.8076408253045829,0.16140955837978174,0.28320425983909414,0.43154885180493846,0.39648433129994476,0.11677469530445025,0.31055420588085436,0.6309547004082641,0.27059438303692396,0.3204004945274097,0.47760463434331524,0.45899574766797907,0.11493199816574619,0.3496215899720065,0.6385743205631988,0.2406425522310362,0.28895273059119236,0.33665324487331766,0.2694420308546207,0.17202942010120373,0.19149399035937428,0.636774650288988,0.5109988473924802,0.44528065992961374,0.2154159069253937,0.16987655917377611,0.12104919712628136,0.11917623056140784,0.412106815247388,0.5619324907524358,0.29293058468598016,0.22389502962345986,0.16990424568296478,0.14222402912356047,0.11527798350968999,0.4354297517446152,0.635226379802842,0.3201517682349252
1163,Babaeski,Kırklareli,2019,0.538158315740908,0.5527899466414266,0.1550815734096616,0.31840240386345386,0.7324189134691881,0.2881709134163494,0.4140165096057342,0.3686480078454025,0.3808438415943558,0.1325553885396529,0.17783242950461486,0.5371379696962802,0.35957169364452873,0.3593055401916654,0.41013934156806114,0.4082479547300841,0.15702893514683716,0.2011129271162497,0.6190787903527099,0.3828672824861859,0.4179658632364601,0.6610557650917023,0.6318031666277591,0.11858220774749419,0.5224449991417619,0.848656507489121,0.17938306268465015,0.3262115083473591,0.46527018982989204,0.43167781811391837,0.12638108358399977,0.32619635733003466,0.6738146773858956,0.2716294453126389,0.34761832005586096,0.5024146323688773,0.47073375946252105,0.12767478659808834,0.36134845395952786,0.6972536880675151,0.2541223490966091,0.3359052341079872,0.3286114926258036,0.24806306823043192,0.18296964526111367,0.17776626698356265,0.6660361143019129,0.5567962453141128,0.4882698473183502,0.20820312856367054,0.15425873654045869,0.12222000730220299,0.10751403893085085,0.4161636115696583,0.5870229143306409,0.30864957263880743,0.2276277101153182,0.1620446082720615,0.1546977024406553,0.10750549761245505,0.5020226576007263,0.6796083937332765,0.39451715998827125
1163,Babaeski,Kırklareli,2020,0.5209614042072684,0.54092746943575,0.17441897643763193,0.26760780403805345,0.7441432116903388,0.33480210823494716,0.47653540765228536,0.34299623017933195,0.36139351304344397,0.15337575726833022,0.1152786916601605,0.5332471874057643,0.44716455684699313,0.4179684957456038,0.3863282472150347,0.3807932157872749,0.17054102700960933,0.16207039810902796,0.6151472161384193,0.44144073916159754,0.4530768180293913,0.666596527371653,0.6455248863096066,0.12010163847662954,0.5204813999280323,0.8525537466757513,0.18017141335881623,0.332072346747719,0.4588844141642708,0.4355343331472282,0.11517820824939136,0.32624067755460995,0.6308694269173973,0.25099612166858215,0.3046287493627874,0.5038515972222423,0.4863290912834368,0.13144730645561603,0.3456915116447968,0.6933543528342759,0.26088496529591504,0.34766284118947915,0.36940919026685676,0.2558309665653388,0.21994257366609798,0.17381732690222998,0.7402122149998377,0.5953900971094253,0.5663948880976077,0.23791261581965698,0.1619982916287288,0.14994602149618322,0.10748514516628895,0.4824192205207973,0.6302567057219262,0.37493407535450834,0.26411441436314226,0.17766815672903027,0.17919989575470335,0.11136201548970441,0.5723046488210475,0.6784934331842779,0.46094263333134305
1163,Babaeski,Kırklareli,2021,0.4244058271817346,0.40230126333318955,0.16456969773228816,0.22259280107452664,0.6600320536167262,0.38776493439101123,0.4374392525421996,0.2622372856481336,0.24607350697110478,0.12437133072990286,0.12118655455511389,0.43360343145585056,0.4742702031197143,0.31241687690073666,0.29726175909177127,0.26948815330049253,0.1498641080788063,0.13673674795650537,0.5037792780983479,0.5041486282550725,0.3670425301418425,0.6340490979471163,0.6045183412103363,0.10790032739583053,0.5185435737842039,0.8154044468148793,0.1701766121033581,0.29686087303067543,0.44487146562874164,0.412141806236996,0.10605858413313181,0.3418450144635995,0.6308598409002055,0.23840275748690257,0.28901482643660603,0.46999950829212095,0.43555105223414625,0.1212967377034253,0.34568752136020997,0.6543814361406101,0.25807843532473485,0.3086939147804001,0.3665289547935051,0.2831521840386386,0.18797654070260422,0.20508579646280498,0.708930869370713,0.5128559101381399,0.503845072907908,0.2355116061051866,0.1738059393599846,0.1326127757758118,0.12699532882373957,0.4706257584302038,0.5630838240582628,0.3436304296064643,0.2420029085412904,0.16988937798185072,0.16217114704045724,0.11526847996514752,0.5254272097488668,0.6701206527556577,0.41015872978371926
1163,Babaeski,Kırklareli,2022,0.5589474225001438,0.5683960935856245,0.16714609409953407,0.3262038333030766,0.7754283345003224,0.299037239230656,0.44922450119724583,0.37570099440988,0.3807371903605924,0.1410234282565249,0.1777147457383011,0.5605086838105825,0.37536080647865416,0.3827939380722814,0.4087904126811702,0.3964852499973419,0.17203714963474234,0.1855354609036578,0.6465795008960745,0.4208443845499871,0.4610440399924167,0.6379755622848667,0.6123089827730125,0.10377462999438002,0.5205093770679291,0.8037153661649344,0.16266239042561148,0.28320598909700534,0.4434940447525336,0.41598856440800824,0.10515057182401397,0.3339740258275126,0.6074151069004359,0.23709579208146347,0.27344108107292325,0.4742679733364639,0.4511868513955688,0.10975469218727774,0.3535239180414577,0.6387301016671729,0.23141915195149293,0.2852061836257152,0.37855320467945447,0.3026739977266872,0.1938518483083929,0.1933273134444348,0.7128868963731549,0.5120861371984416,0.5195595829287202,0.24881913259863425,0.19335798421455513,0.13915711992439062,0.12305437968504565,0.48633755519135374,0.5592701753721749,0.36328317550630806,0.24744793511882196,0.18554280412112598,0.16363659224910856,0.1035365114522675,0.502013641078655,0.6612970610182378,0.3984771296263875
1163,Babaeski,Kırklareli,2023,0.30275511112569803,0.2694588642861919,0.13832233645871386,0.16808270787375745,0.47275916637814536,0.45687861699314175,0.3046764585043879,0.1847644097578662,0.16011929259076657,0.10369374877202468,0.09005471387126793,0.30847568046543056,0.561221443609813,0.21842096659416263,0.20042436136686542,0.16798055912084378,0.11977932804787628,0.10559160050636666,0.32424085835944266,0.5976285878173613,0.21864925785307598,0.6420489160104458,0.6142640330953858,0.10890383532010914,0.5205338123563291,0.8154591430821063,0.16961921841845665,0.2949253307257772,0.46460851183963453,0.4355117473986983,0.10072527380553538,0.3613403957326623,0.6269701107529136,0.21679601479256147,0.26562971502025134,0.459660963214182,0.4315812611356556,0.11679630556955063,0.33005039942776043,0.6347927948905886,0.25409228739558776,0.30474239546282816,0.35760985782033605,0.24414241943495157,0.20908330321887186,0.18171106413576538,0.7246900684163697,0.5846687350657871,0.5429790042806044,0.23547653440739827,0.15032372286541526,0.1519231176581723,0.1114293092759676,0.49808176006092,0.6451730659299151,0.38665245078495236,0.25315241683545436,0.15428402494368232,0.18465030329582052,0.10752573487059723,0.5722598232459143,0.7294036754776104,0.46473408837531704
1163,Babaeski,Kırklareli,2024,0.531444916821253,0.5331947436363326,0.16998669949742223,0.298829527200369,0.7637303530305892,0.3198576072834954,0.46490082583022024,0.3412885052279905,0.3378540288650726,0.15421900410443026,0.14264471307681004,0.548783598957584,0.45187283410382534,0.40613888588077396,0.3718676900715989,0.3573912862839369,0.15561923865517238,0.18170739915472411,0.5917497589310199,0.41848012830910275,0.4100423597762958,0.7174924537184193,0.711860078232979,0.13975103091689578,0.5322328843919839,0.9052385962407868,0.19477700454218466,0.37300571184880293,0.5134643251494178,0.5098565144128375,0.13778863808818514,0.3339678981170047,0.7011017566073872,0.26835094735761583,0.36713385849038244,0.5620554330263748,0.5448670422636369,0.14868144461956198,0.380874929501304,0.7792543438040606,0.2645316384880226,0.39837941430275653,0.5100999995654781,0.5098363487626862,0.2312261748152462,0.20104889440844922,0.8026294298200055,0.45329577536211163,0.6015805354115563,0.3237823401889758,0.31440059468713905,0.16331562323478438,0.11918275453617702,0.5448804462310111,0.5043994157910685,0.42569769169483407,0.3733377779944711,0.3261960245381502,0.21286228940231938,0.12302991484806047,0.673824742911565,0.5701600586626724,0.5507948280635045
1250,Çerkezköy,Tekirdağ,2017,0.6418955678906941,0.6603666163751647,0.16429841155630512,0.4020674647736145,0.8475810782079695,0.25595816480895667,0.44551361343435497,0.41496384252827667,0.4238193146244219,0.12416514665322545,0.2400968674036384,0.5721813881446691,0.29921919436815636,0.33208452074103073,0.5430342952676492,0.5353509324056024,0.19060581809451324,0.29303215012539346,0.8090107769909501,0.35100143721229976,0.5159786268655566,0.6710247126793444,0.674909671618728,0.08885407180467124,0.5459597330344351,0.788065493106842,0.13241549845442283,0.24210576007240692,0.43918612883854874,0.4384545839374585,0.07053922920656162,0.34668198102702275,0.5341537974097512,0.16061351799317158,0.18747181638272847,0.5430789361838781,0.5412244510481513,0.09093183860144917,0.423590978108201,0.665935165467856,0.16743760905258356,0.24234418735965502,0.25123384446425046,0.22464945858770893,0.08877442565424302,0.17783982749127442,0.3533931216772865,0.3533537682534459,0.17555329418601207,0.15718953951190237,0.14252423563872146,0.06264828886118211,0.10347135961740878,0.2245237244068932,0.3985525312671228,0.12105236478948442,0.16981687361592834,0.15034000526195945,0.05741136592754523,0.12312299414780233,0.2364229203975967,0.33807809969103214,0.11329992624979436
1250,Çerkezköy,Tekirdağ,2018,0.35014919806267325,0.33807467356674353,0.10632938378146811,0.22843936191034,0.49026735016513784,0.30366879138885305,0.2618279882547978,0.21919798264589183,0.20905557864166635,0.07865358819520725,0.13086368666444823,0.31811763412384886,0.35882441638283646,0.18725394745940063,0.2799202115813543,0.2675277089740818,0.09084950111845522,0.1777147313461235,0.40035284209763,0.3245549887420376,0.2226381107515065,0.6069000096838385,0.5986896420867488,0.06837811931304108,0.522511742746265,0.7042291823170346,0.11266785009389325,0.18171743957076958,0.3959474011611862,0.38963761573899247,0.05981896120194523,0.32329295575618744,0.47949072989550506,0.1510780498281223,0.15619777413931762,0.46923785546555813,0.4627880338325406,0.07308099319393345,0.3847385515641734,0.5683097177456218,0.1557440269209004,0.18357116618144836,0.2728635606359512,0.2559096401952923,0.08618172306761605,0.18554260081758625,0.38473861443674995,0.31584181803812894,0.1991960136191637,0.16688973371125645,0.15423413818527754,0.058789890359819366,0.10744211559219129,0.23639273804728017,0.35226786604821625,0.12895062245508887,0.15673032088978162,0.14553844439461996,0.0534453125107159,0.10267521138563994,0.22162042136659535,0.3410017424024836,0.11894520998095541
