stage,n,r2,mae,rmse,bias,mape_pct,year,actual_source
pre_season,26,-3.9936407971507695,0.1459231587756139,0.1600860777650505,0.1459231587756139,231.9401723422874,2025,raw_s2
emergence,23,-14.576719912664288,0.0948006228216316,0.0995938894843378,0.0948006228216316,55.14603478923858,2025,raw_s2
vegetative,32,0.5426048147280979,0.0762334845298901,0.1005627645848253,0.0007218132689596,28.468086822439176,2025,raw_s2
flowering,30,-0.4612442110102295,0.0574265600389242,0.0686488307866528,-0.0207802190138895,9.103043297463485,2025,raw_s2
grain_fill,36,0.6429957200675127,0.043332807056523,0.0510304501712217,0.0427263890032139,14.619103792355334,2025,raw_s2
maturity,26,-9.365212676875672,0.0447377996652172,0.0465426221592428,0.0447377996652172,24.500028848543653,2025,raw_s2
post_harvest,37,0.7954508567351327,0.1316275870540657,0.1514470831101403,-0.032849648140411,39.36729621811271,2025,raw_s2
pre_season,70,-0.2983607361424198,0.1422696246483531,0.1507274820117685,0.1292724817912103,120.58979905905028,2025,unified
emergence,26,-31.69271770340808,0.0960572882473377,0.0986174425490783,0.0960572882473377,54.90184199801366,2025,unified
vegetative,40,0.577540258073151,0.0706828064620494,0.0902893044644364,0.0056594783723355,25.12350022758601,2025,unified
flowering,30,-0.5098841681244775,0.0519694492396116,0.0646658699319926,-0.0219060523472229,8.240160178284048,2025,unified
grain_fill,40,0.5900231501644077,0.044623674279973,0.0516346124117333,0.044545152598843,14.965044952365778,2025,unified
maturity,40,-13.73590895765772,0.0476467121424921,0.0493053213971066,0.0476467121424921,26.72679270823005,2025,unified
post_harvest,85,0.8341674600970732,0.0921499170247341,0.1170968458363415,-0.0161200617805834,27.669906639973057,2025,unified
pre_season,35,-1.030264574665543,0.1367374308855192,0.1654405098661423,-0.1181339976859091,16.063346861320625,2026,raw_s2
emergence,14,-893.9392081075746,0.2344714285714285,0.2346025369793405,-0.2344714285714285,25.83795878206545,2026,raw_s2
vegetative,30,0.0250317669950088,0.191669489618937,0.2098522674054148,-0.071643843714396,31.62948996249367,2026,raw_s2
flowering,2,,0.2056910572856665,0.206955483838137,0.2056910572856665,75.87276181691868,2026,raw_s2
pre_season,68,-1.2406484135795277,0.1176535215526994,0.1408169467893375,-0.1064507966588699,14.253373012246543,2026,unified
emergence,26,-331.32069636313275,0.2437674999999999,0.2441350952687473,-0.2437674999999999,26.58011323664323,2026,unified
vegetative,38,-0.6564163216803924,0.1913172797648529,0.2021515506786954,-0.1294800886561995,24.811758120375423,2026,unified
