layer,crop,rank,feature,imp_mean,imp_std
C,bugday,22,ndvi_integral,0.0053829769941364,0.0006148575118494
C,bugday,23,heat_stress_days,0.0049024218503239,0.0007324330519831
C,bugday,24,aridity_index,0.0046068822113151,0.0002769793482516
C,bugday,25,tdiff_mean,0.0027854646253686,0.0002983758096385
C,bugday,26,awc_0-5cm,0.0004558374919586,0.0001277055651704
C,bugday,27,greenness_days,0.0,0.0
C,aycicegi,1,ndvi_flowering,0.5865952972036339,0.0531760211657969
C,aycicegi,2,gdd_flowering,0.1205471394591529,0.0146452277506177
C,aycicegi,3,sand_0-5cm,0.0866376385615068,0.007775671358626
C,aycicegi,4,soc_0-5cm,0.0472670198268628,0.0094226738859341
C,aycicegi,5,clay_0-5cm,0.0388662989692886,0.0058358303941846
C,aycicegi,6,tp_season_sum,0.0366770127179693,0.0072055531663224
C,aycicegi,7,ssr_season_sum,0.0334476342122433,0.0031814610557226
C,aycicegi,8,ndvi_max,0.0251284984750792,0.0033577097265079
C,aycicegi,9,ndvi_mean_season,0.0239221076172364,0.0025289802879074
C,aycicegi,10,ssr_flowering_sum,0.0222952210575986,0.0039799626814618
C,aycicegi,11,tp_grain_fill,0.0210465075990462,0.0021359893000342
C,aycicegi,12,ndvi_grain_fill,0.0200920028006648,0.0013567918836787
C,aycicegi,13,ndvi_integral,0.0192134959605506,0.0030342771232439
C,aycicegi,14,gdd_cum_season,0.018188382575347,0.0021098944262328
C,aycicegi,15,aridity_index,0.0153208645706334,0.0025832816271879
C,aycicegi,16,phh2o_0-5cm,0.0143344916991406,0.0027471162851673
C,aycicegi,17,tp_flowering,0.0137303532538754,0.0010173289303897
C,aycicegi,18,ndvi_spring_slope,0.0100258872974003,0.0007767857556723
C,aycicegi,19,heat_stress_days,0.004319361710672,0.000599149438675
C,aycicegi,20,tdiff_mean,0.0036821569540019,0.0005258885466289
C,aycicegi,21,t2m_flowering_max,0.0031263961598091,0.0003991187890713
C,aycicegi,22,t2m_flowering_mean,0.0026144878195485,0.0006411067378834
C,aycicegi,23,awc_0-5cm,0.0019746346874729,0.0003902259183528
C,aycicegi,24,silt_0-5cm,0.0016369588150223,0.0001997270713369
C,aycicegi,25,greenness_days,1.5176041454711964e-05,8.739126586251683e-06
C,aycicegi,26,tp_winter_sum,0.0,0.0
C,aycicegi,27,vernalization_days,0.0,0.0
