site,year,stage,n,r2,mae,rmse,bias,mape_pct
EVR_01,2025,pre_season,172,0.7568731208058265,0.0732178109046444,0.0869792762077114,0.0239168525046573,17.992713155993183
EVR_01,2025,emergence,52,0.7648077633265431,0.0617006309924599,0.0734157027736369,-0.0405370858494516,9.11812080074843
EVR_01,2025,vegetative,49,0.7884477446859142,0.0664680878156302,0.0868933223109395,-0.000983359209007,13.435273150150223
EVR_01,2025,flowering,30,0.7408282758082653,0.0260652794673045,0.0310518027360563,0.0099094639716546,8.486922015638442
EVR_01,2025,grain_fill,40,-0.9635409735392936,0.022591943230778,0.0248345786397618,0.022591943230778,11.134168370533184
EVR_01,2025,maturity,40,-5.648806142685739,0.0097637645380575,0.0119295310713746,0.0090906948226427,5.966225992544243
EVR_01,2025,post_harvest,85,0.607624787878752,0.0660402607720513,0.0774591698033147,0.0660402607720513,21.942779582861903
EVR_01,2026,pre_season,68,-1.758879448089103,0.0357147804114615,0.0449941456541768,0.0243533875950836,16.110006463409118
EVR_01,2026,emergence,26,0.7322158494099997,0.0188736365681028,0.0215127832554126,0.0044610775610475,5.968953556091665
EVR_01,2026,vegetative,9,-0.3942638865147194,0.0220174489256525,0.025957558598918,-0.0193884596193928,5.081705828518961
