window,evi_px_total,evi_px_clamped,clamped_frac,crop,evi_stats_in_range
2017-04-01..2017-05-31,104639758.39999996,67661.91372549019,0.000647,bugday,True
2017-07-01..2017-08-31,195555650.09019598,2037.121568627451,1e-05,aycicegi,True
