ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,EVI_greenup_mean,EVI2_greenup_mean,NDRE_greenup_mean,CIre_greenup_mean,NDWI_greenup_mean,GNDVI_greenup_mean,OSAVI_greenup_mean,NDVI_peak_mean,EVI_peak_mean,EVI2_peak_mean,NDRE_peak_mean,CIre_peak_mean,NDWI_peak_mean,GNDVI_peak_mean,OSAVI_peak_mean,NDVI_grainfill_mean,EVI_grainfill_mean,EVI2_grainfill_mean,NDRE_grainfill_mean,CIre_grainfill_mean,NDWI_grainfill_mean,GNDVI_grainfill_mean,OSAVI_grainfill_mean,clay_0_30_mean,sand_0_30_mean,silt_0_30_mean,phh2o_0_30_mean,soc_0_30_mean,cec_0_30_mean,bdod_0_30_mean,nitrogen_0_30_mean,cfvo_0_30_mean,awc_0_30
1163,Babaeski,Kırklareli,2017,458.0,3272.91,530.49,46,483.79,257.82,47.9,57.77,0.4332781016967745,16,16.99,23.63225806451613,11.577569444444444,696.88,4022.21,0.3679034391514734,0.2076812392427524,0.1963361831732332,0.2407696739014225,0.5496501991591966,-0.0575550375383116,0.4331838919825293,0.2390364360191387,0.5599378822710054,0.4414717559970567,0.4143377618829377,0.4135585213602489,2.000021202883654,0.1601650085754558,0.5696549384155217,0.4120467596889793,0.5014388339058353,0.3665944625294998,0.3434084264690184,0.323247203714853,1.115789178687162,0.0967044764345093,0.5342897611907815,0.3587394169533881,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2018,442.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69,0.7224146068705211,12,18.41064516129032,24.698387096774194,10.704583333333334,674.3399999999999,3904.03,0.5119625787251473,0.3157113020505152,0.3035578181630157,0.315557685482348,1.0734749602958291,0.1409462939118916,0.5259626368510043,0.3446220154412865,0.5085766450338235,0.358469041937177,0.3392217028658135,0.3538418511460415,1.2230983896305805,0.1101253981470512,0.5299160489105017,0.362255189007981,0.3546562055989983,0.2493683627448701,0.2291722017574245,0.230350618146435,0.5960678085376683,-0.046243738700254,0.4359407078067019,0.252622248042148,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2019,445.0,3559.9700000000003,574.69,61,496.35,317.1700000000001,51.56,35.63999999999999,0.4631700753380257,26,18.274516129032257,25.027419354838703,11.310555555555554,660.11,3843.55,0.4543772367482749,0.2933875217784736,0.2709951463963826,0.3033052143071011,0.877295102976615,0.0094555471764778,0.4913603382792306,0.3076619517395604,0.5595178436493095,0.4161114993923459,0.3832110313991693,0.4130982767903747,1.8638532196246616,0.1705766191989398,0.5644726418840984,0.3998131384252682,0.4468774149675927,0.3261792919017383,0.2955044738880508,0.2993052064094451,0.9371919120828596,0.052983445017388,0.4937927301081793,0.3175901990414633,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2020,352.0,3752.715,543.2449999999999,51,439.13,192.16,71.26,68.47000000000001,0.3913352699399225,15,17.3441935483871,24.115161290322582,11.6778892733564,655.2299999999999,4067.94,0.5714801351846817,0.4092745640008473,0.3790453087081825,0.4205118154807336,1.8057052844801305,0.1464200367076413,0.5810970077696749,0.4008328779156573,0.5837125589225857,0.4494947509620214,0.4153151749969002,0.4430391541454462,2.100308794275349,0.1994607659840475,0.5879848640989656,0.4226505483474928,0.4169342552624174,0.2869855362161542,0.2591576340603235,0.2748844033071048,0.834983255572097,0.0218046996105032,0.4569929705805046,0.2877521540924576,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2021,483.0,3555.51,533.905,58,716.1500000000001,478.68,58.6,63.760000000000005,0.7228070521708525,9,17.102258064516132,23.206129032258065,10.520138888888887,680.8100000000001,3826.01,0.5230760364280612,0.3855449486638456,0.3523086296934991,0.3486115370634527,1.1100000072724605,0.1269844714363405,0.5305100035121249,0.371374560840825,0.5928751130069378,0.44543837327302,0.4137400768226824,0.4348400072864683,1.9280647155208344,0.2057154564170013,0.5870297484759597,0.4267472900716396,0.4340779484871047,0.2843773959066945,0.258812053226186,0.2730199446701288,0.7847144950835181,0.0282567596226554,0.4673529866535514,0.2945886166100884,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2022,438.0,3445.385,551.33,50,520.54,379.2600000000001,25.99000000000001,44.26999999999998,0.4785209278445113,27,17.686774193548384,25.150645161290324,11.32576388888889,762.4200000000001,3943.88,0.4181452655525161,0.2693460982781184,0.251273182586379,0.2645925948643445,0.6400788915593618,0.0210723793165651,0.4728548444337939,0.2860832231774494,0.5465759836553725,0.4156186120461198,0.3872438226438471,0.4014403929996987,1.7581546279587603,0.165893761915041,0.5555249360181098,0.39739197181703,0.4474695127330281,0.3145718801289722,0.2898410447424328,0.2946524977184996,0.9047860089595746,0.0579725183394246,0.4946970819759779,0.3143597398619649,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2023,411.0,3837.175,506.35,55,403.3,173.08000000000004,46.510000000000005,34.35,0.3859542911772928,14,16.13741935483871,22.204838709677414,11.180208333333333,575.88,3779.36,0.4700539655875631,0.3080334955127918,0.2855282696267558,0.3163753094712919,0.9292352716093208,0.0067931725586887,0.5028022768671007,0.3196918996285943,0.6048747044440331,0.4884225452434669,0.4488854759159753,0.4617063818733888,2.470559180673657,0.2317280482479838,0.5972948407062317,0.4448924507280761,0.3725603932267304,0.248301934354933,0.2333943231832636,0.2374965493237249,0.5947014741966026,0.020201901888931,0.4548823043413779,0.2605325636645838,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1163,Babaeski,Kırklareli,2024,408.0,4160.43,523.115,50,445.5,290.63,42.85,8.760000000000002,0.3591494330327114,31,16.666774193548388,23.37258064516129,11.814636678200692,673.8800000000001,4062.81,0.4939105003877811,0.3283148629105077,0.3063151306035971,0.3401688638295195,1.2260324037726027,0.0437716286576087,0.5217647515138161,0.3379958108876925,0.567278188137516,0.442971373522607,0.4093367011785694,0.434989387872997,2.184902031466226,0.1702531498244372,0.5796196156212223,0.4135073510935991,0.3970631852709549,0.2804982649902677,0.2669487861234328,0.2703888130316878,0.7955537152886913,0.0198130408803727,0.487315456521596,0.2872364122583456,32.044601386930566,34.54277260024433,33.41265304165573,7.041402080645782,16.475018901659183,22.85811115074474,1.3668838661271046,16.527334237568482,13.89952973044019,0.1383200458484389
1250,Çerkezköy,Tekirdağ,2017,420.0,3235.2250000000004,483.16,68,602.17,407.97,34.87,43.46,0.733195593705806,4,15.481612903225804,19.640645161290323,7.397812499999999,673.3499999999999,3787.32,0.4315824797456184,0.2750260002664738,0.263965229929088,0.2633293445715959,0.64713382372364,0.0009594812263844,0.4815880935811531,0.299401424692288,0.5892545483134923,0.4519998666092054,0.4297132412504684,0.4089969981964766,1.7903845675617007,0.1910369549995456,0.5858320475309311,0.4337076740782766,0.471232907741112,0.3316123333561716,0.3059249275980705,0.2832293589270032,0.8848684647222346,0.061808434884222,0.5009402302141176,0.3303277498826301,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
1250,Çerkezköy,Tekirdağ,2018,343.0,3691.445,553.215,57,754.47,484.52,43.900000000000006,91.09,0.944219242451788,0,17.60161290322581,21.6383870967742,7.191770833333332,587.6999999999999,3710.55,0.5011527813045651,0.3077681195365397,0.2941800535048667,0.2930213271549013,0.9518682019601128,0.165030877192583,0.5107055629814287,0.3313372012376399,0.5362311419446247,0.3964657128157545,0.3769032107880535,0.358880674113311,1.2459023334642476,0.1533123738427788,0.5510809771381988,0.3903986497535859,0.3898029912607113,0.2749893499633211,0.2510911390281705,0.2424273527016293,0.6252584885650616,-0.0270864384651076,0.449188575219414,0.2777464373130568,31.9667908052483,26.242462258012768,41.79087608069002,7.100608838302079,23.69421701576953,24.282936125449567,1.3650246400568329,20.502382465203077,12.247519678354616,0.1536602060877509
