crop,tier,model,cv,n,r2,rmse,baseline_rmse_matched,skill_score,ss_ci_low_clustered,ss_ci_high_clustered
aycicegi,B,random_forest,LOYO,209,-0.2528,60.407,54.44,-0.1096,-0.2484,-0.0265
aycicegi,B,random_forest,LOILO,209,0.4257,40.901,,,,
aycicegi,B,random_forest,Spatiotemporal,209,0.2903,45.466,,,,
aycicegi,B,xgboost,LOYO,209,-0.4756,65.558,54.44,-0.2042,-0.3782,-0.0968
aycicegi,B,xgboost,LOILO,209,0.4174,41.196,,,,
aycicegi,B,xgboost,Spatiotemporal,209,0.2563,46.542,,,,
aycicegi,B,gpr,LOYO,209,-0.2908,61.316,54.44,-0.1263,-0.3158,0.0535
aycicegi,B,gpr,LOILO,209,0.4003,41.794,,,,
aycicegi,B,gpr,Spatiotemporal,209,0.2932,45.373,,,,
aycicegi,C,pls,LOYO,209,-0.41,64.085,54.44,-0.1772,-0.4802,-0.0459
aycicegi,C,pls,LOILO,209,0.1985,48.316,,,,
aycicegi,C,pls,Spatiotemporal,209,0.1352,50.188,,,,
aycicegi,C,elastic_net,LOYO,209,-0.1339,57.468,54.44,-0.0556,-0.2424,0.0348
aycicegi,C,elastic_net,LOILO,209,0.231,47.327,,,,
aycicegi,C,elastic_net,Spatiotemporal,209,0.1768,48.966,,,,
aycicegi,C,random_forest,LOYO,209,-0.0936,56.439,54.44,-0.0367,-0.1408,0.0242
aycicegi,C,random_forest,LOILO,209,0.5063,37.921,,,,
aycicegi,C,random_forest,Spatiotemporal,209,0.3619,43.11,,,,
aycicegi,C,xgboost,LOYO,209,-0.1817,58.669,54.44,-0.0777,-0.1958,0.0065
aycicegi,C,xgboost,LOILO,209,0.4423,40.306,,,,
aycicegi,C,xgboost,Spatiotemporal,209,0.3779,42.568,,,,
aycicegi,C,gpr,LOYO,209,-0.0568,55.481,54.44,-0.0191,-0.2392,0.1336
aycicegi,C,gpr,LOILO,209,0.4381,40.457,,,,
aycicegi,C,gpr,Spatiotemporal,209,0.3718,42.775,,,,
aycicegi,D,pls,LOYO,209,-0.4094,64.071,54.44,-0.1769,-0.3892,-0.0642
aycicegi,D,pls,LOILO,209,0.3431,43.743,,,,
aycicegi,D,pls,Spatiotemporal,209,0.2765,45.905,,,,
aycicegi,D,elastic_net,LOYO,209,-0.1043,56.715,54.44,-0.0418,-0.1935,0.0435
aycicegi,D,elastic_net,LOILO,209,0.3274,44.26,,,,
aycicegi,D,elastic_net,Spatiotemporal,209,0.2536,46.626,,,,
aycicegi,D,random_forest,LOYO,209,-0.0267,54.684,54.44,-0.0045,-0.0674,0.0693
aycicegi,D,random_forest,LOILO,209,0.5496,36.222,,,,
aycicegi,D,random_forest,Spatiotemporal,209,0.3917,42.092,,,,
aycicegi,D,xgboost,LOYO,209,-0.0785,56.047,54.44,-0.0295,-0.0993,0.03
aycicegi,D,xgboost,LOILO,209,0.5435,36.464,,,,
aycicegi,D,xgboost,Spatiotemporal,209,0.3873,42.243,,,,
aycicegi,D,gpr,LOYO,209,-0.1025,56.667,54.44,-0.0409,-0.1557,0.0576
aycicegi,D,gpr,LOILO,209,0.4971,38.271,,,,
aycicegi,D,gpr,Spatiotemporal,209,0.4277,40.828,,,,
