ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum
1163,Babaeski,Kırklareli,2017,223.0,2428.81,553.2599999999999,0,273.97,,59.83,12.01,0.1916481994462084,39,25.58129032258065,33.62580645161291,14.356775956284151,802.7799999999997,4059.79
1163,Babaeski,Kırklareli,2018,279.0,2519.59,541.5949999999999,0,258.65,,79.18,1.89,0.1945084466611531,42,25.350000000000005,31.60258064516129,13.068852459016396,740.6800000000001,4002.06
1163,Babaeski,Kırklareli,2019,278.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655446088164147,44,25.515483870967746,33.28645161290322,14.009344262295082,764.9699999999999,3977.57
1163,Babaeski,Kırklareli,2020,300.0,2469.95,572.3299999999999,0,229.11,,1.84,7.41,0.1596645713575631,54,26.26612903225806,34.483548387096775,14.179945355191258,860.68,4106.630000000001
1163,Babaeski,Kırklareli,2021,282.0,2390.16,599.15,0,220.56,,14.4,13.81,0.166668432710007,55,27.134516129032253,35.18,13.302240437158469,819.3400000000001,3896.35
1163,Babaeski,Kırklareli,2022,313.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.1556284782323186,50,26.649677419354838,34.76258064516129,14.103169398907104,833.4399999999999,4065.29
1163,Babaeski,Kırklareli,2023,192.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.1602755519781737,57,28.345161290322583,36.51870967741936,13.636120218579237,833.3900000000002,3850.99
1163,Babaeski,Kırklareli,2024,225.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1138738987891553,58,28.8141935483871,36.67161290322581,14.260928961748634,805.9199999999998,4080.68
1250,Çerkezköy,Tekirdağ,2017,244.0,2154.745,493.51499999999993,0,305.87000000000006,,69.3,26.84,0.3013912998239427,7,23.69322580645161,28.41838709677419,8.890382513661203,765.2900000000002,3863.42
1250,Çerkezköy,Tekirdağ,2018,210.0,2344.51,520.8,0,321.81000000000006,,83.59,3.86,0.3370030294850312,1,24.61483870967742,28.843225806451613,7.870710382513661,760.83,3806.11
1250,Çerkezköy,Tekirdağ,2019,250.0,2236.675,486.3850000000001,0,234.3,,58.97,33.04,0.2355686366684858,3,23.52645161290323,28.098064516129035,8.29224043715847,743.0199999999999,3865.42
1250,Çerkezköy,Tekirdağ,2020,245.0,2211.53,497.5299999999999,0,202.31,,4.930000000000001,9.72,0.1978728792012617,2,23.88677419354839,28.284838709677423,8.529617486338799,803.9700000000001,3954.750000000001
1250,Çerkezköy,Tekirdağ,2021,220.0,2187.8100000000004,536.8900000000001,0,222.63,,17.92,13.039999999999996,0.2250211585791207,16,25.12967741935484,29.785806451612903,8.39415300546448,772.84,3821.6
1250,Çerkezköy,Tekirdağ,2022,163.0,2219.985,493.715,0,250.24,,46.67,45.26,0.2428148439383689,3,23.731612903225805,28.196451612903232,8.666721311475408,826.1899999999999,3973.69
1250,Çerkezköy,Tekirdağ,2023,105.0,2286.835,554.205,0,206.85,,12.63,7.15,0.2119627564773014,17,25.791612903225808,31.065483870967743,8.205956284153006,809.2,3725.74
1250,Çerkezköy,Tekirdağ,2024,140.0,2496.9,574.9400000000002,0,172.32,,17.54,7.75,0.1610404928307287,14,26.32258064516129,30.92419354838709,8.491147540983608,774.4100000000002,3954.74
