ilce_id,ilce,il,elevation_m,slope_deg,northness,eastness,twi
1163,Babaeski,Kırklareli,90.35290526588295,2.7806731464838386,-0.012671363000392845,-0.022523673355545063,8.997216274154958
1250,Çerkezköy,Tekirdağ,174.97085259341185,3.147140947577667,-0.01985743974916059,-0.08804978918497364,8.73235269719197
1258,Çorlu,Tekirdağ,114.31240912404556,3.6224569827964435,-0.06226842751777546,-0.0473224619060334,8.639568269237053
1270,Demirköy,Kırklareli,211.71134851844386,4.342168917556944,-0.18700764650303578,0.10461979164440094,8.406559243922253
1295,Merkez,Edirne,95.55051695678104,3.067596092016896,-0.06801624737598025,-0.011562747501893633,8.895006864430524
1307,Enez,Edirne,41.29344781412588,2.7756307625668457,0.0028796756471495084,-0.07025001701654161,9.279382280355437
1385,Havsa,Edirne,102.18224518754293,2.9969407395609693,-0.018618492461948435,-0.008432045408625494,8.849854470054243
1388,Hayrabolu,Tekirdağ,99.51455914961576,3.2527353786641258,0.05717397935157842,-0.02647305706449831,8.87521244462723
1412,İpsala,Edirne,39.88054357989939,2.4359658714934582,0.0696690439391658,-0.05701260260707415,9.320466178129374
1464,Keşan,Edirne,73.37507230564492,3.1383262682617463,0.005720427455248346,-0.06881367542027847,9.009567071007256
1471,Merkez,Kırklareli,208.81533242823883,2.681148789499307,-0.12319041329113603,-0.08988522758800216,9.036069703964108
1480,Kofçaz,Kırklareli,441.7370014477782,5.231089082265631,-0.1559175368695011,-0.08821437079402202,7.797102453881787
1502,Lalapaşa,Edirne,262.88134173732635,3.489585701171404,-0.24019546045714096,-0.11814841386857762,8.536582660676556
1505,Lüleburgaz,Kırklareli,98.38719126326633,2.4304937832455757,0.012970789420839334,-0.07800831322114089,9.263967278296876
1511,Malkara,Tekirdağ,162.2690113388837,4.239269841259337,0.007725755097151053,-0.011042612255226856,8.50004688459686
1523,Meriç,Edirne,39.188278167730346,2.685986632326685,0.024888045605174724,-0.007517423728090026,9.27674841418787
1538,Muratlı,Tekirdağ,126.56448317792608,3.2921643132401823,0.062236411606854475,-0.10250835955880858,8.84569463716671
1572,Pehlivanköy,Kırklareli,50.27392511927582,2.9783853772985935,-0.028355464496682827,0.05345974904305754,9.09092011892092
1577,Pınarhisar,Kırklareli,226.48415678598604,2.6073612921317766,-0.098627719334033,-0.09888156275931598,9.192228252677685
1596,Saray,Tekirdağ,140.80049478997378,2.2850777469661563,0.03224331451646391,-0.0705823547278457,9.399632639396778
1652,Şarköy,Tekirdağ,187.07443068890518,5.566669331173959,-0.24060599686426706,0.022142126574319042,7.961745121446261
1673,Merkez,Tekirdağ,168.64293434294137,4.925664471460218,-0.039718032397911884,-0.05815938588614369,8.274106514863849
1705,Uzunköprü,Edirne,74.81708539257632,3.406272068537226,0.020464539932936895,-0.07474323271194508,8.803557168086257
1714,Vize,Kırklareli,199.40393499243962,2.4680930797254694,-0.09847252504442634,0.0004422237963184314,9.404139190481859
1825,Marmaraereğlisi,Tekirdağ,66.80362130576184,3.1879554878704934,-0.14623496491477114,0.006672794024113335,8.852618807216844
1988,Süloğlu,Edirne,198.4511642332015,2.654007366798292,-0.17529924367228525,-0.05930686033731061,8.963332882250711
2094,Ergene,Tekirdağ,125.10863278681626,2.3246840378647904,0.023374516016275198,-0.036455457164955365,9.343913971379576
2095,Kapaklı,Tekirdağ,167.21911718095367,2.51200914016283,0.002609319366909353,-0.03910539244009717,9.14704797433892
2096,Süleymanpaşa,Tekirdağ,168.64293434294137,4.925664471460218,-0.039718032397911884,-0.05815938588614369,8.274106514863849
