ilce_id,ilce,il,clay_0_30_mean,clay_0_30_p10,clay_0_30_p90,sand_0_30_mean,sand_0_30_p10,sand_0_30_p90,silt_0_30_mean,silt_0_30_p10,silt_0_30_p90,phh2o_0_30_mean,phh2o_0_30_p10,phh2o_0_30_p90,soc_0_30_mean,soc_0_30_p10,soc_0_30_p90,cec_0_30_mean,cec_0_30_p10,cec_0_30_p90,bdod_0_30_mean,bdod_0_30_p10,bdod_0_30_p90,nitrogen_0_30_mean,nitrogen_0_30_p10,nitrogen_0_30_p90,cfvo_0_30_mean,cfvo_0_30_p10,cfvo_0_30_p90,awc_0_30
1163,Babaeski,Kırklareli,32.044601386930566,29.592272593889348,34.712241483393356,34.54277260024433,30.555140655630755,38.4368703665595,33.41265304165573,30.841792617627448,36.21890938114325,7.041402080645782,6.883333333332998,7.199999999999941,16.475018901659183,15.063138364365159,18.309940281998223,22.85811115074474,20.275733918128616,25.27645036032865,1.3668838661271046,1.3516666666666295,1.3833333333333324,16.527334237568482,15.157144379548113,18.03098582636377,13.89952973044019,11.561601279158305,18.304940467015978,0.1383200458484389
1250,Çerkezköy,Tekirdağ,31.9667908052483,29.963178845108448,33.77596859228689,26.242462258012768,24.928237657771533,27.609130146082343,41.79087608069002,39.50839821782549,44.92223553446078,7.100608838302079,6.883333333333272,7.266666666666606,23.69421701576953,21.969233473980296,25.473865248226925,24.282936125449567,22.829670971987003,25.711933106575906,1.3650246400568327,1.3483333333333354,1.3833333333333289,20.502382465203073,18.57828883495147,22.21144965277775,12.247519678354616,8.904275829500664,14.910203294940677,0.15366020608775094
1258,Çorlu,Tekirdağ,32.76979350280189,30.403075871648912,34.9015632376221,27.549256173640426,24.588901169891745,30.773475784087008,39.680625164765246,35.31005875520071,44.42943583830009,7.18790568066837,6.983333333333056,7.366666666667168,23.75806297946314,21.561648510565597,25.81189952081714,25.39492065186737,23.413255734296296,27.52208247174769,1.37668312849405,1.3583333333333107,1.3974243941169375,20.533934991863706,19.467971680990892,21.780053395739706,13.238977900724644,10.407833323117162,15.46834174276569,0.15019806222602758
1270,Demirköy,Kırklareli,31.477224914067925,29.59761904761902,33.50895061728394,30.50258934857314,26.406944444444452,33.765995525727064,38.019791278419596,35.27649572649572,41.59578059071729,6.699285625543602,6.300000000000001,7.116666666666669,26.143077768788622,23.056435643564367,30.466666666666676,25.427946535801652,23.459074074074074,27.260802469135797,1.3572482212126828,1.316666666666667,1.3899999999999955,21.484311405143554,18.717063197026,24.519340659340656,9.03767962893943,7.349246987951784,11.34493670886076,0.14947854135439556
1295,Merkez,Edirne,35.35330777128564,32.023197895462,38.84259229073171,26.776215061773335,23.55978328604788,30.316340782823247,37.87055623511415,35.65705919594818,40.02484044434338,7.127822326580659,6.983333333333123,7.283333333333553,16.259891495052056,15.059856307532211,17.67979915749895,25.235007996989395,23.090601390216236,27.839250618304668,1.4078286236065178,1.385985363339245,1.4299999999999773,15.338191217992943,14.34474357591585,16.41015420590958,9.871617606339337,8.344683766663811,11.46631204388231,0.14408068217514408
1307,Enez,Edirne,33.34704617384148,30.310951327433685,37.43500400962307,31.319618831223384,26.05450298571113,34.805822826808125,35.33356255220343,33.02480497852565,37.65677956989233,7.05404419860516,6.799999999999924,7.233333333332692,24.59054110973175,19.630964122560602,34.11300973466012,22.46671644384755,20.592525564359796,24.583073211663503,1.4442541526154065,1.401666666666663,1.4866666666666775,18.876399105180163,16.44362733252783,22.18285071719306,13.301773156465895,10.780369674747588,15.910773858353753,0.14420565546799421
1385,Havsa,Edirne,34.77493331043288,32.716594973714656,36.77566828797197,27.729424510283444,25.309732091046197,30.31066610406719,37.495479157883096,35.02413264225793,39.77281243688446,7.072161291254849,6.983333333333321,7.199999999999282,16.54083219798772,14.968723145253438,19.349161795499143,23.60046633999993,22.039524512517726,25.10680095812245,1.384796447040716,1.366666666666677,1.4016666666666462,16.40839381533852,14.96692364980839,17.90196252796419,10.922846045381645,9.093755608957444,13.343348642152018,0.1438636327581214
1388,Hayrabolu,Tekirdağ,34.55339040461345,32.524889478475934,36.71651369055839,28.153589910529043,25.909526183524804,30.34347243961223,37.29251163659894,34.182676679084224,40.43813280592461,6.961950432854846,6.716666666666634,7.183333333333865,22.050150263441097,17.68339758147278,25.682355550728715,25.44050984105611,23.839326238364798,27.21366311092335,1.3760560632397492,1.356666666666639,1.3973921278915378,19.190736742408117,17.719114161180517,20.65383751005907,14.194093191240473,11.965590499562895,17.026243777017623,0.14537132343975184
1412,İpsala,Edirne,38.14176032014522,35.34295732829015,40.962629038081374,27.78282607438599,25.270847560534076,30.59430013075517,34.07534077984919,31.773796058268985,36.5231896852843,7.095934027412227,6.899999999999918,7.283333333333373,26.808153730845714,19.618654213065998,36.87193747096776,23.223344496025472,21.344817488790895,25.159330842376683,1.4294074112601491,1.3975166852713634,1.458333333333318,19.49999567204479,17.06195502716479,22.67750076899064,14.140800307266701,12.027080592991265,16.273692410360006,0.13998308533068085
1464,Keşan,Edirne,35.15196002146129,31.800799083986202,38.18342698411928,29.660550571619666,26.060961468480837,33.6860175549529,35.18757896151892,32.772010261054575,38.02231634781171,6.901963865312725,6.700000000000149,7.083333333333161,24.348004583035692,21.381495493227643,28.112730955657856,23.37749455757817,21.592122281011118,25.21868630775471,1.4212209671206149,1.3816666666666615,1.4600000000000273,19.901640802099333,17.841310946333117,21.965211924554104,14.3041691654208,11.776764070680834,16.77540938510921,0.1430246356213609
