crop,tier,model,cv,n,r2,rmse,mae,baseline_rmse_matched,skill_score,ss_ci_low_clustered,ss_ci_high_clustered
aycicegi,A,elastic_net,Spatiotemporal,209,0.0709,52.021,41.266,,,,
aycicegi,A,random_forest,LOYO,209,-0.199,59.095,47.434,54.44,-0.0855,-0.2545,0.0068
aycicegi,A,random_forest,LOILO,209,0.4668,39.411,29.769,,,,
aycicegi,A,random_forest,Spatiotemporal,209,0.2803,45.785,35.117,,,,
aycicegi,A,xgboost,LOYO,209,-0.4383,64.725,52.416,54.44,-0.1889,-0.3624,-0.0987
aycicegi,A,xgboost,LOILO,209,0.439,40.423,30.611,,,,
aycicegi,A,xgboost,Spatiotemporal,209,0.242,46.988,36.791,,,,
aycicegi,A,gpr,LOYO,209,-0.3206,62.021,48.47,54.44,-0.1392,-0.3069,0.0095
aycicegi,A,gpr,LOILO,209,0.4281,40.813,31.25,,,,
aycicegi,A,gpr,Spatiotemporal,209,0.2816,45.744,35.878,,,,
aycicegi,B,pls,LOYO,209,-0.5426,67.032,56.914,54.44,-0.2313,-0.6398,-0.0366
aycicegi,B,pls,LOILO,209,0.2081,48.026,37.475,,,,
aycicegi,B,pls,Spatiotemporal,209,0.1899,48.576,38.472,,,,
aycicegi,B,elastic_net,LOYO,209,-0.177,58.551,48.671,54.44,-0.0755,-0.3006,0.0376
aycicegi,B,elastic_net,LOILO,209,0.2374,47.13,37.106,,,,
aycicegi,B,elastic_net,Spatiotemporal,209,0.2007,48.25,38.599,,,,
aycicegi,B,random_forest,LOYO,209,-0.0173,54.434,43.131,54.44,0.0001,-0.1711,0.1149
aycicegi,B,random_forest,LOILO,209,0.4811,38.877,29.577,,,,
aycicegi,B,random_forest,Spatiotemporal,209,0.3434,43.733,33.627,,,,
aycicegi,B,xgboost,LOYO,209,-0.0819,56.136,44.899,54.44,-0.0312,-0.2852,0.1164
aycicegi,B,xgboost,LOILO,209,0.4419,40.32,30.499,,,,
aycicegi,B,xgboost,Spatiotemporal,209,0.3207,44.483,33.991,,,,
aycicegi,B,gpr,LOYO,209,0.0775,51.838,40.529,54.44,0.0478,-0.0949,0.2401
aycicegi,B,gpr,LOILO,209,0.4758,39.076,29.923,,,,
aycicegi,B,gpr,Spatiotemporal,209,0.4515,39.969,30.873,,,,
aycicegi,C,pls,LOYO,209,-0.4568,65.139,54.898,54.44,-0.1965,-0.586,0.0304
aycicegi,C,pls,LOILO,209,0.1511,49.726,39.248,,,,
aycicegi,C,pls,Spatiotemporal,209,0.1785,48.916,39.111,,,,
aycicegi,C,elastic_net,LOYO,209,-0.145,57.749,47.774,54.44,-0.0608,-0.2856,0.0655
aycicegi,C,elastic_net,LOILO,209,0.2376,47.123,37.581,,,,
aycicegi,C,elastic_net,Spatiotemporal,209,0.2187,47.704,38.5,,,,
aycicegi,C,random_forest,LOYO,209,0.0553,52.456,40.853,54.44,0.0364,-0.1242,0.1618
aycicegi,C,random_forest,LOILO,209,0.4717,39.228,29.576,,,,
aycicegi,C,random_forest,Spatiotemporal,209,0.3809,42.466,32.666,,,,
aycicegi,C,xgboost,LOYO,209,-0.1266,57.284,45.794,54.44,-0.0522,-0.2618,0.0653
aycicegi,C,xgboost,LOILO,209,0.4018,41.74,31.163,,,,
aycicegi,C,xgboost,Spatiotemporal,209,0.3257,44.319,33.018,,,,
aycicegi,C,gpr,LOYO,209,0.0758,51.883,40.952,54.44,0.047,-0.066,0.1351
aycicegi,C,gpr,LOILO,209,0.4777,39.002,29.76,,,,
aycicegi,C,gpr,Spatiotemporal,209,0.5145,37.605,28.795,,,,
aycicegi,D,pls,LOYO,209,-0.4248,64.42,54.134,54.44,-0.1833,-0.5674,0.0552
aycicegi,D,pls,LOILO,209,0.2981,45.217,36.411,,,,
aycicegi,D,pls,Spatiotemporal,209,0.2848,45.643,36.923,,,,
aycicegi,D,elastic_net,LOYO,209,-0.0855,56.229,46.477,54.44,-0.0329,-0.228,0.1166
aycicegi,D,elastic_net,LOILO,209,0.3193,44.528,35.213,,,,
aycicegi,D,elastic_net,Spatiotemporal,209,0.2895,45.493,36.177,,,,
aycicegi,D,random_forest,LOYO,209,0.1911,48.54,37.015,54.44,0.1084,-0.0012,0.2552
aycicegi,D,random_forest,LOILO,209,0.5403,36.593,27.651,,,,
aycicegi,D,random_forest,Spatiotemporal,209,0.473,39.18,29.997,,,,
aycicegi,D,xgboost,LOYO,209,0.1655,49.302,37.092,54.44,0.0944,-0.0043,0.2113
aycicegi,D,xgboost,LOILO,209,0.5469,36.33,27.707,,,,
aycicegi,D,xgboost,Spatiotemporal,209,0.445,40.208,30.398,,,,
aycicegi,D,gpr,LOYO,209,0.1917,48.521,38.096,54.44,0.1087,0.0327,0.1612
aycicegi,D,gpr,LOILO,209,0.5761,35.137,27.212,,,,
aycicegi,D,gpr,Spatiotemporal,209,0.5478,36.291,28.232,,,,
