feature,imp_mean,imp_std
gdd_cum_season,0.2963004004315314,0.011502884847933052
tp_season_sum,0.1955158022564356,0.017663336666900405
aridity_index,0.10677074718566297,0.009396980726134903
tp_flowering,0.104979746427693,0.009062046098430447
gdd_flowering,0.10101778479910614,0.006031136725755918
ssr_season_sum,0.0891052531824926,0.007006270999253804
ssr_flowering_sum,0.07766119301299652,0.007028345471226802
tdiff_mean,0.07645578985612732,0.00647496395273217
tp_grain_fill,0.07181623719061123,0.0061537372897055255
heat_stress_days,0.0640491740298144,0.00796080939571132
t2m_flowering_mean,0.048033332351711165,0.004045603996527238
t2m_flowering_max,0.01092690543018342,0.0012996184552980653
tp_winter_sum,0.0,0.0
vernalization_days,0.0,0.0
