year,crop,ndvi_max,ndvi_mean,ndvi_integral,ndvi_flowering,ndvi_grain_fill,greenness_days,gdd_cum_season,tp_season_sum,ndwi_min_flowering,t2m_max_flowering_mean,season_start,season_end,n_days_in_window,il,yield_kg_da,has_features
2017,aycicegi_yaglik,0.56625,0.42163463114754096,77.1591375,0.44644290322580643,0.37934838709677426,0,1986.2743000000003,3771.1992999999998,-0.5131,26.887593548387095,2017-04-01,2017-09-30,183,Edirne,243.0,True
2017,aycicegi_yaglik,0.56625,0.42163463114754096,77.1591375,0.44644290322580643,0.37934838709677426,0,1986.2743000000003,3771.1992999999998,-0.5131,26.887593548387095,2017-04-01,2017-09-30,183,Kırklareli,248.0,True
2017,aycicegi_yaglik,0.56625,0.42163463114754096,77.1591375,0.44644290322580643,0.37934838709677426,0,1986.2743000000003,3771.1992999999998,-0.5131,26.887593548387095,2017-04-01,2017-09-30,183,Tekirdağ,235.0,True
2018,aycicegi_yaglik,0.5986,0.45126977231329674,82.5823683333333,0.456741935483871,0.43166129032258055,0,2185.40285,3896.6129,-0.4984999999999999,26.88771935483871,2018-04-01,2018-09-30,183,Edirne,248.0,True
2018,aycicegi_yaglik,0.5986,0.45126977231329674,82.5823683333333,0.456741935483871,0.43166129032258055,0,2185.40285,3896.6129,-0.4984999999999999,26.88771935483871,2018-04-01,2018-09-30,183,Kırklareli,258.0,True
2018,aycicegi_yaglik,0.5986,0.45126977231329674,82.5823683333333,0.456741935483871,0.43166129032258055,0,2185.40285,3896.6129,-0.4984999999999999,26.88771935483871,2018-04-01,2018-09-30,183,Tekirdağ,235.0,True
2019,aycicegi_yaglik,0.55845,0.4221590710382513,77.25510999999999,0.4724372580645161,0.3261322580645161,0,2080.52805,3635.5362999999998,-0.5218499999999999,26.307780645161287,2019-04-01,2019-09-30,183,Edirne,263.0,True
2019,aycicegi_yaglik,0.55845,0.4221590710382513,77.25510999999999,0.4724372580645161,0.3261322580645161,0,2080.52805,3635.5362999999998,-0.5218499999999999,26.307780645161287,2019-04-01,2019-09-30,183,Kırklareli,285.0,True
2019,aycicegi_yaglik,0.55845,0.4221590710382513,77.25510999999999,0.4724372580645161,0.3261322580645161,0,2080.52805,3635.5362999999998,-0.5218499999999999,26.307780645161287,2019-04-01,2019-09-30,183,Tekirdağ,251.0,True
2020,aycicegi_yaglik,0.6363,0.43389581967213114,79.402935,0.41666774193548384,0.3157948387096774,14,2072.34965,3727.3002,-0.49955,26.44062580645161,2020-04-01,2020-09-30,183,Edirne,264.0,True
