ilce_id,ilce,il,year,crop,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,ndvi_max,ndvi_mean_season,ndvi_integral,ndvi_flowering,ndvi_grain_fill,ndvi_spring_slope,greenness_days
1163,Babaeski,Kırklareli,2017,aycicegi_yaglik,223.0,2428.81,553.2599999999999,0,273.96999999999997,,59.83,12.01,0.1916481994462084,39,25.581290322580646,33.62580645161291,14.356775956284153,802.7799999999997,4059.7899999999995,0.6521062698252438,0.4375736427440269,5.250883712928323,0.3823502811620739,0.3107826430937359,-0.0009321577387736231,16
1163,Babaeski,Kırklareli,2018,aycicegi_yaglik,279.0,2519.5899999999997,541.5949999999999,0,258.65,,79.18,1.89,0.19450844666115316,42,25.350000000000005,31.60258064516129,13.068852459016396,740.6800000000001,4002.0599999999995,0.5575194126820019,0.40056572666992574,4.406222993369183,0.422857602280412,0.2940222004005713,-0.0015057617101189703,0
1163,Babaeski,Kırklareli,2019,aycicegi_yaglik,278.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655446088164147,44,25.515483870967746,33.28645161290322,14.009344262295082,764.9699999999999,3977.57,0.5988442780223013,0.40086378350808205,4.409501618588902,0.38220398476165496,0.2638340320939071,-0.002325051700225888,0
1163,Babaeski,Kırklareli,2020,aycicegi_yaglik,300.0,2469.95,572.3299999999999,0,229.10999999999999,,1.84,7.41,0.15966457135756312,54,26.26612903225806,34.483548387096775,14.179945355191258,860.68,4106.630000000001,0.5767291322904986,0.36459925919022357,4.010591851092459,0.3443086691200014,0.22959171024786007,-0.002136006353309544,0
1163,Babaeski,Kırklareli,2021,aycicegi_yaglik,282.0,2390.16,599.15,0,220.56,,14.399999999999999,13.81,0.166668432710007,55,27.134516129032253,35.18,13.302240437158469,819.3400000000001,3896.35,0.6134348107355738,0.4270354686927498,5.124425624312997,0.4011866151732798,0.2892060910094491,-0.0023002382530325728,32
1163,Babaeski,Kırklareli,2022,aycicegi_yaglik,313.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.15562847823231865,50,26.649677419354834,34.76258064516129,14.103169398907104,833.4399999999999,4065.29,0.5694302434806282,0.3838405617763367,4.60608674131604,0.3531254311690068,0.2312472177803298,-0.0017580663776593658,0
1163,Babaeski,Kırklareli,2023,aycicegi_yaglik,192.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.16027555197817375,57,28.345161290322583,36.51870967741936,13.636120218579235,833.3900000000002,3850.9900000000002,0.6036611876558589,0.3528748025502248,3.8816228280524725,0.32274353414766355,0.2295868366641782,-0.0021729416017226477,16
1163,Babaeski,Kırklareli,2024,aycicegi_yaglik,225.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1138738987891553,58,28.8141935483871,36.67161290322581,14.260928961748634,805.9199999999998,4080.6799999999994,0.5875663225976581,0.36201986651372503,3.9822185316509753,0.2575381553282075,0.2176909697670332,-0.003095461195172452,0
1163,Babaeski,Kırklareli,2017,bugday,458.0,3272.91,530.49,46,483.78999999999996,257.82,47.9,57.769999999999996,0.43327810169677455,16,16.99,23.632258064516126,11.577569444444443,696.88,4022.21,0.6521062698252438,0.46359939081155754,4.635993908115576,0.6226743819304461,0.49003739109315775,-0.0003819475978069994,16
1163,Babaeski,Kırklareli,2018,bugday,442.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69000000000001,0.7224146068705211,12,18.41064516129032,24.698387096774194,10.704583333333334,674.3399999999999,3904.03,0.5575194126820019,0.45149367548951985,8.126886158811358,0.4041825352057221,0.43612892132895603,-0.0011603278105371824,0
