stage,n,R2,MAE,RMSE,bias,MAPE_pct,year,actual_source
pre_season,35,-1.030264574665543,0.13673743088551926,0.1654405098661423,-0.11813399768590917,16.063346861320625,2026,raw_s2
emergence,14,-893.9392081075746,0.23447142857142858,0.23460253697934058,-0.23447142857142858,25.83795878206545,2026,raw_s2
vegetative,30,0.025031766995008864,0.19166948961893707,0.20985226740541482,-0.07164384371439605,31.62948996249367,2026,raw_s2
flowering,2,,0.20569105728566656,0.206955483838137,0.20569105728566656,75.87276181691868,2026,raw_s2
